date_obj,Rock-shell%20helm price
2016-07-12,206323
2016-07-13,196118
2016-07-14,196118
2016-07-15,196118
2016-07-16,196118
2016-07-17,196118
2016-07-18,196118
2016-07-23,196118
2016-07-24,196118
2016-07-25,196118
2016-07-26,196118
2016-07-27,186548
2016-07-28,186548
2016-07-29,186548
2016-07-30,186548
2016-07-31,186548
2016-08-01,186548
2016-08-02,186548
2016-08-03,186548
2016-08-04,186548
2016-08-05,186548
2016-08-06,186548
2016-08-07,186548
2016-08-08,186548
2016-08-09,186548
2016-08-10,186548
2016-08-11,177269
2016-08-12,177269
2016-08-13,177269
2016-08-14,177269
2016-08-15,177269
2016-08-16,177269
2016-08-17,177269
2016-08-18,177269
2016-08-19,177269
2016-08-20,177269
2016-08-21,177269
2016-08-22,177269
2016-08-23,168509
2016-08-24,168509
2016-08-25,168509
2016-08-26,168509
2016-08-28,168509
2016-08-31,168509
2016-09-01,168509
2016-09-02,168509
2016-09-03,168509
2016-09-04,168509
2016-09-05,168509
2016-09-06,168509
2016-09-07,168509
2016-09-08,168509
2016-09-09,168509
2016-09-10,168509
2016-09-11,160895
2016-09-12,160895
2016-09-13,160895
2016-09-14,160895
2016-09-15,160895
2016-09-16,160895
2016-09-17,160895
2016-09-18,160895
2016-09-19,160895
2016-09-20,160895
2016-09-21,160895
2016-09-22,160895
2016-09-23,160895
2016-09-24,160895
2016-09-25,160895
2016-09-26,160895
2016-09-27,160895
2016-09-28,160895
2016-09-29,160895
2016-09-30,153205
2016-10-01,153205
2016-10-02,153205
2016-10-03,153205
2016-10-04,153205
2016-10-05,153205
2016-10-06,153205
2016-10-07,153205
2016-10-08,153205
2016-10-09,153205
2016-10-10,153205
2016-10-11,153205
2016-10-12,153205
2016-10-13,153205
2016-10-14,153205
2016-10-15,153205
2016-10-16,153205
2016-10-17,145586
2016-10-18,145586
2016-10-19,145586
2016-10-20,145586
2016-10-21,145586
2016-10-22,145586
2016-10-23,145586
2016-10-24,145586
2016-10-25,145586
2016-10-26,145586
2016-10-27,145586
2016-10-28,145586
2016-10-29,145586
2016-10-30,145586
2016-10-31,138374
2016-11-01,138374
2016-11-02,138374
2016-11-03,138374
2016-11-04,138374
2016-11-05,138374
2016-11-06,138374
2016-11-07,138374
2016-11-08,138374
2016-11-09,138374
2016-11-10,138374
2016-11-11,138374
2016-11-12,138374
2016-11-13,138374
2016-11-14,138374
2016-12-08,124966
2016-12-09,124966
2016-12-10,124966
2016-12-11,124966
2016-12-12,124966
2016-12-13,124966
2016-12-14,124966
2016-12-15,124966
2016-12-16,124966
2016-12-17,124966
2016-12-18,124966
2016-12-19,124966
2016-12-20,124966
2016-12-21,118835
2016-12-22,118835
2016-12-23,118835
2016-12-24,118835
2016-12-25,118835
2016-12-26,118835
2016-12-27,118835
2016-12-28,118835
2016-12-29,118835
2016-12-30,118835
2016-12-31,118835
2017-01-01,118835
2017-01-02,118835
2017-01-03,118835
2017-01-04,118835
2017-01-05,118835
2017-01-06,113057
2017-01-07,113057
2017-01-08,113057
2017-01-09,113057
2017-01-10,113057
2017-01-11,113057
2017-01-12,113057
2017-01-13,113057
2017-01-14,113057
2017-01-15,113057
2017-01-16,113057
2017-01-17,107684
2017-01-18,107684
2017-01-19,107684
2017-01-20,107684
2017-01-21,107684
2017-01-22,107684
2017-01-27,107684
2017-01-28,107684
2017-01-29,102401
2017-01-30,102401
2017-01-31,102401
2017-02-01,102401
2017-02-02,102401
2017-02-03,102401
2017-02-04,102401
2017-02-05,102401
2017-02-06,102401
2017-02-07,102401
2017-02-08,97402
2017-02-09,97402
2017-02-10,97402
2017-02-11,97402
2017-02-12,97402
2017-02-13,97402
2017-02-14,97402
2017-02-15,97402
2017-02-16,97402
2017-02-18,97402
2017-02-19,97402
2017-02-20,92711
2017-02-21,92711
2017-02-22,92711
2017-02-23,92711
2017-02-24,92711
2017-02-25,92711
2017-02-26,92711
2017-02-27,92711
2017-02-28,92711
2017-03-01,92711
2017-03-02,92711
2017-03-03,92711
2017-03-04,92711
2017-03-05,88129
2017-03-06,88129
2017-03-07,88129
2017-03-08,88129
2017-03-09,88129
2017-03-10,88129
2017-03-11,88129
2017-03-12,88129
2017-03-13,88129
2017-03-14,88129
2017-03-15,88129
2017-03-16,88129
2017-03-17,88129
2017-03-18,83733
2017-03-19,83733
2017-03-20,83733
2017-03-21,83733
2017-03-22,83733
2017-03-23,83733
2017-03-24,83733
2017-03-25,83733
2017-03-26,83733
2017-03-27,79602
2017-03-28,79602
2017-03-29,79602
2017-03-30,79602
2017-03-31,79602
2017-04-01,79602
2017-04-02,79602
2017-04-03,79602
2017-04-04,79602
2017-04-12,75670
2017-04-13,75670
2017-04-14,75670
2017-04-15,75670
2017-04-16,75670
2017-04-17,72041
2017-04-18,72041
2017-04-19,72041
2017-04-20,72041
2017-04-21,72041
2017-04-22,72041
2017-04-23,72041
2017-04-24,72041
2017-04-25,68472
2017-04-26,68472
2017-04-27,68472
2017-04-28,68472
