date_obj,Yew%20shortbow price
2018-10-14,343
2018-10-15,345
2018-10-16,346
2018-10-17,352
2018-10-18,363
2018-10-19,358
2018-10-20,356
2018-10-21,352
2018-10-22,348
2018-10-23,348
2018-10-24,355
2018-10-25,353
2018-10-26,353
2018-10-27,358
2018-10-28,357
2018-10-29,355
2018-10-30,351
2018-10-31,365
2018-11-01,363
2018-11-03,370
2018-11-04,361
2018-11-05,352
2018-11-06,352
2018-11-07,353
2018-11-08,345
2018-11-09,347
2018-11-10,348
2018-11-11,343
2018-11-12,344
2018-11-13,346
2018-11-14,353
2018-11-15,347
2018-11-16,342
2018-11-17,334
2018-11-18,322
2018-11-19,308
2018-11-20,302
2018-11-21,308
2018-11-22,307
2018-11-23,310
2018-11-24,304
2018-11-25,305
2018-11-26,318
2018-11-27,320
2018-11-28,327
2018-11-29,328
2018-12-01,316
2018-12-02,314
2018-12-03,316
2018-12-04,318
2018-12-05,325
2018-12-07,337
2018-12-09,334
2018-12-10,327
2018-12-11,317
2018-12-12,321
2018-12-13,323
2018-12-14,319
2018-12-15,324
2018-12-16,333
2018-12-17,331
2018-12-18,335
2018-12-19,340
2018-12-20,335
2018-12-21,334
2018-12-22,333
2018-12-23,329
2018-12-24,323
2018-12-25,317
2018-12-26,319
2018-12-27,314
2018-12-28,304
2018-12-29,298
2018-12-30,298
2018-12-31,304
2019-01-01,312
2019-01-02,313
2019-01-03,307
2019-01-04,308
2019-01-05,302
2019-01-06,297
2019-01-08,306
2019-01-10,306
2019-01-11,311
2019-01-12,312
2019-01-13,307
2019-01-14,312
2019-01-15,308
2019-01-16,301
2019-01-17,296
2019-01-18,299
2019-01-19,301
2019-01-20,301
2019-01-21,301
2019-01-22,307
2019-01-23,315
2019-01-24,322
2019-01-25,311
2019-01-26,314
2019-01-27,311
2019-01-28,311
2019-01-29,312
2019-01-30,326
2019-01-31,325
2019-02-01,322
2019-02-02,316
2019-02-03,314
2019-02-04,312
2019-02-05,321
2019-02-06,332
