date_obj,Mithril%202h%20sword price
2017-08-31,1372
2017-09-01,1371
2017-09-02,1387
2017-09-03,1387
2017-09-04,1358
2017-09-05,1335
2017-09-06,1359
2017-09-07,1365
2017-09-08,1365
2017-09-09,1338
2017-09-10,1329
2017-09-11,1346
2017-09-12,1346
2017-09-13,1361
2017-09-14,1339
2017-09-15,1339
2017-09-16,1340
2017-09-17,1352
2017-09-19,1390
2017-09-20,1383
2017-09-21,1353
2017-09-22,1359
2017-09-23,1359
2017-09-24,1337
2017-09-25,1309
2017-09-26,1343
2017-09-27,1343
2017-09-28,1352
2017-09-29,1360
2017-09-30,1374
2017-10-01,1387
2017-10-02,1352
2017-10-03,1352
2017-10-04,1366
2017-10-05,1332
2017-10-06,1323
2017-10-07,1348
2017-10-08,1345
2017-10-09,1376
2017-10-10,1348
2017-10-11,1348
2017-10-12,1324
2017-10-13,1334
2017-10-14,1363
2017-10-15,1363
2017-10-16,1377
2017-10-17,1377
2017-10-18,1354
2017-10-19,1354
2017-10-20,1333
2017-10-21,1331
2017-10-22,1338
2017-10-23,1342
2017-10-24,1320
2017-10-25,1339
2017-10-26,1339
2017-10-27,1330
2017-10-28,1330
2017-10-29,1348
2017-10-30,1353
2017-10-31,1321
2017-11-02,1330
2017-11-03,1330
2017-11-04,1344
2017-11-05,1366
2017-11-06,1330
2017-11-07,1330
2017-11-08,1362
2017-11-09,1355
2017-11-10,1355
2017-11-11,1342
2017-11-12,1346
2017-11-13,1377
2017-11-14,1377
2017-11-15,1352
2017-11-16,1324
2017-11-17,1336
2017-11-18,1336
2017-11-19,1356
2017-11-20,1337
2017-11-21,1330
2017-11-22,1330
2017-11-23,1320
2017-11-24,1338
2017-11-25,1336
2017-11-26,1319
2017-11-27,1319
2017-11-28,1331
2017-11-29,1333
2017-11-30,1334
2017-12-01,1361
2017-12-02,1361
2017-12-03,1348
2017-12-04,1356
2017-12-05,1357
2017-12-06,1348
2017-12-07,1352
2017-12-08,1352
2017-12-09,1349
2017-12-10,1353
2017-12-11,1323
2017-12-12,1347
2017-12-14,1323
2017-12-15,1335
2017-12-17,1331
2017-12-18,1337
2017-12-19,1340
2017-12-20,1328
2017-12-21,1327
2017-12-22,1324
2017-12-23,1331
2017-12-24,1327
2017-12-25,1334
2017-12-26,1318
2017-12-27,1333
2017-12-28,1302
2017-12-29,1346
2017-12-30,1320
2017-12-31,1320
2018-01-01,1327
2018-01-02,1331
2018-01-03,1293
2018-01-04,1251
2018-01-05,1260
2018-01-06,1275
2018-01-07,1299
2018-01-08,1287
2018-01-09,1313
2018-01-10,1324
2018-01-11,1294
2018-01-12,1306
2018-01-13,1304
2018-01-14,1296
2018-01-15,1325
2018-01-16,1307
2018-01-17,1331
2018-01-18,1337
2018-01-19,1337
2018-01-20,1315
2018-01-21,1332
2018-01-22,1331
2018-01-23,1343
2018-01-25,1307
2018-01-26,1299
2018-01-27,1311
2018-01-28,1318
2018-01-29,1306
2018-01-31,1334
2018-02-01,1317
2018-02-02,1326
2018-02-03,1346
2018-02-04,1338
2018-02-05,1340
2018-02-06,1356
2018-02-07,1329
2018-02-08,1339
2018-02-09,1345
2018-02-10,1351
2018-02-11,1361
2018-02-12,1329
2018-02-13,1309
2018-02-14,1313
2018-02-15,1353
2018-02-16,1357
2018-02-17,1340
2018-02-18,1316
2018-02-19,1340
2018-02-20,1337
2018-02-21,1330
2018-02-22,1327
2018-02-23,1314
2018-02-24,1348
2018-02-25,1347
2018-02-26,1349
2018-02-27,1349
2018-03-01,1348
2018-03-02,1328
2018-03-03,1345
2018-03-04,1338
2018-03-05,1327
2018-03-06,1340
2018-03-07,1338
2018-03-08,1330
2018-03-09,1326
2018-03-10,1314
2018-03-11,1332
2018-03-12,1331
2018-03-13,1348
2018-03-14,1347
2018-03-15,1346
2018-03-16,1334
2018-03-17,1338
2018-03-18,1337
2018-03-19,1357
2018-03-20,1340
2018-03-21,1354
2018-03-23,1345
2018-03-24,1332
2018-03-26,1356
2018-03-27,1334
2018-03-28,1310
2018-03-29,1330
2018-03-30,1337
2018-03-31,1347
2018-04-01,1341
2018-04-02,1345
2018-04-03,1342
2018-04-04,1338
2018-04-05,1345
2018-04-06,1339
2018-04-07,1341
2018-04-08,1346
2018-04-09,1332
2018-04-10,1346
2018-04-11,1333
2018-04-12,1339
2018-04-13,1374
2018-04-14,1352
2018-04-15,1349
2018-04-16,1343
2018-04-17,1348
2018-04-18,1353
2018-04-19,1341
2018-04-20,1340
2018-04-21,1358
2018-04-22,1339
2018-04-23,1347
2018-04-24,1368
2018-04-25,1342
2018-04-26,1334
2018-04-27,1336
2018-04-28,1336
2018-04-29,1347
2018-04-30,1330
2018-05-01,1346
2018-05-04,1336
2018-05-05,1349
2018-05-06,1349
2018-05-07,1344
2018-05-08,1350
2018-05-09,1338
2018-05-10,1333
2018-05-11,1351
2018-05-12,1336
2018-05-13,1351
2018-05-14,1356
2018-05-15,1357
2018-05-16,1349
2018-05-17,1360
2018-05-18,1366
2018-05-19,1360
2018-05-20,1336
2018-05-21,1331
2018-05-22,1367
2018-05-23,1358
2018-05-24,1356
2018-05-25,1359
2018-05-26,1324
2018-05-27,1318
2018-05-28,1337
2018-05-29,1320
2018-05-30,1359
2018-05-31,1360
2018-06-01,1351
2018-06-02,1341
2018-06-03,1331
2018-06-04,1350
2018-06-05,1351
2018-06-06,1353
2018-06-07,1339
2018-06-08,1355
2018-06-09,1339
2018-06-10,1337
2018-06-11,1361
2018-06-12,1331
2018-06-13,1363
2018-06-14,1358
2018-06-15,1371
2018-06-16,1337
2018-06-17,1342
2018-06-18,1368
2018-06-19,1346
2018-06-20,1329
2018-06-21,1330
2018-06-22,1357
2018-06-23,1331
2018-06-24,1342
2018-06-25,1340
2018-06-26,1347
2018-06-27,1317
2018-06-28,1321
2018-06-29,1318
2018-06-30,1330
2018-07-01,1344
2018-07-02,1320
2018-07-03,1365
2018-07-04,1349
2018-07-05,1347
2018-07-06,1347
2018-07-07,1312
2018-07-08,1342
2018-07-09,1345
2018-07-10,1340
2018-07-11,1335
2018-07-12,1331
2018-07-13,1337
2018-07-14,1311
2018-07-15,1315
2018-07-16,1335
2018-07-17,1337
2018-07-18,1319
2018-07-19,1356
2018-07-20,1334
2018-07-21,1324
2018-07-22,1321
2018-07-23,1322
2018-07-24,1295
2018-07-25,1335
2018-07-26,1334
2018-07-27,1332
2018-07-28,1336
2018-07-29,1307
2018-07-30,1311
2018-07-31,1319
2018-08-01,1348
2018-08-02,1345
2018-08-03,1342
2018-08-04,1314
2018-08-05,1335
2018-08-06,1319
2018-08-07,1315
2018-08-08,1317
2018-08-09,1340
2018-08-10,1331
2018-08-11,1315
2018-08-12,1307
2018-08-14,1305
2018-08-16,1316
2018-08-17,1316
2018-08-18,1322
2018-08-19,1298
2018-08-20,1311
2018-08-21,1301
2018-08-22,1321
2018-08-23,1339
2018-08-24,1335
2018-08-25,1312
2018-08-26,1277
2018-08-27,1275
2018-08-28,1280
2018-08-29,1293
2018-08-30,1312
2018-08-31,1293
2018-09-01,1292
2018-09-02,1302
2018-09-03,1304
2018-09-04,1316
2018-09-05,1310
2018-09-06,1308
2018-09-07,1316
2018-09-08,1315
2018-09-09,1327
