date_obj,Mage's%20book price
2018-07-05,7221599
2018-07-06,7249672
2018-07-07,7101656
2018-07-08,7161273
2018-07-09,7128338
2018-07-10,7195315
2018-07-11,7539302
2018-07-12,7428680
2018-07-13,7413287
2018-07-14,7364398
2018-07-15,7293315
2018-07-16,7301711
2018-07-17,7221649
2018-07-18,7429355
2018-07-19,7708338
2018-07-20,7644400
2018-07-21,7795094
2018-07-22,7968037
2018-07-23,7756858
2018-07-24,7699882
2018-07-25,7658215
2018-07-26,7474936
2018-07-27,7103735
2018-07-28,6861580
2018-07-29,6803615
2018-07-30,6605203
2018-07-31,6729526
2018-08-01,6812601
2018-08-02,6812214
2018-08-03,6772362
2018-08-04,6736262
2018-08-05,6700866
2018-08-06,6634573
2018-08-07,6639344
2018-08-08,6533137
2018-08-09,6377615
2018-08-10,6404614
2018-08-11,6367683
2018-08-12,6325540
2018-08-14,6260032
2018-08-16,5982562
2018-08-17,6120636
2018-08-18,6309116
2018-08-19,6407561
2018-08-20,6462354
2018-08-21,6450880
2018-08-22,6489414
2018-08-23,6459400
2018-08-24,6672895
2018-08-25,6689934
2018-08-26,6613843
2018-08-27,6576215
2018-08-28,6491731
2018-08-29,6457212
2018-08-30,6440406
2018-08-31,6431104
2018-09-01,6397949
2018-09-02,6398799
2018-09-03,6432489
2018-09-04,6581665
2018-09-05,6454724
2018-09-06,6282781
2018-09-07,6167299
2018-09-08,6036650
2018-09-10,5946681
2018-09-11,5963791
2018-09-12,5940204
2018-09-13,5856198
2018-09-14,5818487
2018-09-15,5871290
2018-09-16,5852576
2018-09-17,5882638
2018-09-18,5751040
2018-09-19,5750859
2018-09-20,5802977
2018-09-21,5785226
2018-09-22,5909429
2018-09-23,5980347
2018-09-24,5955520
2018-09-25,5923073
2018-09-26,5967968
2018-09-27,5894225
2018-09-28,5865002
2018-09-29,5836406
2018-09-30,5852654
2018-10-02,5952899
2018-10-03,6064031
2018-10-04,5999634
2018-10-05,5957910
2018-10-06,5844491
2018-10-07,5749131
2018-10-08,5798812
2018-10-09,5765736
2018-10-10,5781724
2018-10-11,5598054
2018-10-12,5570821
2018-10-13,5612240
2018-10-14,5603515
2018-10-15,5578299
2018-10-16,5560670
2018-10-17,5541527
2018-10-18,5495224
2018-10-19,5438931
2018-10-20,5423771
2018-10-21,5392309
2018-10-22,5375817
2018-10-23,5387071
2018-10-24,5358168
2018-10-25,5278837
2018-10-26,5261056
2018-10-27,5207769
2018-10-28,5214351
2018-10-29,5248105
2018-10-30,5307493
2018-10-31,5369795
2018-11-01,5460484
2018-11-03,5402210
2018-11-04,5543626
2018-11-05,5557617
2018-11-06,5662352
2018-11-07,5801046
2018-11-08,5922035
2018-11-09,5768548
2018-11-10,5768028
2018-11-11,5860879
2018-11-12,5837548
2018-11-13,5854912
2018-11-14,5843160
2018-11-15,5848012
