date_obj,Skirt%20(lilac) price
2018-06-15,1501
2018-06-16,1501
2018-06-17,1501
2018-06-18,1501
2018-06-19,1501
2018-06-20,1501
2018-06-21,1547
2018-06-22,1547
2018-06-23,1547
2018-06-24,1547
2018-06-25,1547
2018-06-26,1547
2018-06-27,1547
2018-06-28,1547
2018-06-29,1547
2018-06-30,1547
2018-07-01,1547
2018-07-02,1547
2018-07-03,1547
2018-07-04,1547
2018-07-05,1547
2018-07-06,1547
2018-07-07,1550
2018-07-08,1550
2018-07-09,1550
2018-07-10,1550
2018-07-11,1550
2018-07-12,1550
2018-07-13,1550
2018-07-14,1550
2018-07-15,1550
2018-07-16,1550
2018-07-17,1550
2018-07-18,1550
2018-07-19,1550
2018-07-20,1550
2018-07-21,1550
2018-07-22,1550
2018-07-23,1550
2018-07-24,1550
2018-07-25,1550
2018-07-26,1547
2018-07-27,1547
2018-07-28,1547
2018-07-29,1547
2018-07-30,1547
2018-07-31,1547
2018-08-01,1547
2018-08-02,1547
2018-08-03,1547
2018-08-04,1547
2018-08-05,1547
2018-08-06,1547
2018-08-07,1547
2018-08-08,1547
2018-08-09,1565
2018-08-10,1565
2018-08-11,1565
2018-08-12,1565
2018-08-14,1565
2018-08-16,1565
2018-08-17,1565
2018-08-18,1565
2018-08-19,1565
2018-08-20,1565
2018-08-21,1531
2018-08-22,1531
2018-08-23,1531
2018-08-24,1531
2018-08-25,1531
2018-08-26,1531
2018-08-27,1531
2018-08-28,1531
2018-08-29,1531
2018-08-30,1531
2018-08-31,1531
2018-09-01,1531
2018-09-02,1531
2018-09-03,1457
2018-09-04,1457
2018-09-05,1457
2018-09-06,1457
2018-09-07,1457
2018-09-08,1457
2018-09-09,1457
2018-09-10,1457
2018-09-11,1457
2018-09-12,1457
2018-09-13,1457
2018-09-14,1457
2018-09-15,1457
2018-09-16,1457
2018-09-17,1421
2018-09-18,1421
2018-09-19,1421
2018-09-20,1421
2018-09-21,1421
2018-09-22,1421
2018-09-23,1421
2018-09-24,1421
2018-09-25,1421
2018-09-26,1421
2018-09-27,1421
2018-09-28,1421
2018-09-29,1364
2018-09-30,1364
2018-10-02,1364
2018-10-03,1364
2018-10-04,1364
2018-10-05,1364
2018-10-06,1364
2018-10-07,1364
2018-10-08,1364
2018-10-09,1364
2018-10-10,1364
2018-10-11,1328
2018-10-12,1328
2018-10-13,1328
2018-10-14,1328
2018-10-15,1328
2018-10-16,1328
2018-10-17,1328
2018-10-18,1328
2018-10-19,1328
2018-10-20,1328
2018-10-21,1328
2018-10-22,1328
2018-10-23,1328
2018-10-24,1328
2018-10-25,1361
2018-10-26,1361
2018-10-27,1361
2018-10-28,1361
2018-10-29,1361
2018-10-30,1361
2018-10-31,1361
2018-11-01,1361
2018-11-03,1361
2018-11-04,1361
2018-11-05,1361
2018-11-06,1361
2018-11-07,1343
2018-11-08,1343
2018-11-09,1343
2018-11-10,1343
2018-11-11,1343
2018-11-12,1343
2018-11-13,1343
2018-11-14,1343
2018-11-15,1343
2018-11-16,1287
2018-11-17,1287
2018-11-18,1287
2018-11-19,1287
2018-11-20,1287
2018-11-21,1287
2018-11-22,1287
2018-11-23,1287
2018-11-24,1287
2018-11-25,1281
2018-11-26,1281
2018-11-27,1281
2018-11-28,1281
2018-11-29,1281
2018-12-01,1281
2018-12-02,1281
2018-12-03,1281
2018-12-04,1281
2018-12-05,1241
2018-12-07,1241
2018-12-09,1241
2018-12-10,1241
2018-12-11,1241
2018-12-12,1241
2018-12-13,1241
2018-12-14,1225
2018-12-15,1225
2018-12-16,1225
2018-12-17,1225
