date_obj,Grimy%20toadflax price
2018-10-15,2451
2018-10-16,2475
2018-10-17,2434
2018-10-18,2414
2018-10-19,2386
2018-10-20,2413
2018-10-21,2431
2018-10-22,2497
2018-10-23,2533
2018-10-24,2516
2018-10-25,2533
2018-10-26,2510
2018-10-27,2458
2018-10-28,2439
2018-10-29,2394
2018-10-30,2397
2018-10-31,2399
2018-11-01,2438
2018-11-03,2445
2018-11-04,2442
2018-11-05,2439
2018-11-06,2450
2018-11-07,2441
2018-11-08,2453
2018-11-09,2459
2018-11-10,2464
2018-11-11,2439
2018-11-12,2411
2018-11-13,2445
2018-11-14,2456
2018-11-15,2485
2018-11-16,2417
2018-11-17,2388
2018-11-18,2318
2018-11-19,2242
2018-11-20,2194
2018-11-21,2124
2018-11-22,2028
2018-11-23,1974
2018-11-24,1947
2018-11-25,1912
2018-11-26,1916
2018-11-27,1920
2018-11-28,1959
2018-11-29,2032
2018-12-01,2096
2018-12-02,2076
2018-12-03,2060
2018-12-04,2013
2018-12-05,1977
2018-12-07,1915
2018-12-09,1846
2018-12-10,1827
2018-12-11,1893
2018-12-12,1955
2018-12-13,2001
2018-12-14,2011
2018-12-15,1928
2018-12-16,1846
2018-12-17,1831
2018-12-18,1815
2018-12-19,1780
2018-12-20,1739
2018-12-21,1732
2018-12-22,1724
2018-12-23,1750
2018-12-24,1803
2018-12-25,1811
2018-12-26,1782
2018-12-27,1759
2018-12-28,1791
2018-12-29,1837
2018-12-30,1855
2018-12-31,1867
2019-01-01,1900
2019-01-02,1921
2019-01-03,1972
2019-01-04,2030
2019-01-05,2033
2019-01-06,1992
2019-01-08,1951
2019-01-10,1922
2019-01-11,1825
2019-01-12,1733
2019-01-13,1647
2019-01-14,1590
2019-01-15,1588
2019-01-16,1654
2019-01-17,1727
2019-01-18,1707
2019-01-19,1647
2019-01-20,1591
2019-01-21,1554
2019-01-22,1583
2019-01-23,1588
2019-01-25,1600
2019-01-26,1584
2019-01-27,1600
2019-01-28,1560
2019-01-29,1566
2019-01-30,1566
2019-01-31,1574
2019-02-01,1572
2019-02-02,1546
2019-02-03,1475
2019-02-04,1468
2019-02-05,1455
2019-02-06,1433
2019-02-07,1413
2019-02-08,1368
2019-02-09,1307
2019-02-10,1315
2019-02-11,1309
2019-02-12,1303
2019-02-13,1259
2019-02-14,1233
2019-02-15,1200
2019-02-16,1144
2019-02-17,1125
2019-02-18,1141
2019-02-19,1150
2019-02-20,1125
2019-02-21,1110
2019-02-22,1091
2019-02-23,1090
2019-02-24,1077
2019-02-25,1053
2019-02-26,1061
2019-02-27,1060
2019-02-28,1104
2019-03-01,1155
2019-03-02,1211
2019-03-03,1244
2019-03-04,1288
2019-03-05,1278
2019-03-06,1278
2019-03-07,1280
2019-03-08,1283
2019-03-09,1233
2019-03-10,1215
2019-03-11,1233
2019-03-12,1250
2019-03-13,1250
2019-03-14,1202
2019-03-15,1165
2019-03-16,1144
2019-03-17,1164
2019-03-18,1189
2019-03-19,1232
2019-03-20,1270
2019-03-21,1269
