date_obj,Purple%20hat price
2017-11-21,1110
2017-11-22,1110
2017-11-23,1110
2017-11-24,1073
2017-11-25,1073
2017-11-26,1073
2017-11-27,1073
2017-11-28,1073
2017-11-29,1094
2017-11-30,1094
2017-12-01,1094
2017-12-02,1094
2017-12-03,1094
2017-12-04,1094
2017-12-05,1101
2017-12-06,1101
2017-12-07,1101
2017-12-08,1101
2017-12-09,1101
2017-12-10,1101
2017-12-11,1063
2017-12-12,1063
2017-12-14,1063
2017-12-15,1063
2017-12-16,1063
2017-12-17,1025
2017-12-18,1025
2017-12-19,1025
2017-12-20,1025
2017-12-21,1025
2017-12-22,1025
2017-12-23,1041
2017-12-24,1041
2017-12-25,1041
2017-12-26,1041
2017-12-27,1041
2017-12-28,1041
2017-12-29,1041
2017-12-30,1046
2017-12-31,1046
2018-01-01,1046
2018-01-02,1046
2018-01-03,1046
2018-01-04,1046
2018-01-05,1063
2018-01-06,1063
2018-01-07,1063
2018-01-08,1063
2018-01-09,1063
2018-01-10,1063
2018-01-11,1082
2018-01-12,1082
2018-01-13,1082
2018-01-14,1082
2018-01-15,1082
2018-01-16,1082
2018-01-17,1041
2018-01-18,1041
2018-01-19,1041
2018-01-20,1041
2018-01-21,1041
2018-01-22,1041
2018-01-23,1045
2018-01-24,1045
2018-01-25,1045
2018-01-26,1045
2018-01-27,1050
2018-01-28,1050
2018-01-29,1050
2018-01-31,1056
2018-02-01,1056
2018-02-02,1056
2018-02-03,1068
2018-02-04,1068
2018-02-05,1068
2018-02-06,1068
2018-02-07,1022
2018-02-08,1022
2018-02-09,1022
2018-02-10,978
2018-02-11,978
2018-02-12,981
2018-02-13,981
2018-02-14,1009
2018-02-15,1055
2018-02-16,1055
2018-02-17,1100
2018-02-18,1100
2018-02-19,1103
2018-02-20,1131
2018-02-21,1131
2018-02-22,1085
2018-02-23,1085
2018-02-24,1085
2018-02-25,1067
2018-02-26,1067
2018-02-27,1014
2018-02-28,1014
2018-03-01,1014
2018-03-02,1021
2018-03-03,1021
2018-03-04,1021
2018-03-05,1004
2018-03-06,1004
2018-03-07,1043
2018-03-08,1043
2018-03-09,1043
2018-03-10,1041
2018-03-11,1041
2018-03-12,1094
2018-03-13,1094
2018-03-14,1094
2018-03-15,1127
2018-03-16,1127
2018-03-17,1127
2018-03-18,1146
2018-03-19,1146
2018-03-20,1146
2018-03-21,1153
2018-03-23,1153
2018-03-24,1153
2018-03-26,1120
2018-03-27,1120
2018-03-28,1084
2018-03-29,1084
2018-03-30,1084
2018-03-31,1095
2018-04-01,1095
2018-04-02,1095
2018-04-03,1089
2018-04-04,1089
2018-04-05,1089
2018-04-06,1122
2018-04-08,1122
2018-04-09,1116
2018-04-10,1116
2018-04-11,1116
2018-04-12,1084
2018-04-13,1084
2018-04-14,1084
2018-04-15,1073
2018-04-16,1073
2018-04-17,1073
2018-04-18,1073
2018-04-19,1080
2018-04-20,1080
2018-04-21,1080
2018-04-22,1104
2018-04-23,1104
2018-04-24,1104
2018-04-25,1128
2018-04-26,1128
2018-04-27,1128
2018-04-28,1150
2018-04-29,1150
2018-04-30,1150
2018-05-01,1155
2018-05-02,1155
2018-05-03,1155
2018-05-04,1155
2018-05-05,1178
2018-05-06,1178
2018-05-07,1178
2018-05-08,1178
2018-05-09,1194
2018-05-10,1194
2018-05-11,1194
2018-05-12,1195
2018-05-13,1195
2018-05-14,1195
2018-05-15,1195
2018-05-16,1191
2018-05-17,1191
2018-05-18,1191
2018-05-19,1181
2018-05-20,1181
2018-05-21,1181
2018-05-22,1170
2018-05-23,1170
2018-05-24,1170
2018-05-25,1219
2018-05-26,1219
2018-05-27,1219
2018-05-28,1233
2018-05-29,1233
2018-05-30,1233
2018-05-31,1199
2018-06-01,1199
2018-06-02,1220
2018-06-03,1220
2018-06-04,1220
2018-06-05,1211
2018-06-06,1211
2018-06-07,1211
2018-06-08,1153
2018-06-09,1153
2018-06-10,1153
2018-06-11,1114
2018-06-12,1114
2018-06-13,1114
2018-06-14,1066
2018-06-15,1066
2018-06-16,1066
2018-06-17,1106
2018-06-18,1106
2018-06-19,1106
2018-06-20,1161
2018-06-21,1161
2018-06-22,1194
2018-06-23,1194
2018-06-24,1194
2018-06-25,1243
2018-06-26,1243
2018-06-27,1243
2018-06-28,1248
2018-06-29,1248
2018-06-30,1234
2018-07-01,1234
2018-07-02,1234
2018-07-03,1264
2018-07-04,1264
2018-07-05,1264
2018-07-06,1265
2018-07-07,1265
2018-07-08,1232
2018-07-09,1232
2018-07-10,1224
2018-07-11,1224
2018-07-12,1224
2018-07-13,1225
2018-07-14,1225
2018-07-15,1237
2018-07-16,1237
2018-07-17,1234
2018-07-18,1234
2018-07-19,1234
2018-07-20,1183
2018-07-21,1183
2018-07-22,1210
2018-07-23,1210
2018-07-24,1191
2018-07-25,1191
2018-07-26,1191
2018-07-27,1152
2018-07-28,1152
2018-07-29,1103
2018-07-30,1103
2018-07-31,1047
2018-08-01,1047
2018-08-02,998
2018-08-03,998
2018-08-04,983
2018-08-05,983
2018-08-06,980
2018-08-07,980
2018-08-08,991
2018-08-09,991
2018-08-10,991
2018-08-11,1029
2018-08-12,1029
2018-08-14,1064
2018-08-16,1047
2018-08-17,1058
2018-08-18,1058
2018-08-19,1085
2018-08-20,1118
2018-08-21,1118
2018-08-22,1112
2018-08-23,1112
2018-08-24,1123
2018-08-25,1123
2018-08-26,1169
2018-08-27,1169
2018-08-28,1115
2018-08-29,1115
2018-08-30,1082
2018-08-31,1082
2018-09-01,1077
2018-09-02,1077
2018-09-03,1089
2018-09-04,1137
2018-09-05,1137
2018-09-06,1185
2018-09-07,1185
2018-09-08,1155
2018-09-09,1155
2018-09-10,1150
2018-09-11,1150
2018-09-12,1140
2018-09-13,1140
2018-09-14,1130
2018-09-15,1130
2018-09-16,1124
2018-09-17,1124
2018-09-18,1087
2018-09-19,1087
2018-09-20,1112
2018-09-21,1112
2018-09-22,1122
2018-09-23,1122
2018-09-24,1137
2018-09-25,1137
2018-09-26,1114
2018-09-27,1114
2018-09-28,1160
2018-09-29,1160
2018-09-30,1211
2018-10-02,1267
2018-10-03,1267
2018-10-04,1324
2018-10-05,1324
2018-10-06,1383
2018-10-07,1383
2018-10-08,1432
2018-10-09,1432
2018-10-10,1503
2018-10-11,1503
2018-10-12,1564
2018-10-13,1564
2018-10-14,1551
2018-10-15,1551
2018-10-16,1568
2018-10-17,1568
2018-10-18,1557
2018-10-19,1557
2018-10-20,1557
2018-10-21,1552
2018-10-22,1552
2018-10-23,1541
2018-10-24,1541
2018-10-25,1549
2018-10-26,1549
2018-10-27,1505
2018-10-28,1505
2018-10-29,1445
2018-10-30,1445
2018-10-31,1410
2018-11-01,1410
2018-11-03,1351
2018-11-04,1299
2018-11-05,1299
2018-11-06,1253
2018-11-07,1253
2018-11-08,1249
2018-11-09,1249
2018-11-10,1228
2018-11-11,1228
2018-11-12,1241
2018-11-13,1241
2018-11-14,1184
2018-11-15,1184
2018-11-16,1133
2018-11-17,1133
2018-11-18,1108
2018-11-19,1108
2018-11-20,1086
2018-11-21,1086
2018-11-22,1110
2018-11-23,1110
2018-11-24,1112
2018-11-25,1112
2018-11-26,1150
2018-11-27,1150
2018-11-28,1128
2018-11-29,1128
2018-12-01,1131
2018-12-02,1131
2018-12-03,1122
2018-12-04,1099
2018-12-05,1092
2018-12-07,1069
2018-12-09,1045
2018-12-10,1044
2018-12-11,1044
2018-12-12,1040
2018-12-13,1040
2018-12-14,1001
2018-12-15,1001
2018-12-16,991
2018-12-17,991
2018-12-18,987
2018-12-19,987
2018-12-20,1004
2018-12-21,1004
2018-12-22,980
2018-12-23,1010
2018-12-24,1010
2018-12-25,1007
2018-12-26,1007
2018-12-27,1020
2018-12-28,1020
2018-12-29,1046
2018-12-30,1046
2018-12-31,1027
2019-01-01,1027
2019-01-02,1061
2019-01-03,1061
2019-01-04,1067
2019-01-05,1067
2019-01-06,1081
2019-01-08,1048
2019-01-10,1031
2019-01-11,1031
2019-01-12,979
2019-01-13,979
2019-01-14,946
2019-01-15,946
2019-01-16,921
2019-01-17,921
2019-01-18,914
2019-01-19,914
2019-01-20,935
2019-01-21,935
2019-01-22,932
2019-01-23,932
2019-01-24,956
2019-01-25,956
2019-01-26,941
2019-01-28,970
2019-01-29,970
2019-01-30,958
2019-01-31,958
2019-02-01,987
2019-02-02,987
2019-02-03,979
2019-02-04,979
2019-02-05,998
2019-02-06,998
2019-02-07,1026
2019-02-08,1026
2019-02-09,1009
2019-02-10,1009
2019-02-11,998
2019-02-12,998
2019-02-13,982
2019-02-14,982
2019-02-15,942
2019-02-16,942
2019-02-17,943
2019-02-18,943
2019-02-19,971
2019-02-20,971
2019-02-21,988
2019-02-22,988
2019-02-23,995
2019-02-24,995
2019-02-25,972
2019-02-26,972
2019-02-27,935
2019-02-28,935
2019-03-01,965
2019-03-02,965
2019-03-03,991
2019-03-04,991
2019-03-05,995
2019-03-06,995
2019-03-07,986
2019-03-08,986
2019-03-09,986
2019-03-10,1001
2019-03-11,1001
2019-03-12,982
2019-03-13,982
2019-03-14,985
2019-03-15,985
2019-03-16,962
2019-03-17,956
2019-03-18,956
2019-03-19,973
2019-03-20,973
2019-03-21,974
2019-03-22,974
2019-03-23,982
2019-03-24,982
2019-03-25,985
2019-03-26,985
2019-03-27,985
2019-03-28,986
2019-03-29,1013
2019-03-30,1013
2019-03-31,1013
2019-04-01,1009
2019-04-02,1009
2019-04-03,975
2019-04-04,975
2019-04-05,984
2019-04-06,984
2019-04-07,1032
2019-04-08,1032
2019-04-09,1046
2019-04-10,1046
2019-04-11,1046
2019-04-12,1039
2019-04-13,1039
2019-04-14,1088
2019-04-15,1088
2019-04-16,1132
2019-04-17,1132
2019-04-18,1125
2019-04-19,1125
2019-04-20,1117
2019-04-21,1117
2019-04-22,1123
2019-04-23,1123
2019-04-24,1115
2019-04-25,1115
2019-04-26,1110
2019-04-27,1110
2019-04-28,1106
2019-04-29,1106
2019-04-30,1074
2019-05-01,1074
2019-05-02,1118
2019-05-03,1118
2019-05-04,1153
2019-05-05,1153
2019-05-06,1100
2019-05-07,1100
2019-05-08,1099
2019-05-09,1099
2019-05-10,1068
2019-05-11,1068
2019-05-12,1043
2019-05-13,1043
2019-05-14,1026
2019-05-15,1026
2019-05-16,1022
2019-05-17,1022
2019-05-18,1041
2019-05-19,1041
2019-05-20,1036
2019-05-21,1036
2019-05-22,1036
2019-05-23,1064
2019-05-24,1064
2019-05-25,1081
2019-05-26,1081
2019-05-27,1118
2019-05-28,1118
2019-05-29,1120
2019-05-30,1120
2019-05-31,1157
2019-06-01,1157
2019-06-02,1143
2019-06-03,1143
2019-06-04,1140
2019-06-05,1140
2019-06-06,1150
2019-06-07,1150
2019-06-08,1145
2019-06-09,1191
2019-06-10,1191
2019-06-11,1218
2019-06-12,1218
2019-06-13,1247
2019-06-14,1247
2019-06-15,1246
2019-06-16,1246
2019-06-17,1270
2019-06-18,1270
2019-06-19,1266
2019-06-20,1266
2019-06-21,1238
2019-06-22,1238
2019-06-23,1178
2019-06-24,1178
2019-06-25,1149
2019-06-26,1149
2019-06-27,1182
2019-06-28,1182
2019-06-29,1182
2019-06-30,1194
2019-07-01,1194
2019-07-02,1223
2019-07-03,1223
2019-07-04,1253
2019-07-05,1253
2019-07-06,1248
2019-07-07,1248
2019-07-08,1268
2019-07-09,1268
2019-07-10,1243
2019-07-11,1243
2019-07-12,1194
2019-07-13,1194
2019-07-14,1134
2019-07-15,1134
2019-07-16,1089
2019-07-17,1062
2019-07-18,1062
2019-07-19,1064
2019-07-20,1064
2019-07-21,1057
2019-07-22,1057
2019-07-23,1089
2019-07-24,1089
2019-07-25,1089
2019-07-26,1111
2019-07-27,1111
2019-07-28,1098
2019-07-29,1098
2019-07-30,1074
2019-07-31,1074
2019-08-01,1038
2019-08-02,1038
2019-08-03,1046
2019-08-04,1046
2019-08-05,1029
2019-08-06,1029
2019-08-07,1004
2019-08-08,1004
2019-08-09,1004
2019-08-10,986
2019-08-11,986
2019-08-12,996
2019-08-13,996
2019-08-14,996
2019-08-15,993
2019-08-16,993
2019-08-17,1013
2019-08-18,1013
2019-08-19,1049
2019-08-20,1049
2019-08-21,1049
2019-08-22,1057
2019-08-23,1057
2019-08-24,1067
2019-08-24,1067
2019-08-25,1067
2019-08-25,1067
2019-08-26,1067
2019-08-26,1067
2019-08-27,1104
2019-08-27,1104
2019-08-28,1104
2019-08-29,1096
2019-08-30,1096
2019-08-31,1096
2019-09-01,1079
2019-09-02,1079
2019-09-03,1122
2019-09-04,1122
2019-09-05,1122
