date_obj,Linen price
2019-04-08,523
2019-04-09,523
2019-04-10,541
2019-04-11,564
2019-04-12,584
2019-04-13,613
2019-04-14,644
2019-04-15,644
2019-04-16,674
2019-04-17,674
2019-04-18,671
2019-04-19,671
2019-04-20,670
2019-04-21,670
2019-04-22,672
2019-04-23,673
2019-04-24,673
2019-04-25,675
2019-04-26,698
2019-04-27,698
2019-04-28,693
2019-04-29,693
2019-04-30,695
2019-05-01,695
2019-05-02,711
2019-05-03,736
2019-05-04,720
2019-05-05,720
2019-05-06,728
2019-05-07,745
2019-05-08,745
2019-05-09,777
2019-05-10,777
2019-05-11,802
2019-05-12,811
2019-05-13,826
2019-05-14,849
2019-05-15,849
2019-05-16,885
2019-05-17,885
2019-05-18,914
2019-05-19,914
2019-05-20,919
2019-05-21,919
2019-05-22,882
2019-05-23,837
2019-05-24,837
2019-05-25,795
2019-05-26,755
2019-05-27,717
2019-05-28,681
2019-05-29,646
2019-05-30,613
2019-05-31,582
2019-06-01,552
2019-06-02,547
2019-06-03,565
2019-06-04,589
2019-06-05,594
2019-06-06,595
2019-06-07,598
2019-06-08,606
2019-06-09,610
2019-06-10,610
2019-06-11,609
2019-06-12,606
2019-06-13,607
2019-06-14,600
2019-06-15,601
2019-06-16,581
2019-06-17,590
2019-06-18,569
2019-06-19,557
2019-06-20,529
2019-06-21,502
2019-06-22,476
2019-06-23,485
2019-06-24,509
2019-06-25,526
2019-06-26,500
2019-06-27,498
2019-06-28,498
2019-06-29,508
2019-06-30,528
2019-07-01,528
2019-07-02,550
2019-07-03,573
2019-07-04,573
2019-07-05,589
2019-07-06,614
2019-07-07,637
2019-07-08,662
2019-07-09,690
2019-07-10,700
2019-07-11,700
2019-07-12,722
2019-07-13,722
2019-07-14,746
2019-07-15,746
2019-07-16,764
2019-07-17,783
2019-07-18,783
2019-07-19,784
2019-07-20,789
2019-07-21,815
2019-07-22,838
2019-07-23,844
2019-07-24,844
2019-07-25,862
2019-07-26,862
2019-07-27,870
2019-07-28,873
2019-07-29,899
2019-07-30,869
2019-07-31,879
2019-08-01,879
2019-08-02,835
2019-08-03,829
2019-08-04,794
2019-08-05,777
2019-08-06,773
2019-08-07,780
2019-08-08,780
2019-08-09,780
2019-08-10,776
2019-08-11,767
2019-08-12,788
2019-08-13,788
2019-08-14,797
2019-08-15,799
2019-08-16,797
2019-08-17,797
2019-08-18,826
2019-08-19,850
2019-08-20,887
2019-08-21,926
2019-08-22,916
2019-08-23,932
2019-08-24,938
2019-08-24,938
