date_obj,Verac's%20armour%20set price
2018-01-28,1645613
2018-01-29,1639512
2018-01-30,1642236
2018-02-01,1635476
2018-02-02,1641131
2018-02-03,1634434
2018-02-04,1641924
2018-02-05,1633823
2018-02-06,1642183
2018-02-07,1639090
2018-02-08,1630848
2018-02-09,1618766
2018-02-10,1574292
2018-02-11,1555219
2018-02-12,1544823
2018-02-13,1536590
2018-02-14,1537732
2018-02-15,1531968
2018-02-16,1571012
2018-02-17,1600094
2018-02-18,1598029
2018-02-19,1627384
2018-02-20,1643790
2018-02-21,1644967
2018-02-22,1685374
2018-02-23,1715430
2018-02-24,1693629
2018-02-25,1697691
2018-02-26,1696703
2018-02-27,1691298
2018-02-28,1712939
2018-03-01,1761527
2018-03-02,1840560
2018-03-03,1911403
2018-03-04,1927550
2018-03-05,1918213
2018-03-06,1854864
2018-03-07,1766550
2018-03-08,1722294
2018-03-09,1705621
2018-03-10,1716176
2018-03-11,1720534
2018-03-12,1717298
2018-03-13,1687140
2018-03-14,1681473
2018-03-15,1717751
2018-03-16,1732369
2018-03-17,1777162
2018-03-18,1742954
2018-03-19,1704536
2018-03-20,1736062
2018-03-21,1740149
2018-03-23,1791597
2018-03-24,1828423
2018-03-26,1871572
2018-03-27,1895124
2018-03-28,1940202
2018-03-29,1940097
2018-03-30,1937183
2018-03-31,1927376
2018-04-01,1915759
2018-04-02,1902361
2018-04-03,1851188
2018-04-04,1833841
2018-04-05,1820757
2018-04-06,1823812
2018-04-08,1847396
2018-04-09,1854742
2018-04-10,1836462
2018-04-11,1844225
2018-04-12,1846618
2018-04-13,1845250
2018-04-14,1849849
2018-04-16,1845686
2018-04-17,1844808
2018-04-18,1846081
2018-04-19,1858713
2018-04-20,1856663
2018-04-21,1843083
2018-04-22,1821927
2018-04-23,1829453
2018-04-24,1843635
2018-04-25,1843835
2018-04-26,1846996
2018-04-27,1859801
2018-04-28,1878925
2018-04-29,1876970
2018-04-30,1858728
2018-05-02,1836937
2018-05-03,1855890
2018-05-04,1861897
2018-05-05,1907246
2018-05-06,1982929
2018-05-08,2074774
2018-05-09,2069780
2018-05-10,1987611
2018-05-11,1937759
2018-05-12,1959768
2018-05-13,1951391
2018-05-14,1945111
2018-05-15,1972440
2018-05-16,1979619
2018-05-17,2000769
2018-05-18,2015097
2018-05-19,2032595
2018-05-20,2058090
2018-05-21,2046544
2018-05-22,2060150
2018-05-23,2042508
2018-05-24,2032110
2018-05-25,2017489
2018-05-26,2015089
2018-05-27,2056341
2018-05-28,2106351
2018-05-29,2099656
2018-05-30,2119885
2018-05-31,2144048
2018-06-01,2134952
2018-06-02,2118746
2018-06-03,2118520
2018-06-04,2122552
2018-06-05,2083968
2018-06-06,2072025
2018-06-07,1968423
2018-06-08,1870001
2018-06-09,1776500
2018-06-10,1695251
2018-06-11,1633908
2018-06-12,1554381
2018-06-13,1489076
2018-06-14,1463572
2018-06-15,1478637
2018-06-16,1480923
2018-06-17,1509375
2018-06-18,1512464
2018-06-19,1496434
2018-06-20,1519318
2018-06-21,1502753
2018-06-22,1495910
2018-06-23,1517736
2018-06-24,1546486
2018-06-25,1524937
2018-06-26,1502960
2018-06-27,1491243
2018-06-28,1469121
2018-06-29,1475823
2018-06-30,1496631
2018-07-01,1485452
2018-07-02,1493214
2018-07-03,1483304
2018-07-04,1518621
2018-07-05,1535117
2018-07-06,1551443
2018-07-07,1566861
2018-07-08,1571368
2018-07-09,1572133
2018-07-10,1572383
2018-07-11,1597817
2018-07-12,1585349
2018-07-13,1635885
2018-07-14,1680559
2018-07-15,1712365
2018-07-16,1761756
2018-07-17,1731177
2018-07-18,1730802
2018-07-19,1716624
2018-07-20,1700744
2018-07-21,1698152
2018-07-22,1716662
2018-07-23,1718430
2018-07-24,1713676
2018-07-25,1712093
2018-07-26,1711351
2018-07-27,1661546
2018-07-28,1648816
2018-07-29,1649571
2018-07-30,1634608
2018-07-31,1625094
2018-08-01,1630016
2018-08-02,1621458
2018-08-03,1611411
2018-08-04,1625918
2018-08-05,1661324
2018-08-06,1705403
2018-08-07,1673895
2018-08-08,1710456
2018-08-09,1731652
2018-08-10,1708295
2018-08-11,1717087
2018-08-12,1721731
2018-08-14,1660313
2018-08-16,1630285
2018-08-17,1652257
2018-08-18,1665361
2018-08-19,1678003
2018-08-20,1649295
2018-08-21,1640483
2018-08-22,1641949
2018-08-23,1632478
2018-08-24,1639743
2018-08-25,1692545
2018-08-26,1670630
2018-08-27,1678418
2018-08-28,1657662
2018-08-29,1622823
2018-08-30,1611039
2018-08-31,1623078
2018-09-01,1629868
2018-09-02,1628115
2018-09-03,1676430
2018-09-04,1669387
2018-09-05,1664502
2018-09-06,1652544
2018-09-07,1663458
2018-09-08,1652452
2018-09-09,1644111
2018-09-10,1640658
2018-09-11,1632442
2018-09-12,1632045
2018-09-13,1652659
2018-09-14,1653947
2018-09-15,1658628
2018-09-16,1658643
2018-09-17,1652209
2018-09-18,1646409
2018-09-19,1664852
2018-09-20,1678460
2018-09-21,1680467
2018-09-22,1708540
2018-09-23,1780416
2018-09-24,1761799
2018-09-25,1786485
2018-09-26,1782545
2018-09-27,1789871
2018-09-28,1780369
2018-09-29,1762121
2018-09-30,1747555
2018-10-02,1699835
2018-10-03,1686793
2018-10-04,1680971
2018-10-05,1686727
2018-10-06,1681535
2018-10-07,1680092
2018-10-08,1655267
2018-10-09,1629437
2018-10-10,1612218
2018-10-11,1588741
2018-10-12,1597887
2018-10-13,1598349
2018-10-14,1614518
2018-10-15,1601155
2018-10-16,1611500
2018-10-17,1604877
2018-10-18,1587227
2018-10-19,1590167
2018-10-20,1587219
2018-10-21,1594976
2018-10-22,1587109
2018-10-23,1589027
2018-10-24,1590852
2018-10-25,1569169
2018-10-26,1581076
2018-10-27,1587250
2018-10-28,1584476
2018-10-29,1575996
2018-10-30,1564799
2018-10-31,1556222
2018-11-01,1558228
2018-11-03,1581315
2018-11-04,1616279
2018-11-05,1662766
2018-11-06,1666553
2018-11-07,1672060
2018-11-08,1692244
2018-11-09,1711923
2018-11-10,1706696
2018-11-11,1718046
2018-11-12,1715064
2018-11-13,1697411
