date_obj,Adamant%20crossbow price
2017-08-29,2594
2017-08-30,2550
2017-08-31,2550
2017-09-01,2549
2017-09-02,2604
2017-09-03,2604
2017-09-04,2710
2017-09-05,2802
2017-09-06,2739
2017-09-07,2711
2017-09-08,2711
2017-09-09,2592
2017-09-10,2462
2017-09-11,2359
2017-09-12,2359
2017-09-13,2258
2017-09-14,2196
2017-09-15,2196
2017-09-16,2097
2017-09-17,2066
2017-09-18,2055
2017-09-19,2055
2017-09-20,2073
2017-09-21,2073
2017-09-22,2069
2017-09-23,2069
2017-09-24,2102
2017-09-25,2167
2017-09-26,2179
2017-09-27,2179
2017-09-28,2195
2017-09-29,2204
2017-09-30,2153
2017-10-01,2045
2017-10-02,1962
2017-10-03,1962
2017-10-04,1863
2017-10-05,1776
2017-10-06,1790
2017-10-07,1799
2017-10-08,1848
2017-10-09,1909
2017-10-10,2005
2017-10-11,2005
2017-10-12,2103
2017-10-13,2209
2017-10-14,2251
2017-10-15,2251
2017-10-16,2257
2017-10-17,2257
2017-10-18,2305
2017-10-19,2334
2017-10-20,2334
2017-10-21,2369
2017-10-22,2365
2017-10-23,2377
2017-10-24,2399
2017-10-25,2407
2017-10-26,2396
2017-10-27,2394
2017-10-28,2394
2017-10-29,2392
2017-10-30,2497
2017-10-31,2580
2017-11-01,2580
2017-11-02,2699
2017-11-03,2699
2017-11-04,2731
2017-11-05,2725
2017-11-06,2696
2017-11-07,2696
2017-11-08,2659
2017-11-09,2598
2017-11-10,2598
2017-11-11,2551
2017-11-12,2447
2017-11-13,2388
2017-11-14,2388
2017-11-15,2404
2017-11-16,2519
2017-11-17,2641
2017-11-18,2641
2017-11-19,2667
2017-11-20,2741
2017-11-21,2836
2017-11-22,2836
2017-11-23,2830
2017-11-24,2830
2017-11-25,2863
2017-11-26,2935
2017-11-27,2935
2017-11-28,3077
2017-11-29,3226
2017-11-30,3226
2017-12-01,3325
2017-12-02,3325
2017-12-03,3318
2017-12-04,3318
2017-12-05,3247
2017-12-06,3142
2017-12-07,3075
2017-12-08,3075
2017-12-09,3043
2017-12-10,3018
2017-12-11,3060
2017-12-12,3063
2017-12-13,3046
2017-12-14,3072
2017-12-15,3028
2017-12-16,2899
2017-12-17,2819
2017-12-18,2815
2017-12-19,2800
2017-12-20,2818
2017-12-21,2826
2017-12-22,2832
2017-12-23,2792
2017-12-24,2792
2017-12-25,2749
2017-12-26,2770
2017-12-27,2695
2017-12-28,2685
2017-12-29,2694
2017-12-30,2615
2017-12-31,2615
2018-01-01,2517
2018-01-02,2450
2018-01-03,2431
2018-01-04,2340
2018-01-05,2271
2018-01-06,2236
2018-01-07,2184
2018-01-08,2132
2018-01-09,2118
2018-01-10,2107
2018-01-11,2083
2018-01-12,2077
2018-01-13,2016
2018-01-14,2010
2018-01-15,1952
2018-01-16,1919
2018-01-17,1917
2018-01-18,1897
2018-01-19,1897
2018-01-20,1952
2018-01-21,2013
2018-01-22,2080
2018-01-23,2158
2018-01-24,2213
2018-01-25,2238
2018-01-26,2306
2018-01-27,2382
2018-01-28,2463
2018-01-29,2509
2018-01-30,2422
2018-01-31,2367
2018-02-01,2258
2018-02-02,2158
2018-02-03,2105
2018-02-04,2078
2018-02-05,2100
2018-02-06,2138
2018-02-07,2106
2018-02-08,2096
2018-02-09,2055
2018-02-10,2011
2018-02-11,1967
2018-02-12,2004
2018-02-13,1938
2018-02-14,1964
2018-02-15,2045
2018-02-16,2102
2018-02-17,2123
2018-02-18,2076
2018-02-19,2013
2018-02-20,2035
2018-02-21,2045
2018-02-22,2036
2018-02-23,2048
2018-02-24,2102
2018-02-25,2205
2018-02-26,2290
2018-02-27,2405
2018-02-28,2399
2018-03-01,2329
2018-03-02,2326
2018-03-03,2277
2018-03-04,2168
2018-03-05,2059
2018-03-06,1956
2018-03-07,1858
2018-03-08,1777
2018-03-09,1789
2018-03-10,1825
2018-03-11,1875
2018-03-12,1901
2018-03-13,1965
2018-03-14,1995
2018-03-15,2009
2018-03-16,2043
2018-03-17,2146
2018-03-18,2253
2018-03-19,2291
2018-03-20,2406
2018-03-21,2488
2018-03-22,2498
2018-03-23,2570
2018-03-24,2543
2018-03-25,2535
2018-03-26,2568
2018-03-27,2678
2018-03-28,2812
2018-03-29,2950
2018-03-30,3012
2018-03-31,2979
2018-04-01,2944
2018-04-02,2900
2018-04-03,2832
2018-04-04,2872
2018-04-05,2961
2018-04-06,2966
2018-04-07,2963
2018-04-08,2829
2018-04-09,2764
2018-04-10,2692
2018-04-11,2629
2018-04-12,2576
2018-04-13,2452
2018-04-14,2329
2018-04-15,2286
2018-04-16,2171
2018-04-17,2062
2018-04-18,1960
2018-04-19,1906
2018-04-20,1869
2018-04-21,1864
2018-04-22,1819
2018-04-23,1889
2018-04-24,1957
2018-04-25,1979
2018-04-26,1954
2018-04-27,1868
2018-04-28,1774
2018-04-29,1705
2018-04-30,1718
2018-05-01,1726
2018-05-02,1708
2018-05-03,1750
2018-05-04,1782
2018-05-05,1853
2018-05-06,1891
2018-05-07,1892
2018-05-08,1979
2018-05-09,2049
2018-05-10,2111
2018-05-11,2164
2018-05-12,2159
2018-05-13,2175
2018-05-14,2127
2018-05-15,2046
2018-05-16,1979
2018-05-17,1904
2018-05-18,1820
2018-05-19,1729
2018-05-20,1677
2018-05-21,1597
2018-05-22,1573
2018-05-23,1548
2018-05-24,1481
2018-05-25,1436
2018-05-26,1398
2018-05-27,1398
2018-05-28,1344
2018-05-29,1355
2018-05-30,1377
2018-05-31,1421
2018-06-01,1492
2018-06-02,1546
2018-06-03,1563
2018-06-04,1571
2018-06-05,1572
2018-06-06,1529
2018-06-07,1507
2018-06-08,1447
2018-06-09,1374
2018-06-10,1305
2018-06-11,1245
2018-06-12,1230
2018-06-13,1203
2018-06-14,1223
2018-06-15,1229
2018-06-16,1220
2018-06-17,1227
2018-06-18,1198
2018-06-19,1208
2018-06-20,1208
2018-06-21,1251
2018-06-22,1307
2018-06-23,1373
2018-06-24,1436
2018-06-25,1507
2018-06-26,1583
2018-06-27,1663
2018-06-28,1747
2018-06-29,1824
2018-06-30,1873
2018-07-01,1948
2018-07-02,2020
2018-07-03,1969
2018-07-04,1924
2018-07-05,1875
2018-07-06,1805
2018-07-07,1800
2018-07-08,1788
2018-07-09,1799
2018-07-10,1780
2018-07-11,1833
2018-07-12,1868
2018-07-13,1793
2018-07-14,1805
2018-07-15,1755
2018-07-16,1807
2018-07-17,1802
2018-07-18,1823
2018-07-19,1837
2018-07-20,1860
2018-07-21,1863
2018-07-22,1912
2018-07-23,1931
2018-07-24,1880
2018-07-25,1903
2018-07-26,1943
2018-07-27,1987
2018-07-28,2029
2018-07-29,2081
2018-07-30,2151
2018-07-31,2213
2018-08-01,2219
2018-08-02,2269
2018-08-03,2273
2018-08-04,2284
2018-08-05,2195
2018-08-06,2187
2018-08-07,2192
2018-08-08,2188
2018-08-09,2282
2018-08-10,2347
2018-08-11,2405
2018-08-12,2516
2018-08-14,2712
2018-08-16,2991
2018-08-17,2952
2018-08-18,2910
2018-08-19,2834
2018-08-20,2768
2018-08-21,2683
2018-08-22,2598
2018-08-23,2532
2018-08-24,2454
2018-08-25,2454
2018-08-26,2435
2018-08-27,2484
2018-08-28,2465
2018-08-29,2428
2018-08-30,2345
2018-08-31,2325
2018-09-01,2340
2018-09-02,2344
2018-09-03,2439
2018-09-04,2561
2018-09-05,2690
2018-09-06,2825
2018-09-07,2966
2018-09-08,3115
2018-09-09,3268
2018-09-10,3320
2018-09-11,3191
2018-09-12,3031
2018-09-13,2918
2018-09-14,2806
2018-09-15,2665
2018-09-16,2531
2018-09-17,2404
2018-09-18,2283
2018-09-19,2195
2018-09-20,2117
2018-09-21,2080
2018-09-22,2013
2018-09-23,2029
2018-09-24,2056
2018-09-25,2130
2018-09-26,2177
2018-09-27,2284
2018-09-28,2384
2018-09-29,2476
2018-09-30,2552
2018-10-01,2602
2018-10-02,2581
2018-10-03,2571
2018-10-04,2552
2018-10-05,2550
2018-10-06,2513
2018-10-07,2471
2018-10-08,2410
2018-10-09,2456
2018-10-10,2494
2018-10-11,2451
2018-10-12,2384
2018-10-13,2330
2018-10-14,2346
2018-10-15,2229
2018-10-16,2144
2018-10-17,2081
2018-10-18,2098
2018-10-19,2068
2018-10-20,2037
2018-10-21,2057
2018-10-22,2061
2018-10-23,1957
2018-10-24,1931
2018-10-25,1912
2018-10-26,1882
2018-10-27,1943
2018-10-28,2032
2018-10-29,2119
2018-10-30,2225
2018-10-31,2337
2018-11-01,2454
2018-11-03,2481
2018-11-04,2432
2018-11-05,2429
2018-11-06,2404
2018-11-07,2434
2018-11-08,2475
2018-11-09,2547
2018-11-10,2589
2018-11-11,2615
2018-11-12,2713
2018-11-13,2849
2018-11-14,2992
2018-11-15,3140
2018-11-16,3267
2018-11-17,3365
2018-11-18,3519
2018-11-19,3693
2018-11-20,3878
2018-11-21,3923
2018-11-22,3763
2018-11-23,3574
2018-11-24,3418
2018-11-25,3247
2018-11-26,3084
2018-11-27,2929
2018-11-28,2782
2018-11-29,2642
2018-12-01,2383
2018-12-02,2263
2018-12-03,2149
2018-12-04,2041
2018-12-05,1938
2018-12-07,1809
2018-12-09,1706
2018-12-10,1676
2018-12-11,1678
2018-12-12,1718
2018-12-13,1728
2018-12-14,1735
2018-12-15,1742
2018-12-16,1802
2018-12-17,1865
2018-12-18,1920
2018-12-19,1922
2018-12-20,1919
2018-12-21,1967
2018-12-22,1926
2018-12-23,1903
2018-12-24,1840
2018-12-25,1832
2018-12-26,1814
2018-12-27,1807
2018-12-28,1781
2018-12-29,1771
2018-12-30,1771
2018-12-31,1801
2019-01-01,1799
2019-01-02,1790
2019-01-03,1808
2019-01-04,1816
2019-01-05,1855
2019-01-06,1856
2019-01-08,1843
2019-01-10,1775
2019-01-11,1687
2019-01-12,1646
2019-01-13,1649
2019-01-14,1628
2019-01-15,1564
2019-01-16,1513
2019-01-17,1453
2019-01-18,1444
2019-01-19,1411
