date_obj,Ham%20hood price
2017-10-29,276
2017-10-30,276
2017-10-31,271
2017-11-01,271
2017-11-02,274
2017-11-03,274
2017-11-04,272
2017-11-05,272
2017-11-06,264
2017-11-07,264
2017-11-08,257
2017-11-09,256
2017-11-10,256
2017-11-11,259
2017-11-12,260
2017-11-13,260
2017-11-14,261
2017-11-15,261
2017-11-16,259
2017-11-17,259
2017-11-18,258
2017-11-19,258
2017-11-20,262
2017-11-21,268
2017-11-22,268
2017-11-23,269
2017-11-24,269
2017-11-25,267
2017-11-26,267
2017-11-27,263
2017-11-28,262
2017-11-29,262
2017-11-30,261
2017-12-01,257
2017-12-02,257
2017-12-03,256
2017-12-04,256
2017-12-05,256
2017-12-06,256
2017-12-07,251
2017-12-08,251
2017-12-09,250
2017-12-10,254
2017-12-11,254
2017-12-12,249
2017-12-13,249
2017-12-14,250
2017-12-15,253
2017-12-16,253
2017-12-17,254
2017-12-18,256
2017-12-19,256
2017-12-20,251
2017-12-21,251
2017-12-22,251
2017-12-23,249
2017-12-24,249
2017-12-25,246
2017-12-26,246
2017-12-27,248
2017-12-28,248
2017-12-29,242
2017-12-30,247
2017-12-31,247
2018-01-01,245
2018-01-02,245
2018-01-03,243
2018-01-04,243
2018-01-05,245
2018-01-06,243
2018-01-07,243
2018-01-08,246
2018-01-09,248
2018-01-10,248
2018-01-11,244
2018-01-12,244
2018-01-13,246
2018-01-14,246
2018-01-15,242
2018-01-16,239
2018-01-17,234
2018-01-18,230
2018-01-19,230
2018-01-20,224
2018-01-21,224
2018-01-22,218
2018-01-23,219
2018-01-25,215
2018-01-26,212
2018-01-27,211
2018-01-28,217
2018-01-29,222
2018-01-30,222
2018-01-31,219
2018-02-01,221
2018-02-02,223
2018-02-03,225
2018-02-04,222
2018-02-05,216
2018-02-06,219
2018-02-07,218
2018-02-08,218
2018-02-09,219
2018-02-10,214
2018-02-11,212
2018-02-12,212
2018-02-13,206
2018-02-14,204
2018-02-15,205
2018-02-16,206
2018-02-17,207
2018-02-18,206
2018-02-19,207
2018-02-20,206
2018-02-21,199
2018-02-22,201
2018-02-23,201
2018-02-24,198
2018-02-25,200
2018-02-26,202
2018-02-27,206
2018-02-28,204
2018-03-01,205
2018-03-02,212
2018-03-03,216
2018-03-04,216
2018-03-05,211
2018-03-06,211
2018-03-07,215
2018-03-08,216
2018-03-09,212
2018-03-10,214
