date_obj,Red%20elegant%20blouse price
2017-09-05,7286
2017-09-06,7286
2017-09-07,7286
2017-09-08,7286
2017-09-09,7286
2017-09-10,7231
2017-09-11,7231
2017-09-12,7231
2017-09-13,7231
2017-09-14,7231
2017-09-15,7231
2017-09-16,7506
2017-09-17,7506
2017-09-19,7506
2017-09-20,7506
2017-09-21,7506
2017-09-22,7522
2017-09-23,7522
2017-09-24,7522
2017-09-25,7522
2017-09-26,7522
2017-09-27,7522
2017-09-28,7627
2017-09-29,7627
2017-09-30,7627
2017-10-01,7627
2017-10-02,7627
2017-10-03,7415
2017-10-04,7415
2017-10-05,7415
2017-10-06,7415
2017-10-07,7415
2017-10-08,7275
2017-10-09,7275
2017-10-10,7275
2017-10-11,7275
2017-10-12,7275
2017-10-13,7066
2017-10-14,7066
2017-10-15,7066
2017-10-16,7066
2017-10-17,7066
2017-10-18,7066
2017-10-19,7066
2017-10-20,7052
2017-10-21,7052
2017-10-22,7052
2017-10-23,7052
2017-10-24,7052
2017-10-25,7170
2017-10-26,7170
2017-10-27,7170
2017-10-28,7170
2017-10-29,7170
2017-10-30,7170
2017-10-31,7504
2017-11-01,7504
2017-11-02,7504
2017-11-03,7504
2017-11-04,7504
2017-11-05,7504
2017-11-06,7504
2017-11-07,7845
2017-11-08,7845
2017-11-09,7845
2017-11-10,7845
2017-11-11,7845
2017-11-12,7845
2017-11-13,7845
2017-11-14,8207
2017-11-15,8207
2017-11-16,8207
2017-11-17,8207
2017-11-18,8207
2017-11-19,8207
2017-11-20,8008
2017-11-21,8008
2017-11-22,8008
2017-11-23,8008
2017-11-24,8008
2017-11-25,8099
2017-11-26,8099
2017-11-27,8099
2017-11-28,8099
2017-11-29,8099
2017-11-30,8099
2017-12-01,8099
2017-12-02,8117
2017-12-03,8117
2017-12-04,8117
2017-12-05,8117
2017-12-06,8117
2017-12-07,8117
2017-12-08,8050
2017-12-09,8050
2017-12-10,8050
2017-12-11,8050
2017-12-12,8050
2017-12-14,7938
2017-12-15,7938
2017-12-16,7938
2017-12-17,7938
2017-12-18,7924
2017-12-19,7924
2017-12-20,7924
2017-12-21,7924
2017-12-22,7924
2017-12-23,7778
2017-12-24,7778
2017-12-25,7778
2017-12-26,7778
2017-12-27,7778
2017-12-28,7778
2017-12-29,7713
2017-12-30,7713
2017-12-31,7713
2018-01-01,7713
2018-01-02,7619
2018-01-03,7619
2018-01-04,7619
2018-01-05,7619
2018-01-06,7619
2018-01-07,7619
2018-01-08,7282
2018-01-09,7282
2018-01-10,7282
2018-01-11,7282
2018-01-12,7282
2018-01-13,7067
2018-01-14,7067
2018-01-15,7067
2018-01-16,7067
2018-01-17,7067
2018-01-18,7403
2018-01-19,7403
2018-01-20,7403
2018-01-21,7403
2018-01-22,7403
2018-01-23,7713
2018-01-24,7713
2018-01-25,7713
2018-01-26,7713
2018-01-27,7713
2018-01-28,7859
2018-01-29,7859
2018-01-31,7859
2018-02-01,7859
2018-02-02,7859
2018-02-03,8041
2018-02-04,8041
2018-02-05,8041
2018-02-06,8041
2018-02-07,8041
2018-02-08,7961
2018-02-09,7961
2018-02-10,7961
2018-02-11,7961
2018-02-12,7961
2018-02-13,7961
2018-02-14,8216
2018-02-15,8216
2018-02-16,8216
2018-02-17,8216
2018-02-18,8216
2018-02-19,8432
2018-02-20,8432
2018-02-21,8432
2018-02-22,8432
2018-02-23,8432
2018-02-24,8432
2018-02-25,8602
2018-02-26,8602
2018-02-27,8602
2018-02-28,8602
2018-03-01,8602
2018-03-02,8602
2018-03-03,8586
2018-03-04,8586
2018-03-05,8586
2018-03-06,8586
2018-03-07,8586
2018-03-08,8367
2018-03-09,8367
2018-03-10,8367
2018-03-11,8367
2018-03-12,8367
2018-03-13,8243
2018-03-14,8243
2018-03-15,8243
2018-03-16,8243
2018-03-17,8243
2018-03-18,8243
2018-03-19,8243
2018-03-20,8308
2018-03-21,8308
2018-03-23,8308
2018-03-24,8308
2018-03-26,8308
2018-03-27,8165
2018-03-28,8165
2018-03-29,8165
2018-03-30,8165
2018-03-31,8165
2018-04-01,8165
2018-04-02,8067
2018-04-03,8067
2018-04-04,8067
2018-04-05,8067
2018-04-06,8067
2018-04-08,7810
2018-04-09,7810
2018-04-10,7810
2018-04-11,7810
2018-04-12,7810
2018-04-13,7810
2018-04-14,7810
2018-04-15,7714
2018-04-16,7714
2018-04-17,7714
2018-04-18,7714
2018-04-19,7714
2018-04-20,7714
2018-04-21,7714
2018-04-22,8079
2018-04-23,8079
2018-04-24,8079
2018-04-25,8079
2018-04-26,8079
2018-04-27,8079
2018-04-28,8069
2018-04-29,8069
2018-04-30,8069
2018-05-01,8069
2018-05-02,8069
2018-05-03,8069
2018-05-04,8069
2018-05-05,8054
2018-05-06,8054
2018-05-07,8054
2018-05-08,8054
2018-05-09,8054
2018-05-10,8054
2018-05-11,7915
2018-05-12,7915
2018-05-13,7915
2018-05-14,7915
2018-05-15,7915
2018-05-16,7915
2018-05-17,7915
2018-05-18,7822
2018-05-19,7822
2018-05-20,7822
2018-05-21,7822
2018-05-22,7822
2018-05-23,7631
2018-05-24,7631
2018-05-25,7631
2018-05-26,7631
2018-05-27,7631
2018-05-28,7453
