date_obj,Cemetery%20teleport%20(tablet) price
2019-05-01,2014
2019-05-02,2014
2019-05-03,1913
2019-05-04,1913
2019-05-05,1862
2019-05-06,1862
2019-05-07,1822
2019-05-08,1822
2019-05-09,1822
2019-05-10,1821
2019-05-11,1821
2019-05-12,1777
2019-05-13,1777
2019-05-14,1782
2019-05-15,1782
2019-05-16,1782
2019-05-17,1736
2019-05-18,1736
2019-05-19,1717
2019-05-20,1717
2019-05-21,1725
2019-05-22,1725
2019-05-23,1779
2019-05-24,1779
2019-05-25,1739
2019-05-26,1739
2019-05-27,1715
2019-05-28,1715
2019-05-29,1784
2019-05-30,1784
2019-05-31,1784
2019-06-01,1867
2019-06-02,1867
2019-06-03,1961
2019-06-04,1961
2019-06-05,2060
2019-06-06,2060
2019-06-07,2149
2019-06-08,2149
2019-06-09,2214
2019-06-10,2214
2019-06-11,2214
2019-06-12,2293
2019-06-13,2293
2019-06-14,2235
2019-06-15,2235
2019-06-16,2149
2019-06-17,2149
2019-06-18,2149
2019-06-19,2041
2019-06-20,2041
2019-06-21,2031
2019-06-22,2031
2019-06-23,2058
2019-06-24,2058
2019-06-25,2058
2019-06-26,2124
2019-06-27,2124
2019-06-28,2134
2019-06-29,2134
2019-06-30,2165
2019-07-01,2165
2019-07-02,2165
2019-07-03,2092
2019-07-04,2092
2019-07-05,2092
2019-07-06,2037
2019-07-07,2037
2019-07-08,2037
2019-07-09,1939
2019-07-10,1939
2019-07-11,1939
2019-07-12,1842
2019-07-13,1842
2019-07-14,1845
2019-07-15,1845
2019-07-16,1845
2019-07-17,1817
2019-07-18,1817
2019-07-19,1817
2019-07-20,1805
2019-07-21,1805
2019-07-22,1742
2019-07-23,1742
2019-07-24,1742
2019-07-25,1696
2019-07-26,1696
2019-07-27,1696
2019-07-28,1657
2019-07-29,1657
2019-07-30,1657
2019-07-31,1678
2019-08-01,1678
2019-08-02,1678
2019-08-03,1714
2019-08-04,1714
2019-08-05,1714
2019-08-06,1696
2019-08-07,1696
2019-08-08,1696
2019-08-09,1734
2019-08-10,1734
2019-08-11,1805
2019-08-12,1805
2019-08-13,1805
2019-08-14,1895
2019-08-15,1895
2019-08-16,1960
2019-08-17,1960
2019-08-18,1960
2019-08-19,1906
2019-08-20,1906
2019-08-21,1906
2019-08-22,1828
2019-08-23,1828
2019-08-24,1862
2019-08-24,1862
2019-08-25,1862
2019-08-25,1862
2019-08-26,1862
2019-08-27,1897
2019-08-27,1897
2019-08-28,1897
2019-08-29,1897
2019-08-30,1808
2019-08-31,1808
2019-09-01,1808
2019-09-02,1723
2019-09-03,1723
2019-09-04,1668
2019-09-05,1668
2019-09-06,1668
2019-09-07,1696
2019-09-08,1696
2019-09-09,1696
2019-09-10,1755
2019-09-11,1755
2019-09-12,1755
2019-09-13,1841
2019-09-14,1841
2019-09-15,1928
2019-09-16,1928
2019-09-17,1928
2019-09-18,1913
2019-09-19,1913
2019-09-20,1913
2019-09-21,1970
2019-09-22,1970
2019-09-23,1970
2019-09-24,1930
2019-09-25,1930
2019-09-26,1863
2019-09-27,1863
2019-09-28,1863
2019-09-29,1870
2019-09-30,1870
