date_obj,Crier%20coat price
2018-12-09,14602
2018-12-10,14311
2018-12-11,14032
2018-12-12,14005
2018-12-13,13687
2018-12-14,13398
2018-12-15,13127
2018-12-16,13083
2018-12-17,12884
2018-12-18,12841
2018-12-19,12738
2018-12-20,12680
2018-12-21,12477
2018-12-22,12425
2018-12-23,12364
2018-12-24,12263
2018-12-25,12014
2018-12-26,12136
2018-12-27,12019
2018-12-28,12019
2018-12-29,11453
2018-12-30,11050
2018-12-31,10623
2019-01-01,10442
2019-01-02,10379
2019-01-03,10545
2019-01-04,10423
2019-01-05,10335
2019-01-06,10247
2019-01-08,9731
2019-01-10,9699
2019-01-11,9558
2019-01-12,9417
2019-01-13,9718
2019-01-14,10073
2019-01-15,10387
2019-01-16,10607
2019-01-17,10759
2019-01-18,10800
2019-01-19,10726
2019-01-20,10750
2019-01-21,10513
2019-01-22,10538
2019-01-23,10696
2019-01-24,10867
2019-01-25,10997
2019-01-26,10953
2019-01-27,11207
2019-01-28,11590
2019-01-29,11221
2019-01-30,11260
2019-01-31,11096
2019-02-01,11157
2019-02-02,10764
2019-02-03,10852
2019-02-04,10755
2019-02-05,10839
2019-02-06,10748
2019-02-07,10793
2019-02-08,10835
2019-02-09,10938
2019-02-10,11091
2019-02-11,11258
2019-02-12,11335
2019-02-13,11589
2019-02-14,11600
2019-02-15,11787
2019-02-16,11854
2019-02-17,11871
2019-02-18,11600
2019-02-19,11465
2019-02-20,11366
2019-02-21,11027
2019-02-22,10803
2019-02-23,10736
2019-02-24,10669
2019-02-25,10790
2019-02-26,11053
2019-02-27,11138
2019-02-28,10875
2019-03-01,10549
2019-03-02,10220
2019-03-03,9945
2019-03-04,9620
2019-03-05,9435
2019-03-06,9376
2019-03-07,9327
2019-03-08,9327
2019-03-09,9265
2019-03-10,9376
2019-03-11,9808
2019-03-12,10068
2019-03-13,9613
2019-03-14,9858
2019-03-15,9721
2019-03-16,9531
2019-03-17,9365
2019-03-18,8921
2019-03-19,8666
2019-03-20,8669
2019-03-21,8734
2019-03-22,8552
2019-03-23,8611
2019-03-24,8965
2019-03-25,9338
2019-03-26,9658
2019-03-27,9658
2019-03-28,9819
2019-03-29,9694
2019-03-30,9694
2019-03-31,9333
2019-04-01,8929
2019-04-02,8546
2019-04-03,8301
2019-04-04,8109
2019-04-05,7991
2019-04-06,8065
2019-04-07,7877
2019-04-08,7513
2019-04-09,7207
2019-04-10,7161
2019-04-11,7005
2019-04-12,6896
2019-04-13,6896
2019-04-14,6976
2019-04-15,7005
2019-04-16,7085
2019-04-17,7180
2019-04-18,7264
2019-04-19,7220
2019-04-20,7043
2019-04-21,6690
2019-04-22,6361
2019-04-23,6124
2019-04-24,5957
2019-04-25,5969
2019-04-26,5954
2019-04-27,5999
2019-04-28,6147
2019-04-29,6291
2019-04-30,6359
2019-05-01,6573
2019-05-02,6508
2019-05-03,6425
2019-05-04,6417
2019-05-05,6314
2019-05-06,6281
2019-05-07,6394
2019-05-08,6520
2019-05-09,6548
2019-05-10,6522
2019-05-11,6522
2019-05-12,6302
2019-05-13,6481
2019-05-14,6464
2019-05-15,6143
2019-05-16,6149
2019-05-17,6318
2019-05-18,6304
2019-05-19,6473
2019-05-20,6545
2019-05-21,6547
2019-05-22,6601
2019-05-23,6422
2019-05-24,6401
2019-05-25,6582
2019-05-26,6577
2019-05-27,6621
2019-05-28,6786
2019-05-29,6866
2019-05-30,6624
2019-05-31,6618
2019-06-01,6674
2019-06-02,6605
2019-06-03,6570
2019-06-04,6599
2019-06-05,6542
2019-06-06,6594
2019-06-07,6715
2019-06-08,6645
2019-06-09,6555
2019-06-10,6555
2019-06-11,6627
2019-06-12,6725
2019-06-13,6743
2019-06-14,6807
2019-06-15,6822
2019-06-16,6731
2019-06-17,6690
2019-06-18,6576
2019-06-19,6738
2019-06-20,6910
2019-06-21,6948
2019-06-22,6948
2019-06-23,6635
2019-06-24,6438
2019-06-25,6292
2019-06-26,6019
2019-06-27,5788
2019-06-28,5788
2019-06-29,5528
2019-06-30,5435
2019-07-01,5435
2019-07-02,5404
2019-07-03,5389
2019-07-04,5389
2019-07-05,5438
2019-07-06,5634
2019-07-07,5713
2019-07-08,5540
2019-07-09,5321
2019-07-10,5164
2019-07-11,5126
2019-07-12,5084
2019-07-13,5084
2019-07-14,5066
2019-07-15,5066
2019-07-16,5202
2019-07-17,5282
2019-07-18,5334
2019-07-19,5476
2019-07-20,5591
2019-07-21,5791
2019-07-22,5983
2019-07-23,6246
2019-07-24,6246
2019-07-25,6309
2019-07-26,6304
2019-07-27,6411
2019-07-28,6210
2019-07-29,6243
2019-07-30,6193
2019-07-31,6181
2019-08-01,5907
2019-08-02,5787
2019-08-03,5800
2019-08-04,5765
2019-08-05,5821
2019-08-06,5761
2019-08-07,5813
2019-08-08,5813
2019-08-09,5748
2019-08-10,5522
2019-08-11,5508
2019-08-12,5457
2019-08-13,5479
2019-08-14,5655
2019-08-15,5606
2019-08-16,5752
2019-08-17,5752
2019-08-18,5808
2019-08-19,5906
2019-08-20,6127
2019-08-21,5994
2019-08-22,5890
2019-08-23,5890
2019-08-24,5924
2019-08-24,5924
2019-08-25,5924
2019-08-25,5924
2019-08-26,6151
2019-08-27,6380
2019-08-27,6380
2019-08-28,6577
2019-08-29,6590
2019-08-30,6689
2019-08-31,6689
2019-09-01,6779
2019-09-02,6779
2019-09-03,6824
2019-09-04,6864
2019-09-05,6974
2019-09-06,6974
2019-09-07,7040
2019-09-08,7099
2019-09-09,6935
2019-09-10,7070
2019-09-11,7282
2019-09-12,7340
2019-09-13,6977
2019-09-14,6696
2019-09-15,6509
2019-09-16,6183
2019-09-17,5899
2019-09-18,5792
2019-09-19,5832
2019-09-20,5609
2019-09-21,5696
2019-09-22,5607
2019-09-23,5523
2019-09-24,5523
2019-09-25,5521
2019-09-26,5663
2019-09-27,5663
2019-09-28,5641
2019-09-29,5641
2019-09-30,5720
2019-10-01,5852
2019-10-02,5852
2019-10-03,6047
2019-10-04,6210
2019-10-05,6031
2019-10-06,6046
2019-10-07,5791
2019-10-08,5670
2019-10-09,5594
2019-10-10,5618
2019-10-11,5593
2019-10-12,5571
2019-10-13,5743
2019-10-14,5961
2019-10-15,5961
2019-10-16,6176
2019-10-17,6088
2019-10-18,5847
2019-10-19,5759
2019-10-20,5806
2019-10-21,5912
2019-10-22,6035
2019-10-23,6017
2019-10-24,5986
2019-10-25,5943
2019-10-26,5841
2019-10-27,5749
2019-10-28,5571
2019-10-29,5571
2019-10-30,5466
2019-10-31,5508
2019-11-01,5508
2019-11-02,5569
2019-11-03,5515
2019-11-04,5413
2019-11-05,5413
2019-11-06,5346
2019-11-07,5213
2019-11-08,5261
2019-11-09,5240
2019-11-10,5200
2019-11-11,5295
2019-11-12,5295
2019-11-13,5349
2019-11-14,5349
2019-11-15,5512
2019-11-16,5668
2019-11-17,5668
2019-11-18,5832
2019-11-19,5832
2019-11-20,6030
2019-11-21,6030
2019-11-22,6001
2019-11-23,5900
2019-11-24,5768
2019-11-25,5694
2019-11-26,5563
2019-11-27,5563
2019-11-28,5480
2019-11-29,5480
2019-11-30,5472
2019-12-01,5472
2019-12-02,5613
2019-12-03,5838
2019-12-04,5838
2019-12-05,6043
2019-12-06,6165
2019-12-07,6344
2019-12-08,6344
2019-12-09,6546
2019-12-10,6724
2019-12-11,6590
2019-12-12,6590
2019-12-13,6477
2019-12-14,6560
2019-12-15,6729
2019-12-16,6729
2019-12-17,6642
2019-12-18,6642
2019-12-19,6579
2019-12-20,6475
2019-12-21,6176
2019-12-22,6175
2019-12-23,6175
2019-12-24,6324
2019-12-25,6445
2019-12-26,6445
2019-12-27,6625
2019-12-28,6855
2019-12-29,6912
2019-12-30,7069
2019-12-31,7047
2020-01-01,7150
2020-01-02,7319
2020-01-03,7319
2020-01-04,7312
2020-01-05,7293
2020-01-06,7075
2020-01-07,7088
2020-01-08,7088
2020-01-09,7005
2020-01-10,6919
2020-01-11,6763
2020-01-12,6476
2020-01-13,6476
2020-01-14,6471
2020-01-15,6357
2020-01-16,6293
2020-01-17,6207
2020-01-18,6207
2020-01-19,6359
2020-01-20,6606
2020-01-21,6606
2020-01-22,6677
2020-01-23,6495
2020-01-24,6187
2020-01-25,5882
2020-01-26,5765
2020-01-27,5747
2020-01-28,5747
2020-01-29,5734
2020-01-30,5729
2020-01-31,5546
2020-02-01,5427
2020-02-02,5230
2020-02-03,5018
2020-02-04,4916
