date_obj,Stretched%20hide price
2018-08-29,25780
2018-08-30,25780
2018-08-31,25780
2018-09-01,25780
2018-09-02,25780
2018-09-03,25780
2018-09-04,25780
2018-09-05,25780
2018-09-06,25780
2018-09-07,25780
2018-09-08,25780
2018-09-09,25780
2018-09-10,25780
2018-09-11,25780
2018-09-12,25780
2018-09-13,24504
2018-09-14,24504
2018-09-15,24504
2018-09-16,24504
2018-09-17,24504
2018-09-18,24504
2018-09-19,24504
2018-09-20,24504
2018-09-21,24504
2018-09-22,24504
2018-09-23,24504
2018-09-24,24504
2018-09-25,24504
2018-09-26,24504
2018-09-27,24504
2018-09-28,24504
2018-09-29,24504
2018-09-30,24504
2018-10-02,24504
2018-10-03,24504
2018-10-04,24504
2018-10-05,24504
2018-10-06,24504
2018-10-07,24504
2018-10-08,24504
2018-10-09,24504
2018-10-10,23538
2018-10-11,23538
2018-10-12,23538
2018-10-13,23538
2018-10-14,23538
2018-10-15,23538
2018-10-16,23538
2018-10-17,23538
2018-10-18,23538
2018-10-19,23538
2018-10-20,23538
2018-10-21,23538
2018-10-22,23538
2018-10-23,23538
2018-10-24,23538
2018-10-25,23538
2018-10-26,23538
2018-10-27,23538
2018-10-28,23538
2018-10-29,23538
2018-10-30,23538
2018-10-31,23538
2018-11-01,23538
2018-11-03,23538
2018-11-04,23538
2018-11-05,23538
2018-11-06,22395
2018-11-07,22395
2018-11-08,22395
2018-11-09,22395
2018-11-10,22395
2018-11-11,22395
2018-11-12,22395
2018-11-13,22395
2018-11-14,22395
2018-11-15,22395
2018-11-16,22395
2018-11-17,22395
2018-11-18,22395
2018-11-19,22395
2018-11-20,22395
2018-11-21,22395
2018-11-22,22395
2018-11-23,22395
2018-11-24,22395
2018-11-25,22395
2018-11-26,22395
2018-11-27,22395
2018-11-28,22395
2018-11-29,22395
2018-12-01,22395
2018-12-02,22395
2018-12-03,21667
2018-12-04,21667
2018-12-05,21667
2018-12-07,21667
2018-12-09,21667
2018-12-10,21667
2018-12-11,21667
2018-12-12,21667
2018-12-13,21667
2018-12-14,21667
2018-12-15,21667
2018-12-16,21667
2018-12-17,21667
2018-12-18,21667
2018-12-19,21667
2018-12-20,21667
2018-12-21,21667
2018-12-22,21667
2018-12-23,20738
2018-12-24,20738
2018-12-25,20738
2018-12-26,20738
2018-12-27,20738
2018-12-28,20738
2018-12-29,20738
2018-12-30,20738
2018-12-31,20738
2019-01-01,20738
2019-01-02,20738
2019-01-03,20738
2019-01-04,20738
2019-01-05,20738
2019-01-06,20738
2019-01-08,20738
2019-01-10,19923
2019-01-11,19923
2019-01-12,19008
2019-01-13,19008
2019-01-14,19008
2019-01-15,18069
2019-01-16,18069
2019-01-17,18069
2019-01-18,18069
2019-01-19,18069
2019-01-20,17205
2019-01-21,17205
2019-01-22,17205
2019-01-23,17205
2019-01-24,17205
2019-01-25,16472
2019-01-26,16472
2019-01-27,16472
2019-01-28,16472
2019-01-29,16472
2019-01-30,16472
2019-01-31,16472
2019-02-01,15659
