date_obj,Blue%20spiky%20vambraces price
2019-01-14,2952
2019-01-15,2952
2019-01-16,3006
2019-01-17,3006
2019-01-18,2997
2019-01-19,2997
2019-01-20,2954
2019-01-21,2954
2019-01-22,2874
2019-01-23,2874
2019-01-24,2806
2019-01-25,2752
2019-01-26,2752
2019-01-27,2767
2019-01-28,2767
2019-01-29,2637
2019-01-30,2637
2019-01-31,2537
2019-02-01,2537
2019-02-02,2452
2019-02-03,2431
2019-02-04,2431
2019-02-05,2408
2019-02-06,2408
2019-02-07,2327
2019-02-08,2327
2019-02-09,2354
2019-02-10,2354
2019-02-11,2336
2019-02-12,2336
2019-02-13,2389
2019-02-14,2389
2019-02-15,2389
2019-02-16,2425
2019-02-17,2425
2019-02-18,2506
2019-02-19,2506
2019-02-20,2527
2019-02-21,2527
2019-02-22,2490
2019-02-23,2490
2019-02-24,2411
2019-02-25,2411
2019-02-26,2400
2019-02-27,2400
2019-02-28,2400
2019-03-01,2411
2019-03-02,2411
2019-03-03,2409
2019-03-04,2409
2019-03-05,2460
2019-03-06,2460
2019-03-07,2411
2019-03-08,2411
2019-03-09,2411
2019-03-10,2419
2019-03-11,2419
2019-03-12,2367
2019-03-13,2367
2019-03-14,2367
2019-03-15,2372
2019-03-16,2372
2019-03-17,2347
2019-03-18,2347
2019-03-19,2347
