date_obj,Cocktail%20glass price
2019-06-21,185
2019-06-22,179
2019-06-23,171
2019-06-24,162
2019-06-25,153
2019-06-26,147
2019-06-27,146
2019-06-28,146
2019-06-29,149
2019-06-30,148
2019-07-01,148
2019-07-02,146
2019-07-03,149
2019-07-04,150
2019-07-05,158
2019-07-06,166
2019-07-07,175
2019-07-08,182
2019-07-09,172
2019-07-10,164
2019-07-11,162
2019-07-12,157
2019-07-13,157
2019-07-14,164
2019-07-15,164
2019-07-16,167
2019-07-17,162
2019-07-18,162
2019-07-19,157
2019-07-20,161
2019-07-21,170
2019-07-22,163
2019-07-23,161
2019-07-24,155
2019-07-25,148
2019-07-26,152
2019-07-27,150
2019-07-28,145
2019-07-29,141
2019-07-30,143
2019-07-31,147
2019-08-01,154
2019-08-02,156
2019-08-03,154
2019-08-04,158
2019-08-05,163
2019-08-06,157
2019-08-07,156
2019-08-08,156
2019-08-09,164
2019-08-10,172
2019-08-11,181
2019-08-12,191
2019-08-13,189
2019-08-14,192
2019-08-15,190
2019-08-16,191
2019-08-17,191
2019-08-18,191
2019-08-19,193
2019-08-20,192
2019-08-21,193
2019-08-22,194
2019-08-23,194
2019-08-24,203
