date_obj,Steel%20platelegs price
2018-07-24,422
2018-07-25,421
2018-07-26,417
2018-07-27,416
2018-07-28,427
2018-07-29,421
2018-07-30,416
2018-07-31,424
2018-08-01,418
2018-08-02,416
2018-08-03,404
2018-08-04,414
2018-08-05,410
2018-08-06,406
2018-08-07,411
2018-08-08,406
2018-08-09,404
2018-08-10,404
2018-08-11,404
2018-08-12,401
2018-08-14,393
2018-08-16,383
2018-08-17,389
2018-08-18,386
2018-08-19,384
2018-08-20,382
2018-08-21,388
2018-08-22,387
2018-08-23,391
2018-08-24,386
2018-08-25,383
2018-08-26,376
2018-08-27,378
2018-08-28,382
2018-08-29,389
2018-08-30,386
2018-08-31,394
2018-09-01,394
2018-09-02,393
2018-09-03,388
2018-09-04,387
2018-09-05,397
2018-09-06,398
2018-09-07,395
2018-09-08,391
2018-09-09,389
2018-09-10,391
2018-09-11,397
2018-09-12,402
2018-09-13,401
2018-09-14,400
2018-09-15,403
2018-09-16,403
2018-09-17,394
2018-09-18,393
2018-09-19,389
2018-09-20,392
2018-09-21,397
2018-09-22,397
2018-09-23,396
2018-09-24,401
2018-09-25,397
2018-09-26,399
2018-09-27,397
2018-09-28,392
2018-09-29,396
2018-09-30,393
2018-10-02,393
2018-10-03,388
2018-10-04,383
2018-10-05,385
2018-10-06,389
2018-10-07,385
2018-10-08,385
2018-10-09,395
2018-10-10,388
2018-10-11,384
2018-10-12,395
2018-10-13,400
2018-10-14,396
2018-10-15,399
2018-10-16,395
2018-10-17,395
2018-10-18,393
2018-10-19,396
2018-10-20,400
2018-10-21,397
2018-10-22,394
2018-10-23,400
2018-10-24,398
2018-10-25,398
2018-10-26,398
2018-10-27,393
2018-10-28,392
2018-10-29,401
2018-10-30,405
2018-10-31,403
2018-11-01,413
2018-11-03,410
2018-11-04,418
2018-11-05,424
2018-11-06,428
2018-11-07,422
2018-11-08,418
2018-11-09,411
2018-11-10,402
2018-11-11,396
2018-11-12,401
2018-11-13,400
2018-11-14,392
2018-11-15,389
2018-11-16,387
2018-11-17,384
2018-11-18,381
2018-11-19,378
2018-11-20,375
2018-11-21,371
2018-11-22,373
2018-11-23,378
2018-11-24,377
2018-11-25,374
2018-11-26,376
2018-11-27,371
2018-11-28,373
2018-11-29,375
2018-12-01,381
2018-12-02,377
2018-12-03,369
2018-12-04,371
2018-12-05,373
2018-12-07,382
2018-12-09,376
2018-12-10,381
2018-12-11,380
2018-12-12,380
2018-12-13,374
2018-12-14,383
2018-12-15,383
2018-12-16,390
2018-12-17,383
2018-12-18,385
2018-12-19,385
2018-12-20,377
2018-12-21,381
2018-12-22,379
2018-12-23,383
2018-12-24,381
2018-12-25,385
2018-12-26,379
2018-12-27,373
2018-12-28,363
2018-12-29,350
2018-12-30,359
2018-12-31,364
2019-01-01,361
2019-01-02,366
2019-01-03,366
2019-01-04,369
2019-01-05,363
2019-01-06,366
2019-01-08,361
2019-01-10,373
2019-01-11,368
2019-01-12,373
2019-01-13,369
2019-01-14,375
2019-01-15,377
2019-01-16,376
2019-01-17,370
2019-01-18,367
2019-01-19,364
2019-01-20,363
2019-01-21,359
2019-01-22,355
2019-01-23,356
2019-01-24,360
2019-01-25,365
2019-01-26,366
2019-01-27,360
2019-01-29,360
2019-01-30,363
2019-01-31,362
2019-02-01,365
2019-02-02,369
2019-02-03,373
2019-02-04,375
2019-02-05,379
2019-02-06,379
2019-02-07,381
2019-02-08,383
2019-02-09,388
2019-02-10,383
2019-02-11,384
2019-02-12,381
2019-02-13,385
2019-02-14,392
2019-02-15,396
2019-02-16,402
2019-02-17,405
2019-02-18,404
2019-02-19,406
2019-02-20,407
2019-02-21,404
2019-02-22,400
2019-02-23,401
2019-02-24,401
2019-02-25,404
2019-02-26,404
2019-02-27,405
2019-02-28,403
2019-03-01,403
2019-03-02,401
2019-03-03,401
2019-03-04,409
2019-03-05,408
2019-03-06,408
2019-03-07,409
2019-03-08,414
2019-03-09,411
2019-03-10,404
2019-03-11,403
2019-03-12,397
2019-03-13,393
2019-03-14,391
2019-03-15,393
2019-03-16,391
2019-03-17,396
2019-03-18,401
2019-03-19,402
2019-03-20,405
2019-03-21,405
2019-03-22,399
2019-03-23,405
2019-03-24,402
2019-03-25,403
2019-03-26,400
2019-03-27,395
2019-03-28,404
2019-03-29,398
2019-03-30,394
2019-03-31,391
2019-04-01,393
2019-04-02,395
2019-04-03,404
2019-04-04,401
2019-04-05,397
2019-04-06,401
2019-04-07,394
2019-04-08,392
2019-04-09,393
2019-04-10,390
2019-04-11,389
2019-04-12,388
2019-04-13,386
2019-04-14,385
2019-04-15,383
2019-04-16,395
2019-04-17,396
2019-04-18,387
2019-04-19,379
2019-04-20,381
2019-04-21,375
2019-04-22,375
2019-04-23,379
2019-04-24,376
2019-04-25,382
2019-04-26,383
2019-04-27,386
2019-04-28,392
2019-04-29,392
2019-04-30,394
2019-05-01,392
2019-05-02,397
2019-05-03,396
2019-05-04,395
2019-05-05,391
2019-05-06,400
2019-05-07,396
2019-05-08,400
2019-05-09,404
2019-05-10,404
2019-05-11,393
2019-05-12,382
2019-05-13,396
2019-05-14,396
2019-05-15,397
2019-05-16,401
2019-05-17,398
2019-05-18,399
2019-05-19,392
2019-05-20,396
2019-05-21,400
2019-05-22,394
2019-05-23,401
2019-05-24,409
2019-05-25,408
2019-05-26,406
2019-05-27,405
2019-05-28,403
2019-05-29,405
2019-05-30,396
2019-05-31,406
2019-06-01,389
2019-06-02,398
2019-06-03,404
2019-06-04,405
2019-06-05,398
2019-06-06,400
2019-06-07,402
2019-06-08,404
2019-06-09,402
2019-06-10,395
2019-06-11,394
2019-06-12,390
2019-06-13,391
2019-06-14,391
2019-06-15,380
2019-06-16,382
2019-06-17,386
2019-06-18,384
2019-06-19,378
2019-06-20,378
2019-06-21,380
2019-06-22,388
2019-06-23,385
2019-06-24,383
2019-06-25,380
2019-06-26,385
2019-06-27,387
2019-06-28,387
2019-06-29,392
2019-06-30,397
2019-07-01,399
2019-07-02,406
2019-07-03,410
2019-07-04,419
2019-07-05,420
2019-07-06,410
2019-07-07,398
2019-07-08,391
2019-07-09,394
2019-07-10,395
2019-07-11,397
2019-07-12,400
2019-07-13,412
2019-07-14,422
2019-07-15,412
2019-07-16,401
2019-07-17,409
2019-07-18,403
2019-07-19,400
2019-07-20,388
2019-07-21,389
2019-07-22,393
2019-07-23,394
2019-07-24,402
2019-07-25,418
2019-07-26,405
2019-07-27,398
2019-07-28,387
2019-07-29,388
2019-07-30,382
2019-07-31,382
2019-08-01,385
2019-08-02,389
2019-08-03,386
2019-08-04,378
2019-08-05,372
2019-08-06,368
2019-08-07,369
2019-08-08,362
2019-08-09,364
2019-08-10,373
2019-08-11,380
2019-08-12,386
2019-08-13,393
2019-08-14,389
2019-08-15,393
2019-08-16,392
2019-08-17,390
2019-08-18,394
2019-08-19,387
2019-08-20,389
2019-08-21,394
2019-08-22,383
2019-08-23,392
2019-08-24,394
2019-08-24,394
2019-08-25,389
2019-08-25,389
2019-08-26,399
2019-08-26,399
2019-08-27,397
2019-08-27,397
2019-08-28,407
2019-08-29,400
2019-08-30,405
2019-08-31,402
2019-09-01,390
