date_obj,Pirate's%20hook price
2017-05-07,6733929
2017-05-08,6733929
2017-05-09,6733929
2017-05-10,6733929
2017-05-11,6733929
2017-05-12,6733929
2017-05-13,6733929
2017-05-14,6733929
2017-05-15,6733929
2017-05-16,6733929
2017-05-17,6733929
2017-05-18,6733929
2017-05-19,6733929
2017-05-20,6733929
2017-05-21,6733929
2017-05-22,6733929
2017-05-23,6733929
2017-05-24,6733929
2017-05-25,6733929
2017-05-26,6733929
2017-05-27,6733929
2017-05-28,6733929
2017-05-29,6733929
2017-05-30,6733929
2017-05-31,6733929
2017-06-01,6733929
2017-06-02,7020189
2017-06-03,7020189
2017-06-06,7020189
2017-06-07,7020189
2017-06-08,7020189
2017-06-09,7020189
2017-06-10,7020189
2017-06-11,7020189
2017-06-12,7020189
2017-06-13,7020189
2017-06-14,7020189
2017-06-15,7020189
2017-06-16,7020189
2017-06-17,7020189
2017-06-18,7020189
2017-06-19,7020189
2017-06-20,7020189
2017-06-21,7020189
2017-06-22,7020189
2017-06-23,7020189
2017-06-24,7020189
2017-06-25,7020189
2017-06-26,7020189
2017-06-27,7020189
2017-06-28,7020189
2017-06-29,7020189
2017-06-30,7020189
2017-07-01,7020189
2017-07-02,7020189
2017-07-03,7020189
2017-07-04,7020189
2017-07-05,7020189
2017-07-06,7020189
2017-07-07,7020189
2017-07-08,7020189
2017-07-13,7020189
2017-07-14,7020189
2017-07-15,7020189
2017-07-16,7020189
2017-07-17,7020189
2017-07-18,7020189
2017-07-19,7020189
2017-07-20,7020189
2017-07-21,7020189
2017-07-22,7020189
2017-07-23,7020189
2017-07-24,7020189
2017-07-25,7020189
2017-07-26,7020189
2017-07-27,7020189
2017-07-28,7020189
2017-07-29,7020189
2017-07-30,7020189
2017-07-31,7020189
2017-08-01,7020189
2017-08-02,7020189
2017-08-03,7020189
2017-08-04,7020189
2017-08-05,7020189
2017-08-06,7020189
2017-08-09,7020189
2017-08-10,7020189
2017-08-11,7020189
2017-08-12,7020189
2017-08-13,7020189
2017-08-14,7020189
2017-08-15,7020189
2017-08-17,7020189
2017-08-18,7020189
2017-08-19,7020189
2017-08-20,7020189
2017-08-22,7020189
2017-08-23,7020189
2017-08-24,7020189
2017-08-25,7020189
2017-08-26,7020189
2017-08-27,7020189
2017-08-28,7020189
2017-08-29,7020189
2017-08-30,7020189
2017-08-31,7020189
2017-09-01,7020189
2017-09-02,7020189
2017-09-03,7020189
2017-09-04,7020189
2017-09-05,7020189
2017-09-06,7020189
2017-09-07,7020189
2017-09-08,7020189
2017-09-09,7020189
2017-09-10,7020189
2017-09-11,7020189
2017-09-12,7020189
2017-09-13,7020189
2017-09-14,7020189
2017-09-15,7020189
2017-09-16,7020189
2017-09-17,7020189
2017-09-19,7020189
2017-09-20,7020189
2017-09-21,7020189
2017-09-22,7020189
2017-09-23,7020189
2017-09-24,7020189
2017-09-25,7020189
2017-09-26,7020189
2017-09-27,7020189
2017-09-28,7020189
2017-09-29,7020189
2017-09-30,7020189
2017-10-01,7020189
2017-10-02,7020189
2017-10-03,7020189
2017-10-04,7020189
2017-10-05,7020189
2017-10-06,7020189
2017-10-07,7020189
2017-10-08,7020189
2017-10-09,7020189
2017-10-10,7020189
2017-10-11,7020189
2017-10-12,7020189
2017-10-13,7020189
2017-10-14,7020189
2017-10-15,7020189
2017-10-16,7020189
2017-10-17,7020189
2017-10-18,7319057
2017-10-19,7319057
2017-10-20,7319057
2017-10-21,7319057
2017-10-22,7319057
2017-10-23,7319057
2017-10-24,7319057
2017-10-25,7319057
2017-10-26,7319057
2017-10-27,7319057
2017-10-28,7319057
2017-10-29,7319057
2017-10-30,7319057
2017-10-31,7319057
2017-11-01,7319057
2017-11-02,7319057
2017-11-03,7319057
2017-11-04,7319057
2017-11-05,7319057
2017-11-06,7319057
2017-11-07,7319057
2017-11-08,7319057
2017-11-09,7319057
2017-11-10,7319057
2017-11-11,7319057
2017-11-12,7319057
2017-11-13,7319057
2017-11-14,7319057
2017-11-15,7319057
2017-11-16,7319057
2017-11-17,7319057
2017-11-18,7319057
2017-11-19,7319057
2017-11-20,7319057
2017-11-21,7319057
2017-11-22,7319057
2017-11-23,7319057
2017-11-24,7319057
2017-11-25,7319057
2017-11-26,7319057
2017-11-27,7319057
2017-11-28,7319057
2017-11-29,7319057
2017-11-30,7319057
2017-12-01,7319057
2017-12-02,7319057
2017-12-03,7319057
2017-12-04,7319057
2017-12-05,7319057
2017-12-06,7319057
2017-12-07,7319057
2017-12-08,7319057
2017-12-09,7319057
2017-12-10,7319057
2017-12-11,7319057
2017-12-12,7319057
2017-12-14,7319057
2017-12-15,7319057
2017-12-16,7319057
2017-12-17,7319057
2017-12-18,7319057
2017-12-19,7319057
2017-12-20,7319057
2017-12-21,7319057
2017-12-22,7319057
2017-12-23,7319057
2017-12-24,7319057
2017-12-25,7319057
2017-12-26,7319057
2017-12-27,7319057
2017-12-28,7319057
2017-12-29,7319057
2017-12-30,7319057
2017-12-31,7319057
2018-01-01,7319057
2018-01-02,7319057
2018-01-03,7319057
2018-01-04,7319057
2018-01-05,7319057
2018-01-06,7319057
2018-01-07,7319057
2018-01-08,7319057
2018-01-09,7319057
2018-01-10,7319057
2018-01-11,7319057
2018-01-12,7319057
2018-01-13,7319057
2018-01-14,7319057
2018-01-15,7319057
2018-01-16,7319057
2018-01-17,7319057
2018-01-18,7319057
2018-01-19,7319057
2018-01-20,7319057
2018-01-21,7319057
2018-01-22,7319057
2018-01-23,7319057
2018-01-24,7097842
2018-01-25,7097842
2018-01-26,7097842
2018-01-27,7097842
