date_obj,Graahk%20top price
2017-11-07,2941
2017-11-08,2941
2017-11-09,2941
2017-11-10,2941
2017-11-11,2941
2017-11-12,2941
2017-11-13,2941
2017-11-14,2941
2017-11-15,2941
2017-11-16,2941
2017-11-17,2941
2017-11-18,2941
2017-11-19,2941
2017-11-20,2941
2017-11-21,2796
2017-11-22,2796
2017-11-23,2796
2017-11-24,2796
2017-11-25,2796
2017-11-26,2796
2017-11-27,2796
2017-11-28,2796
2017-11-29,2796
2017-11-30,2796
2017-12-01,2796
2017-12-02,2796
2017-12-03,2796
2017-12-04,2796
2017-12-05,2796
2017-12-06,2659
2017-12-07,2659
2017-12-08,2659
2017-12-09,2659
2017-12-10,2659
2017-12-11,2659
2017-12-12,2659
2017-12-13,2659
2017-12-14,2659
2017-12-15,2659
2017-12-16,2659
2017-12-17,2659
2017-12-18,2659
2017-12-19,2659
2017-12-20,2575
2017-12-21,2575
2017-12-22,2575
2017-12-23,2575
2017-12-24,2575
2017-12-25,2575
2017-12-26,2575
2017-12-27,2575
2017-12-28,2575
2017-12-29,2575
2017-12-30,2575
2017-12-31,2575
2018-01-01,2575
2018-01-02,2575
2018-01-03,2575
2018-01-04,2575
2018-01-05,2472
2018-01-06,2472
2018-01-07,2472
2018-01-08,2472
2018-01-09,2472
2018-01-10,2472
2018-01-11,2472
2018-01-12,2472
2018-01-13,2472
2018-01-14,2472
2018-01-15,2472
2018-01-16,2472
2018-01-17,2472
2018-01-18,2472
2018-01-19,2472
2018-01-20,2352
2018-01-21,2352
2018-01-22,2352
2018-01-23,2352
2018-01-24,2352
2018-01-25,2352
2018-01-26,2352
2018-01-27,2310
2018-01-28,2310
2018-01-29,2310
2018-01-30,2310
2018-01-31,2310
2018-02-01,2310
2018-02-02,2310
2018-02-03,2310
2018-02-04,2310
2018-02-05,2391
2018-02-06,2391
2018-02-07,2391
2018-02-08,2391
2018-02-09,2391
2018-02-10,2391
2018-02-11,2391
2018-02-12,2391
2018-02-13,2391
2018-02-14,2456
2018-02-15,2456
2018-02-16,2456
2018-02-17,2456
2018-02-18,2456
2018-02-19,2456
2018-02-20,2456
2018-02-21,2482
2018-02-22,2482
2018-02-23,2482
2018-02-24,2482
2018-02-25,2482
2018-02-26,2482
2018-02-27,2482
2018-02-28,2482
2018-03-01,2482
2018-03-02,2473
2018-03-03,2473
2018-03-04,2473
2018-03-05,2473
2018-03-06,2473
2018-03-07,2473
2018-03-08,2473
2018-03-09,2473
2018-03-10,2473
2018-03-11,2371
2018-03-12,2371
2018-03-13,2371
2018-03-14,2371
2018-03-15,2371
2018-03-16,2371
2018-03-17,2371
2018-03-18,2371
2018-03-19,2371
2018-03-20,2256
2018-03-21,2256
2018-03-23,2256
2018-03-24,2256
2018-03-25,2256
2018-03-26,2256
2018-03-27,2256
2018-03-28,2256
2018-03-29,2256
2018-03-30,2160
2018-03-31,2160
2018-04-01,2160
2018-04-02,2160
2018-04-03,2160
2018-04-04,2160
2018-04-05,2160
2018-04-06,2160
2018-04-07,2160
2018-04-08,2076
2018-04-09,2076
2018-04-10,2076
2018-04-11,2076
2018-04-12,2076
2018-04-13,2076
2018-04-14,2076
2018-04-15,2076
2018-04-16,2076
2018-04-17,2076
2018-04-18,2098
2018-04-19,2098
2018-04-20,2098
2018-04-21,2098
2018-04-22,2098
2018-04-23,2098
2018-04-24,2098
2018-04-25,2098
2018-04-26,2098
2018-04-27,2098
2018-04-28,2113
2018-04-29,2113
2018-04-30,2113
2018-05-01,2113
2018-05-03,2113
2018-05-04,2113
2018-05-05,2113
2018-05-06,2113
2018-05-07,2189
2018-05-08,2189
2018-05-09,2189
2018-05-10,2189
2018-05-11,2189
2018-05-12,2189
2018-05-13,2189
2018-05-14,2189
2018-05-15,2189
2018-05-16,2189
2018-05-17,2298
2018-05-18,2298
2018-05-19,2298
2018-05-20,2298
2018-05-21,2298
2018-05-22,2298
2018-05-23,2298
2018-05-24,2298
2018-05-25,2298
2018-05-26,2288
2018-05-27,2288
2018-05-28,2288
2018-05-29,2288
2018-05-30,2288
2018-05-31,2288
2018-06-01,2288
2018-06-02,2288
2018-06-03,2288
2018-06-04,2348
2018-06-05,2348
2018-06-06,2348
2018-06-07,2348
2018-06-08,2348
2018-06-09,2348
2018-06-10,2348
2018-06-11,2348
2018-06-12,2403
2018-06-13,2403
2018-06-14,2403
2018-06-15,2403
2018-06-16,2403
2018-06-17,2403
2018-06-18,2403
2018-06-19,2403
2018-06-20,2403
2018-06-21,2403
2018-06-22,2503
2018-06-23,2503
2018-06-24,2503
2018-06-25,2503
2018-06-26,2503
2018-06-27,2503
2018-06-28,2503
2018-06-29,2503
2018-06-30,2503
2018-07-01,2503
2018-07-02,2503
2018-07-03,2597
2018-07-04,2597
2018-07-05,2597
2018-07-06,2597
2018-07-07,2597
2018-07-08,2597
2018-07-09,2597
2018-07-10,2597
2018-07-11,2597
2018-07-12,2597
2018-07-13,2597
2018-07-14,2597
2018-07-15,2597
2018-07-16,2597
2018-07-17,2597
2018-07-18,2597
2018-07-19,2597
2018-07-20,2631
2018-07-21,2631
2018-07-22,2631
2018-07-23,2631
2018-07-24,2631
2018-07-25,2631
2018-07-26,2631
2018-07-27,2509
2018-07-28,2509
2018-07-29,2509
2018-07-30,2509
2018-07-31,2509
2018-08-01,2509
2018-08-02,2509
2018-08-03,2509
2018-08-04,2516
2018-08-05,2516
2018-08-06,2516
2018-08-07,2516
2018-08-08,2516
2018-08-09,2516
2018-08-10,2578
2018-08-11,2578
2018-08-12,2578
2018-08-14,2578
2018-08-16,2578
2018-08-17,2612
2018-08-18,2612
2018-08-19,2612
2018-08-20,2612
2018-08-21,2612
2018-08-22,2612
2018-08-23,2612
2018-08-24,2612
2018-08-25,2707
2018-08-26,2707
2018-08-27,2707
2018-08-28,2707
2018-08-29,2707
2018-08-30,2707
2018-08-31,2707
2018-09-01,2707
2018-09-02,2618
2018-09-03,2618
2018-09-04,2618
