date_obj,Skull%20piece price
2018-02-14,38225
2018-02-15,38225
2018-02-16,38225
2018-02-17,38225
2018-02-18,38225
2018-02-19,38225
2018-02-20,38225
2018-02-21,38225
2018-02-22,38225
2018-02-23,38225
2018-02-24,38225
2018-02-25,38225
2018-02-26,38225
2018-02-27,38225
2018-02-28,38225
2018-03-01,38225
2018-03-02,38225
2018-03-03,38225
2018-03-04,38225
2018-03-05,38225
2018-03-06,38225
2018-03-07,38225
2018-03-08,38225
2018-03-09,38225
2018-03-10,38225
2018-03-11,38225
2018-03-12,38225
2018-03-13,38225
2018-03-14,38225
2018-03-15,38225
2018-03-16,38225
2018-03-17,38225
2018-03-18,38225
2018-03-19,38225
2018-03-20,38225
2018-03-21,38225
2018-03-23,38225
2018-03-24,38225
2018-03-26,38225
2018-03-27,38225
2018-03-28,38225
2018-03-29,38225
2018-03-30,38225
2018-03-31,38225
2018-04-01,38225
2018-04-02,38225
2018-04-03,38225
2018-04-04,38225
2018-04-05,38225
2018-04-06,38225
2018-04-08,38771
2018-04-09,38771
2018-04-10,38771
2018-04-11,38771
2018-04-12,38771
2018-04-13,38771
2018-04-14,38771
2018-04-16,38771
2018-04-17,38771
2018-04-18,38771
2018-04-19,38771
2018-04-20,38771
2018-04-21,38771
2018-04-22,38771
2018-04-23,38771
2018-04-24,38771
2018-04-25,38771
2018-04-26,38771
2018-04-27,38771
2018-04-28,38771
2018-04-29,38771
2018-04-30,38771
2018-05-01,38771
2018-05-02,38771
2018-05-03,38771
2018-05-04,38771
2018-05-05,38771
2018-05-06,38771
2018-05-07,38771
2018-05-08,38771
2018-05-09,38771
2018-05-10,38771
2018-05-11,38771
2018-05-12,38771
2018-05-13,38771
2018-05-14,38771
2018-05-15,38771
2018-05-16,38771
2018-05-17,38771
2018-05-18,38771
2018-05-19,38771
2018-05-20,38771
2018-05-21,38771
2018-05-22,38771
2018-05-23,38771
2018-05-24,38771
2018-05-25,38771
2018-05-26,38771
2018-05-27,38771
2018-05-28,38771
2018-05-29,38771
2018-05-30,38771
2018-05-31,38771
2018-06-01,38771
2018-06-02,38771
2018-06-03,38771
2018-06-04,38771
2018-06-05,38606
