date_obj,Piscatoris%20teleport price
2018-08-02,7276
2018-08-03,7054
2018-08-04,6917
2018-08-05,6928
2018-08-06,6961
2018-08-07,6972
2018-08-08,6957
2018-08-09,6960
2018-08-10,7088
2018-08-11,7257
2018-08-12,7334
2018-08-14,7465
2018-08-16,7436
2018-08-17,7527
2018-08-18,7556
2018-08-19,7455
2018-08-20,7314
2018-08-21,7405
2018-08-22,7605
2018-08-23,7420
2018-08-24,7285
2018-08-25,7145
2018-08-26,7457
2018-08-27,7718
2018-08-28,7864
2018-08-29,7954
2018-08-30,7728
2018-08-31,7506
2018-09-01,7519
2018-09-02,7543
2018-09-03,7606
2018-09-04,7703
2018-09-05,7978
2018-09-06,8359
2018-09-07,8664
2018-09-08,8702
2018-09-09,8534
2018-09-10,8311
2018-09-11,8627
2018-09-12,9059
2018-09-13,9400
2018-09-14,9301
2018-09-15,8942
2018-09-16,8801
2018-09-17,8689
2018-09-18,8408
2018-09-19,8112
2018-09-20,7999
2018-09-21,7886
2018-09-22,7773
2018-09-23,7720
2018-09-24,7671
2018-09-25,7772
2018-09-26,7864
2018-09-27,7813
2018-09-28,7811
2018-09-29,7762
2018-09-30,7762
2018-10-02,7896
2018-10-03,7873
2018-10-04,7652
2018-10-05,7629
2018-10-06,7591
2018-10-07,7598
2018-10-08,7742
2018-10-09,7846
2018-10-10,8009
2018-10-11,8124
2018-10-12,8157
2018-10-13,8175
2018-10-14,8469
2018-10-15,8681
2018-10-16,8485
2018-10-17,8417
2018-10-18,8343
2018-10-19,8130
2018-10-20,7930
2018-10-21,7784
2018-10-22,7701
2018-10-23,7497
2018-10-24,7251
2018-10-25,7094
2018-10-26,7027
2018-10-27,7022
2018-10-28,7127
2018-10-29,7306
2018-10-30,7384
2018-10-31,7208
2018-11-01,7303
2018-11-03,7769
2018-11-04,8157
2018-11-05,8434
2018-11-06,8401
2018-11-07,8553
2018-11-08,8981
2018-11-09,9402
2018-11-10,9578
2018-11-11,9266
2018-11-12,8999
2018-11-13,8776
2018-11-15,8375
2018-11-16,8252
2018-11-17,8108
2018-11-18,7880
2018-11-19,7914
2018-11-20,7786
2018-11-21,7630
2018-11-22,7465
2018-11-23,7238
2018-11-24,7162
2018-11-25,7334
2018-11-26,7534
2018-11-27,7682
2018-11-28,7761
2018-11-29,7948
2018-12-01,8114
2018-12-02,8326
2018-12-03,8479
2018-12-04,8284
2018-12-05,8221
2018-12-07,8074
2018-12-09,7957
2018-12-10,8026
2018-12-11,7929
2018-12-12,7855
2018-12-13,7909
2018-12-14,7778
2018-12-15,7743
2018-12-16,7810
2018-12-17,8043
2018-12-18,8412
2018-12-19,8710
2018-12-20,8726
2018-12-21,8974
2018-12-22,9271
2018-12-23,9570
2018-12-24,9688
2018-12-25,9973
2018-12-26,9961
2018-12-27,9560
2018-12-28,9089
2018-12-29,8938
2018-12-30,8916
2018-12-31,8886
2019-01-01,8656
2019-01-02,8714
2019-01-03,8687
2019-01-04,8776
2019-01-05,8683
2019-01-06,8550
2019-01-08,8493
2019-01-10,8607
2019-01-11,8514
2019-01-12,8432
2019-01-13,8535
2019-01-14,8564
2019-01-15,8470
2019-01-16,8497
2019-01-17,8545
2019-01-18,8548
2019-01-19,8558
2019-01-20,8480
2019-01-21,8439
2019-01-22,8492
2019-01-23,8723
2019-01-24,8695
2019-01-25,8644
2019-01-26,8591
2019-01-27,8599
2019-01-28,8731
2019-01-29,8765
2019-01-30,8716
2019-01-31,8635
2019-02-01,8653
2019-02-02,8910
2019-02-03,8778
2019-02-04,8573
2019-02-05,8249
2019-02-06,8159
2019-02-07,8023
2019-02-08,7943
2019-02-09,7877
2019-02-10,7652
2019-02-11,7394
2019-02-12,7394
2019-02-13,7282
2019-02-14,7058
2019-02-15,6843
2019-02-16,6619
2019-02-17,6585
2019-02-18,6657
2019-02-19,6959
2019-02-20,7003
2019-02-21,6934
2019-02-22,6938
2019-02-23,7172
2019-02-24,7214
2019-02-25,7313
2019-02-26,7253
2019-02-27,7280
2019-02-28,7093
2019-03-01,7003
2019-03-02,7004
2019-03-03,6979
2019-03-04,6856
2019-03-05,6711
2019-03-06,6817
2019-03-07,6969
2019-03-08,6992
2019-03-09,7011
2019-03-10,6891
2019-03-11,6739
2019-03-12,6691
2019-03-13,6592
2019-03-14,6349
2019-03-15,6043
2019-03-16,5848
2019-03-17,5814
2019-03-18,5961
2019-03-19,6207
2019-03-20,6518
2019-03-21,6779
2019-03-22,6767
2019-03-23,6488
2019-03-24,6246
2019-03-25,6012
2019-03-26,5768
2019-03-27,5594
2019-03-28,5444
2019-03-29,5247
2019-03-30,5082
2019-03-31,4938
2019-04-01,4953
2019-04-02,5038
2019-04-03,5136
2019-04-04,5119
2019-04-05,4984
2019-04-06,4834
