date_obj,Torag's%20armour%20set price
2017-10-18,772437
2017-10-19,772437
2017-10-20,772437
2017-10-21,772437
2017-10-22,790714
2017-10-23,790714
2017-10-24,790714
2017-10-25,825623
2017-10-26,825623
2017-10-27,825623
2017-10-28,825623
2017-10-29,865224
2017-10-30,865224
2017-10-31,865224
2017-11-01,865224
2017-11-02,905215
2017-11-03,905215
2017-11-04,905215
2017-11-05,921902
2017-11-06,921902
2017-11-07,921902
2017-11-08,921902
2017-11-09,891740
2017-11-10,891740
2017-11-11,891740
2017-11-12,891740
2017-11-13,859644
2017-11-14,859644
2017-11-15,859644
2017-11-16,859644
2017-11-17,837431
2017-11-18,837431
2017-11-19,837431
2017-11-20,814449
2017-11-21,814449
2017-11-22,814449
2017-11-23,814449
2017-11-24,805544
2017-11-25,805544
2017-11-26,805544
2017-11-27,805544
2017-11-28,780201
2017-11-29,780201
2017-11-30,780201
2017-12-01,771580
2017-12-02,771580
2017-12-03,771580
2017-12-04,771580
2017-12-05,803484
2017-12-06,803484
2017-12-07,803484
2017-12-08,803484
2017-12-09,830651
2017-12-10,830651
2017-12-11,830651
2017-12-12,830651
2017-12-13,817021
2017-12-14,817021
2017-12-15,817021
2017-12-16,817021
2017-12-17,798090
2017-12-18,798090
2017-12-19,798090
2017-12-20,765925
2017-12-21,765925
2017-12-22,765925
2017-12-23,729701
2017-12-24,729701
2017-12-25,729701
2017-12-26,705436
2017-12-27,705436
2017-12-28,705436
2017-12-29,681625
2017-12-30,681625
2017-12-31,681625
2018-01-01,682112
2018-01-02,682112
2018-01-03,682112
2018-01-04,702321
2018-01-05,702321
2018-01-06,722745
2018-01-07,722745
2018-01-08,722745
2018-01-09,739490
2018-01-10,739490
2018-01-11,739490
2018-01-12,740827
2018-01-13,740827
2018-01-14,740827
2018-01-15,750591
2018-01-16,750591
2018-01-17,750591
2018-01-18,745344
2018-01-19,745344
2018-01-20,745344
2018-01-21,743994
2018-01-22,743994
2018-01-23,743994
2018-01-24,760138
2018-01-25,760138
2018-01-26,760138
2018-01-27,759329
2018-01-28,759329
2018-01-29,760641
2018-01-30,760641
2018-02-01,763831
2018-02-02,763831
2018-02-03,778606
2018-02-04,778606
2018-02-05,779849
2018-02-06,779849
2018-02-07,799304
2018-02-08,799304
2018-02-09,815842
2018-02-10,815842
2018-02-11,779458
2018-02-12,779458
2018-02-13,767302
2018-02-14,767302
2018-02-15,767716
2018-02-16,767716
2018-02-17,777901
2018-02-18,777901
2018-02-19,765684
2018-02-20,765684
2018-02-21,753417
2018-02-22,753417
2018-02-23,749605
2018-02-24,749605
2018-02-25,778115
2018-02-26,778115
2018-02-27,790764
2018-02-28,790764
2018-03-01,794754
2018-03-02,803710
2018-03-03,803710
2018-03-04,834614
2018-03-05,834614
2018-03-06,843899
2018-03-07,843899
