date_obj,Black%20d'hide%20body%20(t) price
2018-12-23,19664
2018-12-24,20520
2018-12-25,20520
2018-12-26,21369
2018-12-27,22420
2018-12-28,22420
2018-12-29,23541
2018-12-30,23541
2018-12-31,24289
2019-01-01,24289
2019-01-02,25361
2019-01-03,26472
2019-01-04,26472
2019-01-05,27469
2019-01-06,28208
2019-01-08,29619
2019-01-10,31565
2019-01-11,31565
2019-01-12,31077
2019-01-13,30038
2019-01-14,30308
2019-01-15,30275
2019-01-16,29078
2019-01-17,28325
2019-01-18,27774
2019-01-19,27650
2019-01-20,27833
2019-01-21,27833
2019-01-22,28262
2019-01-23,28485
2019-01-24,28485
2019-01-25,28788
2019-01-26,28962
2019-01-27,29515
2019-01-28,29515
2019-01-29,29955
2019-01-30,30591
2019-01-31,30591
2019-02-01,30802
2019-02-02,30802
2019-02-03,31537
2019-02-04,31537
2019-02-05,32220
2019-02-06,32220
2019-02-07,32838
2019-02-08,32838
2019-02-09,32294
2019-02-10,31504
2019-02-11,30744
2019-02-12,30744
2019-02-13,30128
2019-02-14,30128
2019-02-15,30231
2019-02-16,29391
2019-02-17,29391
2019-02-18,29521
2019-02-19,29521
2019-02-20,29035
2019-02-21,28421
2019-02-22,28421
2019-02-23,28054
2019-02-24,28013
2019-02-25,28563
2019-02-26,28563
2019-02-27,28327
2019-02-28,28327
2019-03-01,28084
2019-03-02,28538
2019-03-03,27845
2019-03-04,27322
2019-03-05,26923
2019-03-06,26293
