date_obj,Rune%20longsword price
2017-06-30,18851
2017-07-01,18833
2017-07-02,18819
2017-07-03,18844
2017-07-04,18854
2017-07-05,18875
2017-07-06,18886
2017-07-07,18873
2017-07-08,18836
2017-07-13,18841
2017-07-14,18849
2017-07-15,18861
2017-07-16,18855
2017-07-17,18863
2017-07-18,18877
2017-07-19,18902
2017-07-20,18903
2017-07-21,18843
2017-07-22,18809
2017-07-23,18833
2017-07-24,18845
2017-07-25,18838
2017-07-26,18882
2017-07-27,18885
2017-07-28,18869
2017-07-29,18852
2017-07-30,18823
2017-07-31,18872
2017-08-01,18894
2017-08-02,18888
2017-08-03,18918
2017-08-04,18900
2017-08-05,18836
2017-08-06,18854
2017-08-09,18858
2017-08-10,18857
2017-08-11,18851
2017-08-12,18834
2017-08-13,18762
2017-08-14,18829
2017-08-15,18749
2017-08-17,18868
2017-08-18,18898
2017-08-19,18879
2017-08-20,18853
2017-08-21,18834
2017-08-22,18873
2017-08-23,18862
2017-08-24,18868
2017-08-25,18858
2017-08-26,18822
2017-08-27,18768
2017-08-28,18793
2017-08-29,18758
2017-08-30,18815
2017-08-31,18795
2017-09-01,18827
2017-09-02,18837
2017-09-03,18854
2017-09-04,18822
2017-09-05,18829
2017-09-06,18865
2017-09-07,18866
2017-09-08,18843
2017-09-09,18849
2017-09-10,18847
2017-09-11,18840
2017-09-12,18814
2017-09-13,18835
2017-09-14,18840
2017-09-15,18851
2017-09-16,18861
2017-09-17,18869
2017-09-19,18865
2017-09-20,18869
2017-09-21,18885
2017-09-22,18883
2017-09-23,18827
2017-09-24,18804
2017-09-25,18796
2017-09-26,18871
2017-09-27,18892
2017-09-28,18900
2017-09-29,18849
2017-09-30,18864
2017-10-01,18847
2017-10-02,18820
2017-10-03,18851
2017-10-04,18886
2017-10-05,18903
2017-10-06,18805
2017-10-07,18828
2017-10-08,18850
2017-10-09,18882
2017-10-10,18901
2017-10-11,18843
2017-10-12,18848
2017-10-13,18851
2017-10-14,18861
2017-10-15,18842
2017-10-16,18868
2017-10-17,18884
2017-10-18,18872
2017-10-19,18855
2017-10-20,18850
2017-10-21,18848
2017-10-22,18805
2017-10-23,18850
2017-10-24,18853
2017-10-25,18863
2017-10-26,18810
2017-10-27,18827
2017-10-28,18817
2017-10-29,18814
2017-10-30,18838
2017-10-31,18844
2017-11-01,18847
2017-11-02,18884
2017-11-03,18877
2017-11-04,18844
2017-11-05,18846
2017-11-06,18875
2017-11-07,18882
2017-11-08,18862
2017-11-09,18840
2017-11-10,18856
2017-11-11,18845
2017-11-12,18870
2017-11-13,18867
2017-11-14,18886
2017-11-15,18819
2017-11-16,18849
2017-11-17,18850
2017-11-18,18761
2017-11-19,18785
2017-11-20,18830
2017-11-21,18856
2017-11-22,18853
2017-11-23,18845
2017-11-24,18873
2017-11-25,18789
2017-11-26,18767
2017-11-27,18806
2017-11-28,18829
2017-11-29,18859
2017-11-30,18813
2017-12-01,18833
2017-12-02,18871
2017-12-03,18842
2017-12-04,18863
2017-12-05,18877
2017-12-06,18857
2017-12-07,18851
2017-12-08,18860
2017-12-09,18859
2017-12-10,18874
2017-12-11,18914
2017-12-12,18856
2017-12-13,18873
2017-12-14,18856
2017-12-15,18872
2017-12-16,18851
2017-12-17,18834
2017-12-18,18855
2017-12-19,18891
2017-12-20,18885
2017-12-21,18891
2017-12-22,18865
2017-12-23,18891
2017-12-24,18843
2017-12-25,18786
2017-12-26,18869
2017-12-27,18838
2017-12-28,18855
2017-12-29,18839
2017-12-30,18795
2017-12-31,18856
2018-01-01,18840
2018-01-02,18801
2018-01-03,18769
2018-01-04,18685
2018-01-05,18722
2018-01-06,18731
2018-01-07,18756
2018-01-08,18566
2018-01-09,18676
2018-01-10,18701
2018-01-11,18763
2018-01-12,18778
2018-01-13,18779
2018-01-14,18765
2018-01-15,18762
2018-01-16,18789
2018-01-17,18794
2018-01-18,18814
2018-01-19,18811
2018-01-20,18796
2018-01-21,18772
2018-01-22,18795
2018-01-23,18812
2018-01-24,18827
2018-01-25,18795
2018-01-26,18812
2018-01-27,18812
2018-01-28,18804
2018-01-29,18815
2018-01-30,18814
2018-02-01,18815
2018-02-02,18826
2018-02-03,18811
2018-02-04,18794
2018-02-05,18804
2018-02-06,18807
2018-02-07,18825
2018-02-08,18808
2018-02-09,18793
2018-02-10,18770
2018-02-11,18744
2018-02-12,18774
2018-02-13,18795
2018-02-14,18816
2018-02-15,18802
2018-02-16,18795
2018-02-17,18745
2018-02-18,18731
2018-02-19,18750
2018-02-20,18751
2018-02-21,18761
2018-02-22,18780
2018-02-23,18791
2018-02-24,18802
2018-02-25,18785
2018-02-26,18807
2018-02-27,18813
2018-02-28,18804
2018-03-01,18816
2018-03-02,18800
2018-03-03,18795
2018-03-04,18796
2018-03-05,18793
2018-03-06,18799
2018-03-07,18796
2018-03-08,18779
2018-03-09,18786
2018-03-10,18790
2018-03-11,18809
2018-03-12,18809
2018-03-13,18832
2018-03-14,18820
2018-03-15,18797
2018-03-16,18795
2018-03-17,18807
2018-03-18,18827
2018-03-19,18828
2018-03-20,18859
2018-03-21,18863
2018-03-23,18847
2018-03-24,18830
2018-03-26,18822
2018-03-27,18835
2018-03-28,18856
2018-03-29,18809
2018-03-30,18813
2018-03-31,18799
2018-04-01,18821
2018-04-02,18825
2018-04-03,18799
2018-04-04,18816
2018-04-05,18847
2018-04-06,18827
2018-04-08,18814
2018-04-09,18833
2018-04-10,18830
2018-04-11,18826
2018-04-12,18834
2018-04-13,18799
2018-04-14,18805
2018-04-15,18820
2018-04-16,18817
2018-04-17,18820
2018-04-18,18832
2018-04-19,18771
2018-04-20,18761
2018-04-21,18804
2018-04-22,18806
2018-04-23,18822
2018-04-24,18832
2018-04-25,18788
2018-04-26,18782
2018-04-27,18801
2018-04-28,18796
2018-04-29,18786
2018-04-30,18802
2018-05-01,18818
2018-05-02,18837
2018-05-03,18833
2018-05-04,18817
2018-05-05,18809
2018-05-06,18793
2018-05-07,18796
2018-05-08,18773
2018-05-09,18786
2018-05-10,18736
2018-05-11,18784
2018-05-12,18783
2018-05-13,18771
2018-05-14,18769
2018-05-15,18797
2018-05-16,18821
2018-05-17,18826
2018-05-18,18832
2018-05-19,18801
2018-05-20,18796
2018-05-21,18798
2018-05-22,18818
2018-05-23,18809
2018-05-24,18747
2018-05-25,18789
2018-05-26,18813
2018-05-27,18821
2018-05-28,18799
2018-05-29,18822
2018-05-30,18825
2018-05-31,18846
2018-06-01,18804
2018-06-02,18790
2018-06-03,18806
2018-06-04,18792
2018-06-05,18790
2018-06-06,18747
2018-06-07,18772
2018-06-08,18757
2018-06-09,18742
2018-06-10,18741
2018-06-11,18748
2018-06-12,18773
2018-06-13,18778
2018-06-14,18774
2018-06-15,18788
2018-06-16,18791
2018-06-17,18728
2018-06-18,18776
2018-06-19,18763
2018-06-20,18758
2018-06-21,18740
2018-06-22,18747
2018-06-23,18782
2018-06-24,18783
2018-06-25,18820
2018-06-26,18821
2018-06-27,18815
2018-06-28,18790
2018-06-29,18721
2018-06-30,18786
2018-07-01,18787
2018-07-02,18792
2018-07-03,18776
2018-07-04,18787
2018-07-05,18783
2018-07-06,18750
2018-07-07,18761
2018-07-08,18756
2018-07-09,18788
2018-07-10,18794
2018-07-11,18746
2018-07-12,18770
2018-07-13,18791
2018-07-14,18775
2018-07-15,18761
2018-07-16,18771
2018-07-17,18737
2018-07-18,18696
2018-07-19,18775
2018-07-20,18788
2018-07-21,18783
2018-07-22,18759
2018-07-23,18769
2018-07-24,18792
2018-07-25,18767
2018-07-26,18757
2018-07-27,18696
2018-07-28,18711
2018-07-29,18747
2018-07-30,18721
2018-07-31,18714
2018-08-01,18766
2018-08-02,18757
2018-08-03,18748
2018-08-04,18673
2018-08-05,18688
2018-08-06,18716
2018-08-07,18736
2018-08-08,18705
2018-08-09,18737
2018-08-10,18691
2018-08-11,18600
2018-08-12,18637
2018-08-14,18699
2018-08-16,18692
2018-08-17,18687
2018-08-18,18722
2018-08-19,18755
2018-08-20,18739
2018-08-21,18726
2018-08-22,18722
2018-08-23,18694
2018-08-24,18683
2018-08-25,18707
2018-08-26,18726
2018-08-27,18744
2018-08-28,18743
2018-08-29,18773
2018-08-30,18773
2018-08-31,18747
2018-09-01,18732
2018-09-02,18738
2018-09-03,18736
2018-09-04,18757
2018-09-05,18748
2018-09-06,18767
2018-09-07,18752
2018-09-08,18762
2018-09-09,18747
2018-09-10,18770
2018-09-11,18788
2018-09-12,18786
2018-09-13,18794
2018-09-14,18820
2018-09-15,18798
2018-09-16,18805
2018-09-17,18815
2018-09-18,18804
2018-09-19,18804
2018-09-20,18797
2018-09-21,18770
2018-09-22,18762
2018-09-23,18771
2018-09-24,18785
2018-09-25,18782
2018-09-26,18801
2018-09-27,18794
2018-09-28,18773
2018-09-29,18707
2018-09-30,18680
2018-10-02,18736
2018-10-03,18751
2018-10-04,18771
2018-10-05,18710
2018-10-06,18721
2018-10-07,18763
2018-10-08,18742
2018-10-09,18764
2018-10-10,18773
2018-10-11,18778
2018-10-12,18789
2018-10-13,18756
