date_obj,Blue%20d'hide%20chaps%20(t) price
2017-10-03,2877
2017-10-04,2942
2017-10-05,2942
2017-10-06,2894
2017-10-07,2902
2017-10-08,2902
2017-10-09,2826
2017-10-10,2840
2017-10-11,2840
2017-10-12,2807
2017-10-13,2888
2017-10-14,2869
2017-10-15,2869
2017-10-16,2799
2017-10-17,2799
2017-10-18,2751
2017-10-19,2814
2017-10-20,2814
2017-10-21,2857
2017-10-22,2844
2017-10-23,2844
2017-10-24,2818
2017-10-25,2748
2017-10-26,2703
2017-10-27,2616
2017-10-28,2616
2017-10-29,2511
2017-10-30,2540
2017-10-31,2623
2017-11-01,2623
2017-11-02,2623
2017-11-03,2582
2017-11-04,2500
2017-11-05,2500
2017-11-06,2475
2017-11-07,2475
2017-11-08,2393
2017-11-09,2408
2017-11-10,2408
2017-11-11,2407
2017-11-12,2497
2017-11-13,2551
2017-11-14,2551
2017-11-15,2584
2017-11-16,2520
2017-11-17,2522
2017-11-18,2522
2017-11-19,2448
2017-11-20,2446
2017-11-21,2437
2017-11-22,2437
2017-11-23,2422
2017-11-24,2422
2017-11-25,2447
2017-11-26,2512
2017-11-27,2512
2017-11-28,2475
2017-11-29,2475
2017-11-30,2585
2017-12-01,2606
2017-12-02,2606
2017-12-03,2635
2017-12-04,2635
2017-12-05,2656
2017-12-06,2607
2017-12-07,2695
2017-12-08,2695
2017-12-09,2759
2017-12-10,2759
2017-12-11,2759
2017-12-12,2719
2017-12-13,2719
2017-12-14,2664
2017-12-15,2567
2017-12-16,2567
2017-12-17,2518
2017-12-18,2470
2017-12-19,2470
2017-12-20,2408
2017-12-21,2355
2017-12-22,2355
2017-12-23,2323
2017-12-24,2323
2017-12-25,2299
2017-12-26,2275
2017-12-27,2289
2017-12-28,2289
2017-12-29,2254
2017-12-30,2281
2017-12-31,2281
2018-01-01,2274
2018-01-02,2303
2018-01-03,2309
2018-01-04,2309
2018-01-05,2255
2018-01-06,2349
2018-01-07,2373
2018-01-08,2378
2018-01-09,2341
2018-01-10,2341
2018-01-11,2406
2018-01-12,2406
2018-01-13,2422
2018-01-14,2413
2018-01-15,2426
2018-01-16,2399
2018-01-17,2375
2018-01-18,2332
2018-01-19,2332
2018-01-20,2278
2018-01-21,2262
2018-01-22,2325
2018-01-23,2392
2018-01-24,2369
2018-01-25,2369
2018-01-26,2327
2018-01-27,2328
2018-01-28,2298
2018-01-29,2334
2018-01-30,2332
2018-01-31,2332
2018-02-01,2301
2018-02-02,2301
2018-02-03,2353
2018-02-04,2398
2018-02-05,2398
2018-02-06,2353
2018-02-07,2434
2018-02-08,2434
2018-02-09,2478
2018-02-10,2478
2018-02-11,2430
2018-02-12,2486
2018-02-13,2486
2018-02-14,2428
2018-02-15,2540
2018-02-16,2651
2018-02-17,2726
2018-02-18,2726
2018-02-19,2770
2018-02-20,2770
2018-02-21,2785
2018-02-22,2785
2018-02-23,2825
2018-02-24,2825
2018-02-25,2882
2018-02-26,2796
2018-02-27,2656
2018-02-28,2656
2018-03-01,2603
2018-03-02,2640
2018-03-03,2582
2018-03-04,2582
2018-03-05,2588
2018-03-06,2593
2018-03-07,2508
2018-03-08,2508
2018-03-09,2466
2018-03-10,2466
2018-03-11,2472
2018-03-12,2485
2018-03-13,2485
