date_obj,Empty%20oil%20lantern price
2019-03-04,50
2019-03-05,50
2019-03-06,50
2019-03-07,50
2019-03-08,50
2019-03-09,50
2019-03-10,50
2019-03-11,50
2019-03-12,48
2019-03-13,48
2019-03-14,48
2019-03-15,48
2019-03-16,48
2019-03-17,48
2019-03-18,48
2019-03-19,48
2019-03-20,48
2019-03-21,48
2019-03-22,48
2019-03-23,48
2019-03-24,48
2019-03-25,48
2019-03-26,46
2019-03-27,46
2019-03-28,46
2019-03-29,46
2019-03-30,46
2019-03-31,46
2019-04-01,46
2019-04-02,46
2019-04-03,46
2019-04-04,46
2019-04-05,46
2019-04-06,46
2019-04-07,46
2019-04-08,46
2019-04-09,46
2019-04-10,46
2019-04-11,46
2019-04-12,46
2019-04-13,46
2019-04-14,46
2019-04-15,44
2019-04-16,44
2019-04-17,44
2019-04-18,44
2019-04-19,44
2019-04-20,44
2019-04-21,44
2019-04-22,44
2019-04-23,44
2019-04-24,44
2019-04-25,44
2019-04-26,44
2019-04-27,44
2019-04-28,44
2019-04-29,44
2019-04-30,44
2019-05-01,44
2019-05-02,42
2019-05-03,42
2019-05-04,42
2019-05-05,42
2019-05-06,42
2019-05-07,42
2019-05-08,42
2019-05-09,42
2019-05-10,42
2019-05-11,42
2019-05-12,42
2019-05-13,42
2019-05-14,42
2019-05-15,39
2019-05-16,39
2019-05-17,39
2019-05-18,39
2019-05-19,39
2019-05-20,39
2019-05-21,39
2019-05-22,39
2019-05-23,39
2019-05-24,39
2019-05-25,39
2019-05-26,39
2019-05-27,39
2019-05-28,39
2019-05-29,39
2019-05-30,39
2019-05-31,40
2019-06-01,40
2019-06-02,40
