date_obj,Mystic%20robe%20bottom price
2017-09-22,48606
2017-09-23,48012
2017-09-24,48142
2017-09-25,47682
2017-09-26,48059
2017-09-27,49143
2017-09-28,48336
2017-09-29,47912
2017-09-30,47613
2017-10-01,47627
2017-10-02,47601
2017-10-03,47471
2017-10-04,47388
2017-10-05,47673
2017-10-06,47940
2017-10-07,47624
2017-10-08,47085
2017-10-09,47422
2017-10-10,48016
2017-10-11,47742
2017-10-12,47825
2017-10-13,47570
2017-10-14,47524
2017-10-15,47494
2017-10-16,47525
2017-10-17,47479
2017-10-18,47490
2017-10-19,47520
2017-10-20,47475
2017-10-21,47483
2017-10-22,47469
2017-10-23,47487
2017-10-24,47349
2017-10-25,47457
2017-10-26,47537
2017-10-27,47507
2017-10-28,47455
2017-10-29,47313
2017-10-30,47473
2017-10-31,47498
2017-11-01,47508
2017-11-02,47515
2017-11-03,47414
2017-11-04,47389
2017-11-05,47496
2017-11-06,47560
2017-11-07,47470
2017-11-08,47562
2017-11-09,47520
2017-11-10,47639
2017-11-11,47893
2017-11-12,47481
2017-11-13,47528
2017-11-14,47520
2017-11-15,47943
2017-11-16,47575
2017-11-17,47929
2017-11-18,47839
2017-11-19,47730
2017-11-20,48002
2017-11-21,48593
2017-11-22,47621
2017-11-23,47946
2017-11-24,47782
2017-11-25,47727
2017-11-26,47702
2017-11-27,47715
2017-11-28,47643
2017-11-29,47603
2017-11-30,47533
2017-12-01,47350
2017-12-02,47627
2017-12-03,47508
2017-12-04,47517
2017-12-05,47517
2017-12-06,47595
2017-12-07,47569
2017-12-08,47568
2017-12-09,47766
2017-12-10,47527
2017-12-11,47507
2017-12-12,47283
2017-12-14,47580
2017-12-15,47503
2017-12-17,47068
2017-12-18,47424
2017-12-19,47520
2017-12-20,47560
2017-12-21,47482
2017-12-22,47579
2017-12-23,47497
2017-12-24,47516
2017-12-25,47542
2017-12-26,47589
2017-12-27,47583
2017-12-28,47580
2017-12-29,47631
2017-12-30,47609
2017-12-31,47530
2018-01-01,47577
2018-01-02,47535
2018-01-03,47533
2018-01-04,47534
2018-01-05,47552
2018-01-06,47347
2018-01-07,47489
2018-01-08,47411
2018-01-09,47610
2018-01-10,47684
2018-01-11,47497
2018-01-12,47598
2018-01-13,47538
2018-01-14,47136
2018-01-15,47497
2018-01-16,47865
2018-01-17,47787
2018-01-18,47611
2018-01-19,47546
2018-01-20,47712
2018-01-21,47303
2018-01-22,47855
2018-01-23,47643
2018-01-25,47580
2018-01-26,48117
2018-01-27,47799
2018-01-28,47620
2018-01-29,47618
2018-01-31,47633
2018-02-01,47800
2018-02-02,47855
2018-02-03,47997
2018-02-04,48427
2018-02-05,47860
2018-02-06,47705
2018-02-07,47578
2018-02-08,47575
2018-02-09,47525
2018-02-10,47393
2018-02-11,47427
2018-02-12,47548
2018-02-13,47819
2018-02-14,47630
2018-02-15,47794
2018-02-16,48026
2018-02-17,47691
2018-02-18,47549
2018-02-19,47618
2018-02-20,47592
2018-02-21,47587
2018-02-22,47586
2018-02-23,47589
2018-02-24,47575
2018-02-25,47561
2018-02-26,47909
2018-02-27,48184
2018-03-01,47888
2018-03-02,47584
2018-03-03,47553
2018-03-04,47470
2018-03-05,47563
2018-03-06,47600
2018-03-07,47569
2018-03-08,47505
2018-03-09,47497
2018-03-10,47952
2018-03-11,47661
2018-03-12,47555
2018-03-13,47548
2018-03-14,47622
2018-03-15,47599
2018-03-16,47559
2018-03-17,47602
2018-03-18,47556
2018-03-19,47627
2018-03-20,47608
2018-03-21,47457
2018-03-23,47581
2018-03-24,47604
2018-03-26,47405
2018-03-27,47388
2018-03-28,47581
2018-03-29,47487
2018-03-30,47601
2018-03-31,48178
2018-04-01,47721
2018-04-02,47607
2018-04-03,47532
2018-04-04,47554
2018-04-05,47550
2018-04-06,47556
2018-04-07,47532
2018-04-08,47506
2018-04-09,47548
2018-04-10,47586
2018-04-11,47597
2018-04-12,47443
2018-04-13,47551
2018-04-14,47580
2018-04-15,47551
2018-04-16,47545
2018-04-17,47542
2018-04-18,47547
2018-04-19,47559
2018-04-20,47550
2018-04-21,47687
2018-04-22,47356
2018-04-23,47552
2018-04-24,47639
2018-04-25,47576
2018-04-26,47589
2018-04-27,47596
2018-04-28,47512
2018-04-29,47135
2018-04-30,47429
2018-05-01,47723
2018-05-04,47770
2018-05-05,47993
2018-05-06,48247
2018-05-07,48074
2018-05-08,47729
2018-05-09,47566
2018-05-10,47904
2018-05-11,47875
2018-05-12,48054
2018-05-13,47388
2018-05-14,47652
2018-05-15,47867
2018-05-16,47728
2018-05-17,47582
2018-05-18,47770
2018-05-19,47839
2018-05-20,47602
2018-05-21,48015
2018-05-22,47928
2018-05-23,48075
2018-05-24,47955
2018-05-25,48038
2018-05-26,48136
2018-05-27,47975
2018-05-28,48097
2018-05-29,47783
2018-05-30,47863
2018-05-31,47725
2018-06-01,47926
2018-06-02,48126
2018-06-03,47760
2018-06-04,47689
2018-06-05,47693
2018-06-06,47645
2018-06-07,47458
2018-06-08,47603
2018-06-09,47624
2018-06-10,47727
2018-06-11,48280
2018-06-12,47665
2018-06-13,47601
2018-06-14,47599
2018-06-15,47685
2018-06-16,47684
2018-06-17,47734
2018-06-18,48079
2018-06-19,48070
2018-06-20,47799
2018-06-21,48102
2018-06-22,48323
2018-06-23,48499
2018-06-24,48097
2018-06-25,48093
2018-06-26,48229
2018-06-27,48140
2018-06-28,47737
2018-06-29,47706
2018-06-30,47694
2018-07-01,47654
2018-07-02,47643
2018-07-03,47657
2018-07-04,47619
2018-07-05,47618
2018-07-06,47531
2018-07-07,47557
2018-07-08,47591
2018-07-09,47599
2018-07-10,47610
2018-07-11,47668
2018-07-12,47765
2018-07-13,47672
2018-07-14,47795
2018-07-15,47635
2018-07-16,47700
2018-07-17,47974
2018-07-18,48788
2018-07-19,48554
2018-07-20,48445
2018-07-21,47861
2018-07-22,47570
2018-07-23,48180
2018-07-24,48574
2018-07-25,47739
2018-07-26,47807
2018-07-27,47795
2018-07-28,47820
2018-07-29,47792
2018-07-30,47694
2018-07-31,47671
2018-08-01,47645
2018-08-02,47739
2018-08-03,47606
2018-08-04,47574
2018-08-05,47587
2018-08-06,47640
2018-08-07,47830
2018-08-08,47709
2018-08-09,47698
2018-08-10,47793
2018-08-11,47886
2018-08-12,47810
2018-08-14,47604
2018-08-16,47582
2018-08-17,47566
2018-08-18,47691
2018-08-19,47777
2018-08-20,47680
2018-08-21,47709
2018-08-22,47701
2018-08-23,48102
2018-08-24,47975
2018-08-25,48333
2018-08-26,48444
2018-08-27,48113
2018-08-28,48465
2018-08-29,48159
2018-08-30,48305
2018-08-31,47888
2018-09-01,47627
2018-09-02,47675
2018-09-03,47777
2018-09-04,47682
2018-09-05,48316
2018-09-06,48992
2018-09-07,48966
2018-09-08,48302
2018-09-09,47745
2018-09-10,47575
2018-09-11,47589
2018-09-12,47970
2018-09-13,48793
2018-09-14,48636
2018-09-15,48095
2018-09-16,47925
2018-09-17,47723
2018-09-18,47689
2018-09-19,47922
2018-09-20,47821
2018-09-21,47910
2018-09-22,47851
2018-09-23,47364
2018-09-24,47929
2018-09-25,48162
2018-09-26,47763
2018-09-27,47888
2018-09-28,48198
2018-09-29,48403
2018-09-30,47756
2018-10-02,47666
2018-10-03,47769
2018-10-04,47866
2018-10-05,48159
2018-10-06,49347
2018-10-07,50375
2018-10-08,49240
2018-10-09,48757
2018-10-10,47778
2018-10-11,47941
2018-10-12,47718
2018-10-13,47623
2018-10-14,47475
2018-10-15,47588
2018-10-16,47665
2018-10-17,47635
2018-10-18,47693
2018-10-19,47733
2018-10-20,48008
2018-10-21,48340
2018-10-22,48087
2018-10-23,47713
2018-10-24,47770
2018-10-25,48215
2018-10-26,48104
2018-10-27,47934
2018-10-28,47639
2018-10-29,47656
2018-10-30,47744
2018-10-31,48426
2018-11-01,48010
2018-11-03,48142
2018-11-04,48196
2018-11-05,48079
2018-11-06,48143
2018-11-07,47928
2018-11-08,48033
2018-11-09,47879
2018-11-10,47783
2018-11-11,47957
2018-11-12,47903
2018-11-13,47887
2018-11-15,47875
2018-11-16,48174
2018-11-17,48548
2018-11-18,48386
2018-11-19,47934
2018-11-20,48042
2018-11-21,48115
2018-11-22,48636
2018-11-23,47939
2018-11-24,47640
2018-11-25,47854
2018-11-26,48274
2018-11-27,48359
2018-11-28,48179
2018-11-29,48797
2018-12-01,47720
2018-12-02,47691
2018-12-03,47773
2018-12-04,47656
2018-12-05,47724
2018-12-07,47983
2018-12-09,47773
2018-12-10,47998
2018-12-11,47951
2018-12-12,47903
2018-12-13,47737
2018-12-14,47710
2018-12-15,48268
2018-12-16,47863
2018-12-17,47749
2018-12-18,47991
2018-12-19,48636
2018-12-20,48017
2018-12-21,47672
2018-12-22,47629
2018-12-23,47733
2018-12-24,48286
2018-12-25,47915
2018-12-26,47721
2018-12-27,47692
