date_obj,Adamant%20scimitar price
2018-07-30,1412
2018-07-31,1478
2018-08-01,1530
2018-08-02,1547
2018-08-03,1559
2018-08-04,1526
2018-08-05,1449
2018-08-06,1392
2018-08-07,1399
2018-08-08,1418
2018-08-09,1489
2018-08-10,1498
2018-08-11,1473
2018-08-12,1470
2018-08-14,1614
2018-08-16,1735
2018-08-17,1779
2018-08-18,1799
2018-08-19,1759
2018-08-20,1752
2018-08-21,1771
2018-08-22,1784
2018-08-23,1806
2018-08-24,1741
2018-08-25,1654
2018-08-26,1627
2018-08-27,1556
2018-08-28,1511
2018-08-29,1508
2018-08-30,1493
2018-08-31,1489
2018-09-01,1516
2018-09-02,1541
2018-09-03,1558
2018-09-04,1558
2018-09-05,1603
2018-09-06,1594
2018-09-07,1600
2018-09-08,1595
2018-09-09,1568
2018-09-10,1584
2018-09-11,1590
2018-09-12,1602
2018-09-13,1608
2018-09-14,1609
2018-09-15,1615
2018-09-16,1609
2018-09-17,1608
2018-09-18,1589
2018-09-19,1548
2018-09-20,1536
2018-09-21,1538
2018-09-22,1521
2018-09-23,1496
2018-09-24,1471
2018-09-25,1445
2018-09-26,1383
2018-09-27,1336
2018-09-28,1381
2018-09-29,1399
2018-09-30,1421
2018-10-01,1435
2018-10-02,1423
2018-10-03,1428
2018-10-04,1456
2018-10-05,1426
2018-10-06,1412
2018-10-07,1408
2018-10-08,1408
2018-10-09,1455
2018-10-10,1509
2018-10-11,1553
2018-10-12,1595
2018-10-13,1623
2018-10-14,1558
2018-10-15,1519
2018-10-16,1496
2018-10-17,1479
2018-10-18,1484
2018-10-19,1483
2018-10-20,1480
2018-10-21,1465
2018-10-22,1486
2018-10-23,1466
2018-10-24,1476
2018-10-25,1500
2018-10-26,1541
2018-10-27,1523
2018-10-28,1492
2018-10-29,1495
2018-10-30,1541
2018-10-31,1617
2018-11-01,1698
2018-11-03,1873
2018-11-04,1967
2018-11-05,2066
2018-11-06,2170
2018-11-07,2279
2018-11-08,2393
2018-11-09,2513
2018-11-10,2632
2018-11-11,2764
2018-11-12,2903
2018-11-13,3049
2018-11-14,3200
2018-11-15,3337
2018-11-16,3194
2018-11-17,3080
2018-11-18,2951
2018-11-19,2877
2018-11-20,2764
2018-11-21,2705
2018-11-22,2601
2018-11-23,2530
2018-11-24,2491
2018-11-25,2421
2018-11-26,2382
2018-11-27,2350
2018-11-28,2287
2018-11-29,2236
2018-12-01,2169
2018-12-02,2112
2018-12-03,2042
2018-12-04,1992
2018-12-05,1933
2018-12-07,1798
2018-12-09,1722
