date_obj,3rd%20age%20range%20top price
2017-11-07,23707124
2017-11-08,23943691
2017-11-09,23943691
2017-11-10,23784367
2017-11-11,23784367
2017-11-12,23784367
2017-11-13,23784770
2017-11-14,23784770
2017-11-15,23784770
2017-11-16,23494267
2017-11-17,23494267
2017-11-18,23440982
2017-11-19,24062448
2017-11-20,24062448
2017-11-21,25002893
2017-11-22,25002893
2017-11-23,24957766
2017-11-24,24957766
2017-11-25,25850038
2017-11-26,25850038
2017-11-27,26894886
2017-11-28,26894886
2017-11-29,26391300
2017-11-30,26391300
2017-12-01,26311191
2017-12-02,26311191
2017-12-03,26311191
2017-12-04,26036724
2017-12-05,26036724
2017-12-06,25480279
2017-12-07,25480279
2017-12-08,25480279
2017-12-09,25150676
2017-12-10,25150676
2017-12-11,24979077
2017-12-12,24979077
2017-12-13,24574728
2017-12-14,24574728
2017-12-15,24308458
2017-12-16,24308458
2017-12-17,24308458
2017-12-18,24213202
2017-12-19,24213202
2017-12-20,24213202
2017-12-21,24099692
2017-12-22,24099692
2017-12-23,24040950
2017-12-24,24040950
2017-12-25,24040950
2017-12-26,24048414
2017-12-27,24048414
2017-12-28,23951602
2017-12-29,23951602
2017-12-30,24197204
2017-12-31,24197204
2018-01-01,24412949
2018-01-02,24412949
2018-01-03,24588946
2018-01-04,24588946
2018-01-05,24654947
2018-01-06,24654947
2018-01-07,24768664
2018-01-08,24768664
2018-01-09,24626750
2018-01-10,24626750
2018-01-11,24394427
2018-01-12,24394427
2018-01-13,24574171
2018-01-14,24574171
2018-01-15,24684227
2018-01-16,24684227
2018-01-17,25525844
2018-01-18,25525844
2018-01-19,26518024
2018-01-20,27216965
2018-01-21,27216965
2018-01-22,28282841
2018-01-23,28282841
2018-01-24,29084330
2018-01-25,29084330
2018-01-26,29084330
2018-01-27,29689074
2018-01-28,29689074
2018-01-29,29736294
2018-01-30,29736294
2018-01-31,29736294
2018-02-01,29402286
2018-02-02,29402286
2018-02-03,29433382
2018-02-04,29433382
2018-02-05,29232058
2018-02-06,29232058
2018-02-07,29500772
2018-02-08,29500772
2018-02-09,30101639
2018-02-10,30101639
2018-02-11,30101639
2018-02-12,29967464
2018-02-13,29967464
2018-02-14,30095395
2018-02-15,30095395
2018-02-16,30417878
2018-02-17,31625437
2018-02-18,31625437
2018-02-19,32168975
2018-02-20,32168975
2018-02-21,32865361
2018-02-22,32865361
2018-02-23,33625116
2018-02-24,33625116
2018-02-25,34013781
2018-02-26,34013781
2018-02-27,34012349
2018-02-28,34012349
2018-03-01,34012349
2018-03-02,33865256
2018-03-03,33865256
2018-03-04,33865256
2018-03-05,34123284
2018-03-06,34123284
2018-03-07,33672313
2018-03-08,33672313
2018-03-09,33672313
2018-03-10,33879440
2018-03-11,33879440
2018-03-12,34560560
2018-03-13,34560560
2018-03-14,34560560
2018-03-15,34457889
2018-03-16,34457889
2018-03-17,34457889
2018-03-18,34804331
2018-03-19,34804331
2018-03-20,35540929
2018-03-21,35540929
2018-03-22,36945603
2018-03-23,36945603
2018-03-24,38109801
2018-03-25,38109801
2018-03-26,38869004
2018-03-27,38869004
2018-03-28,40561639
2018-03-29,42467085
2018-03-30,42467085
2018-03-31,42467085
2018-04-01,42708255
2018-04-02,42708255
2018-04-03,42708255
2018-04-04,41597512
2018-04-05,41597512
2018-04-06,41597512
2018-04-07,41597512
2018-04-08,41748196
2018-04-09,41748196
2018-04-10,41748196
2018-04-11,41814155
2018-04-12,41814155
2018-04-13,42703654
2018-04-14,42703654
2018-04-15,43125675
2018-04-16,43125675
2018-04-17,44398203
2018-04-18,44398203
2018-04-19,44398203
2018-04-20,45023168
2018-04-21,45023168
2018-04-22,45753924
2018-04-23,45753924
2018-04-24,47142153
2018-04-25,47142153
2018-04-26,47142153
2018-04-27,47965910
2018-04-28,47965910
2018-04-29,47113943
2018-04-30,47113943
2018-05-01,47113943
2018-05-02,46840459
2018-05-03,46840459
2018-05-04,46840459
2018-05-05,46164635
2018-05-06,46164635
2018-05-07,46164635
2018-05-08,45420897
2018-05-09,45420897
2018-05-10,44733624
2018-05-11,44733624
2018-05-12,44071786
2018-05-13,44071786
2018-05-14,44071786
2018-05-15,44071786
2018-05-16,42662699
2018-05-17,42662699
2018-05-18,42662699
2018-05-19,40955638
2018-05-20,40955638
2018-05-21,40061598
2018-05-22,40061598
2018-05-23,39940162
2018-05-24,39940162
2018-05-25,40313540
2018-05-26,40313540
2018-05-27,40313540
2018-05-28,40406154
2018-05-29,40406154
2018-05-30,40406154
2018-05-31,40224226
2018-06-01,40224226
2018-06-02,40224226
2018-06-03,40253058
2018-06-04,40253058
2018-06-05,40253058
2018-06-06,40248919
2018-06-07,40248919
2018-06-08,40248919
2018-06-09,38618142
2018-06-10,38618142
2018-06-11,38618142
2018-06-12,37269944
2018-06-13,37269944
2018-06-14,35521031
2018-06-15,35521031
2018-06-16,33779269
2018-06-17,33779269
2018-06-18,32329916
2018-06-19,32329916
2018-06-20,32329916
2018-06-21,31959173
2018-06-22,31959173
2018-06-23,31959173
2018-06-24,31873553
2018-06-25,31873553
2018-06-26,31873553
2018-06-27,31873553
2018-06-28,31587604
2018-06-29,31587604
2018-06-30,31587604
2018-07-01,31541556
2018-07-02,31541556
2018-07-03,32290970
2018-07-04,32290970
2018-07-05,32290970
2018-07-06,32397391
2018-07-07,32397391
2018-07-08,32397391
2018-07-09,31496113
2018-07-10,31496113
2018-07-11,31496113
2018-07-12,31496113
2018-07-13,31496113
2018-07-14,31332895
2018-07-15,31332895
2018-07-16,31332895
2018-07-17,31639751
2018-07-18,31639751
2018-07-19,32452392
2018-07-20,32452392
2018-07-21,32973769
2018-07-22,32973769
2018-07-23,33748151
2018-07-24,33748151
2018-07-25,33748151
2018-07-26,33861721
2018-07-27,33861721
2018-07-28,35162953
2018-07-29,35162953
2018-07-30,35653758
2018-07-31,35653758
2018-08-01,35653758
2018-08-02,36551071
2018-08-03,36551071
2018-08-04,38100876
2018-08-05,38100876
2018-08-06,38100876
2018-08-07,39335424
2018-08-08,39335424
2018-08-09,39335424
2018-08-10,37584694
2018-08-11,37584694
2018-08-12,37584694
2018-08-14,36238147
2018-08-16,35821562
2018-08-17,35821562
2018-08-18,35821562
2018-08-19,34168787
2018-08-20,34168787
2018-08-21,33027272
2018-08-22,33027272
2018-08-23,33085831
2018-08-24,33085831
2018-08-25,33500809
2018-08-26,33500809
2018-08-27,33500809
2018-08-28,33688875
2018-08-29,33688875
2018-08-30,33897868
2018-08-31,33897868
2018-09-01,33875966
2018-09-02,33875966
2018-09-03,33875966
2018-09-04,34040435
2018-09-05,34040435
2018-09-06,34040435
2018-09-07,34093070
2018-09-08,34093070
2018-09-09,34093070
2018-09-10,33640053
2018-09-11,33640053
2018-09-12,33640053
2018-09-13,33388516
2018-09-14,33388516
2018-09-15,33388516
2018-09-16,33420215
2018-09-17,33420215
2018-09-18,33420215
2018-09-19,33411163
2018-09-20,33411163
2018-09-21,33411163
2018-09-22,33277918
2018-09-23,33277918
2018-09-24,33277918
2018-09-25,33273632
2018-09-26,33273632
2018-09-27,33273632
2018-09-28,33331123
2018-09-29,33331123
2018-09-30,33331123
2018-10-01,33020471
2018-10-02,33020471
2018-10-03,33020471
2018-10-04,33239908
2018-10-05,33239908
2018-10-06,33605279
2018-10-07,33605279
2018-10-08,33576071
2018-10-09,33576071
2018-10-10,33579636
2018-10-11,33579636
2018-10-12,34495283
2018-10-13,34735671
2018-10-14,34735671
2018-10-15,34735671
2018-10-16,34117990
2018-10-17,34117990
2018-10-18,34117990
2018-10-19,34028206
2018-10-20,34028206
2018-10-21,34028206
2018-10-22,33704874
2018-10-23,33704874
2018-10-24,33704874
2018-10-25,32916106
2018-10-26,32916106
2018-10-27,32916106
2018-10-28,32828936
