date_obj,Jade%20amulet price
2020-02-18,794
2020-02-19,794
2020-02-20,794
2020-02-21,794
2020-02-22,794
2020-02-23,794
2020-02-24,794
2020-02-25,794
2020-02-26,794
2020-02-27,794
2020-02-28,794
2020-02-29,794
2020-03-01,794
2020-03-02,763
2020-03-03,763
2020-03-04,763
2020-03-05,763
2020-03-06,763
2020-03-07,763
2020-03-08,763
2020-03-09,763
2020-03-10,763
2020-03-11,763
2020-03-12,763
2020-03-13,763
2020-03-14,763
2020-03-15,763
2020-03-16,774
2020-03-17,774
2020-03-18,774
2020-03-19,774
2020-03-20,774
2020-03-21,774
2020-03-22,774
2020-03-23,800
2020-03-24,800
2020-03-25,800
2020-03-26,800
2020-03-27,800
2020-03-28,800
2020-03-29,834
2020-03-30,834
2020-03-31,834
2020-04-01,834
2020-04-02,868
2020-04-03,868
2020-04-04,868
2020-04-05,868
2020-04-06,868
2020-04-07,868
2020-04-08,868
2020-04-09,868
2020-04-10,868
2020-04-11,868
2020-04-12,868
2020-04-13,851
2020-04-14,851
2020-04-15,851
2020-04-16,851
2020-04-17,851
2020-04-18,851
2020-04-19,851
2020-04-20,851
2020-04-21,851
2020-04-22,851
2020-04-23,851
2020-04-24,851
2020-04-25,851
2020-04-26,809
2020-04-27,809
2020-04-28,809
2020-04-29,809
2020-04-30,809
2020-05-01,809
2020-05-02,809
2020-05-03,809
2020-05-04,809
2020-05-05,809
2020-05-06,809
2020-05-07,809
2020-05-08,809
2020-05-09,769
2020-05-10,769
2020-05-11,769
2020-05-12,769
2020-05-13,769
