date_obj,Red%20elegant%20legs price
2018-07-19,45914
2018-07-20,45914
2018-07-21,45914
2018-07-22,46317
2018-07-23,46317
2018-07-24,46317
2018-07-25,46317
2018-07-26,45555
2018-07-27,45555
2018-07-28,45555
2018-07-29,45703
2018-07-30,45703
2018-07-31,45703
2018-08-01,45703
2018-08-02,45496
2018-08-03,45496
2018-08-04,45496
2018-08-05,45496
2018-08-06,45144
2018-08-07,45144
2018-08-08,45144
2018-08-09,45144
2018-08-10,44145
2018-08-11,44145
2018-08-12,44145
2018-08-14,43919
2018-08-16,43919
2018-08-17,43145
2018-08-18,43145
2018-08-19,43145
2018-08-20,42738
2018-08-21,42738
2018-08-22,42738
2018-08-23,42738
2018-08-24,42933
2018-08-25,42933
2018-08-26,42933
2018-08-27,41831
2018-08-28,41831
2018-08-29,41831
2018-08-30,40022
2018-08-31,40022
2018-09-01,40022
2018-09-02,39515
2018-09-03,39515
2018-09-04,38994
2018-09-05,38994
2018-09-06,38994
2018-09-07,38724
2018-09-08,38724
2018-09-09,38724
2018-09-10,38668
2018-09-11,38668
2018-09-12,38668
2018-09-13,38627
2018-09-14,38627
2018-09-15,38783
2018-09-16,38783
2018-09-17,38783
2018-09-18,38783
2018-09-19,38531
2018-09-20,38531
2018-09-21,38531
2018-09-22,39297
2018-09-23,39297
2018-09-24,39297
2018-09-25,39297
2018-09-26,40828
2018-09-27,40828
2018-09-28,40828
2018-09-29,40828
2018-09-30,42318
2018-10-02,42318
2018-10-03,44308
2018-10-04,44308
2018-10-05,44308
2018-10-06,45302
2018-10-07,45302
2018-10-08,45302
2018-10-09,45302
2018-10-10,44992
2018-10-11,44992
2018-10-12,44992
2018-10-13,44966
2018-10-14,44966
2018-10-15,44966
2018-10-16,44966
2018-10-17,44919
2018-10-18,44919
2018-10-19,44919
2018-10-20,44919
2018-10-21,44748
2018-10-22,44748
2018-10-23,44748
2018-10-24,45253
2018-10-25,45253
2018-10-26,45253
2018-10-27,46280
2018-10-28,46280
2018-10-29,46280
2018-10-30,47412
2018-10-31,47412
2018-11-01,48696
2018-11-03,48859
2018-11-04,48859
2018-11-05,49960
2018-11-06,49996
2018-11-07,49996
2018-11-08,50432
2018-11-09,50432
2018-11-10,50768
2018-11-11,50768
2018-11-12,51960
2018-11-13,51960
2018-11-14,54058
2018-11-15,54058
2018-11-16,53482
2018-11-17,53482
2018-11-18,53208
2018-11-19,53208
2018-11-20,52589
2018-11-21,52589
2018-11-22,52337
2018-11-23,52337
2018-11-24,50895
2018-11-25,49442
2018-11-26,49442
2018-11-27,47841
2018-11-28,47841
2018-12-01,49717
2018-12-02,49717
2018-12-03,49455
2018-12-04,50602
2018-12-05,50602
2018-12-07,52536
2018-12-09,53295
2018-12-10,53408
2018-12-11,53408
2018-12-12,52726
2018-12-13,52726
2018-12-14,52624
2018-12-15,52624
2018-12-16,51387
2018-12-17,51387
