date_obj,Red%20headband price
2017-06-09,4805
2017-06-10,4697
2017-06-11,4697
2017-06-12,4697
2017-06-13,4697
2017-06-14,4631
2017-06-15,4631
2017-06-16,4631
2017-06-17,4631
2017-06-18,4433
2017-06-19,4433
2017-06-20,4433
2017-06-21,4433
2017-06-22,4433
2017-06-23,4442
2017-06-24,4442
2017-06-25,4442
2017-06-26,4442
2017-06-27,4471
2017-06-28,4471
2017-06-29,4471
2017-06-30,4471
2017-07-01,4476
2017-07-02,4476
2017-07-03,4476
2017-07-04,4476
2017-07-05,4351
2017-07-06,4351
2017-07-07,4351
2017-07-08,4351
2017-07-13,4320
2017-07-14,4314
2017-07-15,4314
2017-07-16,4314
2017-07-17,4314
2017-07-18,4286
2017-07-19,4286
2017-07-20,4286
2017-07-21,4286
2017-07-22,4201
2017-07-23,4201
2017-07-24,4201
2017-07-25,4201
2017-07-26,4183
2017-07-27,4183
2017-07-28,4183
2017-07-29,4183
2017-07-30,4137
2017-07-31,4137
2017-08-01,4137
2017-08-02,4137
2017-08-03,4132
2017-08-04,4132
2017-08-05,4132
2017-08-06,4132
2017-08-09,4105
2017-08-10,4105
2017-08-11,4105
2017-08-12,4183
2017-08-13,4183
2017-08-14,4183
2017-08-15,4183
2017-08-16,4295
2017-08-17,4295
2017-08-18,4295
2017-08-19,4295
2017-08-20,4207
2017-08-22,4207
2017-08-23,4207
2017-08-24,4207
2017-08-25,4048
2017-08-26,4048
2017-08-27,4048
2017-08-28,4048
2017-08-29,4048
2017-08-30,3933
2017-08-31,3933
2017-09-01,3933
2017-09-02,3933
2017-09-03,3933
2017-09-04,3858
2017-09-05,3858
2017-09-06,3858
2017-09-07,3858
2017-09-08,3858
2017-09-09,3841
2017-09-10,3841
2017-09-11,3841
2017-09-12,3841
2017-09-13,3841
2017-09-14,3815
2017-09-15,3815
2017-09-16,3815
2017-09-17,3815
2017-09-19,3747
2017-09-20,3747
2017-09-21,3747
2017-09-22,3737
2017-09-23,3737
2017-09-24,3737
2017-09-25,3737
2017-09-26,3737
2017-09-27,3660
2017-09-28,3660
