date_obj,Worm%20crunchies price
2018-06-27,792
2018-06-28,792
2018-06-29,820
2018-06-30,820
2018-07-01,820
2018-07-02,820
2018-07-03,820
2018-07-04,820
2018-07-05,820
2018-07-06,820
2018-07-07,820
2018-07-08,820
2018-07-09,820
2018-07-10,820
2018-07-11,820
2018-07-12,820
2018-07-13,820
2018-07-14,820
2018-07-15,820
2018-07-16,820
2018-07-17,820
2018-07-18,820
2018-07-19,820
2018-07-20,820
2018-07-21,820
2018-07-22,820
2018-07-23,820
2018-07-24,820
2018-07-25,820
2018-07-26,820
2018-07-27,820
2018-07-28,820
2018-07-29,820
2018-07-30,820
2018-07-31,820
2018-08-01,820
2018-08-02,845
2018-08-03,845
2018-08-04,845
2018-08-05,845
2018-08-06,845
2018-08-07,845
2018-08-08,845
2018-08-09,845
2018-08-10,845
2018-08-11,845
2018-08-12,845
2018-08-14,845
2018-08-16,845
2018-08-17,845
2018-08-18,845
2018-08-19,845
2018-08-20,845
2018-08-21,845
2018-08-22,845
2018-08-23,845
2018-08-24,845
2018-08-25,886
2018-08-26,886
2018-08-27,886
2018-08-28,886
2018-08-29,886
2018-08-30,886
2018-08-31,886
2018-09-01,886
2018-09-02,886
2018-09-03,886
2018-09-04,886
2018-09-05,886
2018-09-06,886
2018-09-07,886
2018-09-08,886
2018-09-09,886
2018-09-10,886
2018-09-11,886
2018-09-12,886
2018-09-13,886
2018-09-14,886
2018-09-15,874
2018-09-16,874
2018-09-17,874
2018-09-18,874
2018-09-19,874
2018-09-20,874
2018-09-21,874
2018-09-22,874
2018-09-23,874
2018-09-24,874
2018-09-25,874
2018-09-26,874
2018-09-27,874
2018-09-28,874
2018-09-29,874
2018-09-30,874
2018-10-02,874
2018-10-03,874
2018-10-04,874
2018-10-05,874
2018-10-06,874
2018-10-07,874
2018-10-08,874
2018-10-09,911
2018-10-10,911
2018-10-11,911
2018-10-12,911
2018-10-13,911
2018-10-14,911
2018-10-15,911
2018-10-16,911
2018-10-17,911
2018-10-18,911
2018-10-19,911
2018-10-20,911
2018-10-21,911
2018-10-22,911
2018-10-23,911
2018-10-24,911
2018-10-25,911
2018-10-26,911
2018-10-27,911
2018-10-28,911
2018-10-29,911
2018-10-30,911
2018-10-31,911
2018-11-01,911
2018-11-03,911
2018-11-04,911
2018-11-05,935
2018-11-06,935
2018-11-07,935
2018-11-08,935
2018-11-09,935
2018-11-10,935
2018-11-11,935
2018-11-12,935
2018-11-13,935
2018-11-14,935
2018-11-15,935
2018-11-16,935
2018-11-17,935
2018-11-18,935
2018-11-19,935
2018-11-20,935
2018-11-21,935
2018-11-22,935
2018-11-23,935
2018-11-24,982
2018-11-25,982
2018-11-26,982
2018-11-27,982
2018-11-28,982
2018-11-29,982
2018-12-01,982
2018-12-02,982
2018-12-03,982
2018-12-04,982
2018-12-05,982
2018-12-07,982
2018-12-09,982
2018-12-10,1021
2018-12-11,1021
2018-12-12,1021
2018-12-13,1021
2018-12-14,1021
2018-12-15,1021
2018-12-16,1021
2018-12-17,1021
2018-12-18,1021
2018-12-19,1021
2018-12-20,1021
2018-12-21,1021
2018-12-22,1021
2018-12-23,1021
2018-12-24,1021
2018-12-25,1021
2018-12-26,1021
2018-12-27,1040
2018-12-28,1040
2018-12-29,1040
2018-12-30,1040
2018-12-31,1040
2019-01-01,1040
2019-01-02,1040
2019-01-03,1040
2019-01-04,1040
2019-01-05,1040
2019-01-06,1040
2019-01-08,1040
2019-01-10,1040
2019-01-11,1074
2019-01-12,1074
2019-01-13,1074
2019-01-14,1074
2019-01-15,1074
2019-01-16,1074
2019-01-17,1074
2019-01-18,1074
2019-01-19,1074
2019-01-20,1074
2019-01-22,1074
2019-01-23,1074
2019-01-24,1074
2019-01-25,1074
2019-01-26,1113
2019-01-27,1113
2019-01-28,1113
2019-01-29,1113
2019-01-30,1113
2019-01-31,1113
2019-02-01,1113
2019-02-02,1113
2019-02-03,1113
2019-02-04,1113
2019-02-05,1113
2019-02-06,1113
2019-02-07,1113
2019-02-08,1160
2019-02-09,1160
