date_obj,Black%20spiky%20vambraces price
2018-05-10,3354
2018-05-11,3381
2018-05-12,3363
2018-05-13,3363
2018-05-14,3350
2018-05-15,3342
2018-05-16,3350
2018-05-17,3316
2018-05-18,3376
2018-05-19,3448
2018-05-20,3293
2018-05-21,3217
2018-05-22,3217
2018-05-23,3203
2018-05-24,3108
2018-05-25,3174
2018-05-26,3168
2018-05-27,3101
2018-05-28,3056
2018-05-29,3124
2018-05-30,3210
2018-05-31,3243
2018-06-01,3280
2018-06-02,3327
2018-06-03,3345
2018-06-04,3307
2018-06-05,3277
2018-06-06,3263
2018-06-07,3339
2018-06-08,3340
2018-06-09,3311
2018-06-10,3258
2018-06-11,3275
2018-06-12,3250
2018-06-13,3219
2018-06-14,3255
2018-06-15,3239
2018-06-16,3253
2018-06-17,3235
2018-06-18,3248
2018-06-19,3248
2018-06-20,3248
2018-06-21,3218
2018-06-22,3195
2018-06-23,3252
2018-06-24,3235
2018-06-25,3174
2018-06-26,3260
2018-06-27,3368
2018-06-28,3432
2018-06-29,3502
2018-06-30,3465
2018-07-01,3456
2018-07-02,3390
2018-07-03,3412
2018-07-04,3468
2018-07-05,3560
2018-07-06,3568
2018-07-07,3589
2018-07-08,3656
2018-07-09,3650
2018-07-10,3609
2018-07-11,3673
2018-07-12,3570
2018-07-13,3544
2018-07-14,3590
2018-07-15,3576
2018-07-16,3565
2018-07-17,3623
2018-07-18,3649
2018-07-19,3681
2018-07-20,3676
2018-07-21,3689
2018-07-22,3601
2018-07-23,3529
2018-07-24,3525
2018-07-25,3526
2018-07-26,3622
2018-07-27,3760
2018-07-28,3817
2018-07-29,3801
2018-07-30,3718
2018-07-31,3713
2018-08-01,3674
2018-08-02,3635
2018-08-03,3488
2018-08-04,3495
2018-08-05,3471
2018-08-06,3433
2018-08-07,3501
2018-08-08,3515
2018-08-09,3537
2018-08-10,3500
2018-08-11,3470
2018-08-12,3506
2018-08-14,3643
2018-08-16,3649
2018-08-17,3526
2018-08-18,3598
2018-08-19,3546
2018-08-20,3498
2018-08-21,3507
2018-08-22,3589
2018-08-23,3601
2018-08-24,3646
2018-08-25,3614
2018-08-26,3626
2018-08-27,3492
2018-08-28,3419
2018-08-29,3410
2018-08-30,3510
2018-08-31,3569
2018-09-01,3641
2018-09-02,3614
2018-09-03,3588
2018-09-04,3583
2018-09-05,3595
2018-09-06,3636
2018-09-07,3651
2018-09-08,3566
2018-09-09,3598
2018-09-10,3600
2018-09-11,3420
2018-09-12,3357
2018-09-13,3317
2018-09-14,3297
2018-09-15,3324
2018-09-16,3483
2018-09-17,3534
2018-09-18,3562
2018-09-19,3505
2018-09-20,3478
2018-09-21,3486
2018-09-22,3421
2018-09-23,3307
2018-09-24,3275
2018-09-25,3170
2018-09-26,3160
2018-09-27,3102
2018-09-28,3103
2018-09-29,3041
2018-09-30,2997
2018-10-01,3013
2018-10-02,3019
2018-10-03,3125
2018-10-04,3247
2018-10-05,3326
2018-10-06,3319
2018-10-07,3299
2018-10-08,3191
2018-10-09,3140
2018-10-10,3291
2018-10-11,3371
2018-10-12,3410
2018-10-13,3473
2018-10-14,3572
2018-10-15,3638
2018-10-16,3580
2018-10-17,3710
2018-10-18,3824
2018-10-19,3907
2018-10-20,3932
2018-10-21,3853
2018-10-22,3927
2018-10-23,3874
2018-10-24,3948
2018-10-25,4057
2018-10-26,4135
2018-10-27,4181
2018-10-28,4146
2018-10-29,4142
2018-10-30,4090
2018-10-31,4087
2018-11-01,4152
2018-11-03,4233
2018-11-04,4179
2018-11-05,4080
2018-11-06,4010
2018-11-07,3970
2018-11-08,4074
2018-11-09,4173
2018-11-10,4130
2018-11-11,4134
2018-11-12,4244
2018-11-13,4294
2018-11-15,4354
2018-11-16,4334
2018-11-17,4356
2018-11-18,4324
2018-11-19,4296
2018-11-20,4367
2018-11-21,4443
2018-11-22,4502
2018-11-23,4500
2018-11-24,4615
2018-11-25,4524
2018-11-26,4451
2018-11-27,4360
2018-11-28,4258
2018-11-29,4048
2018-12-01,3679
2018-12-02,3618
2018-12-03,3506
2018-12-04,3519
2018-12-05,3487
2018-12-07,3448
2018-12-09,3634
2018-12-10,3694
2018-12-11,3761
2018-12-12,3803
2018-12-13,3804
2018-12-14,3776
2018-12-15,3746
2018-12-16,3737
2018-12-17,3819
2018-12-18,3906
2018-12-19,3942
2018-12-20,3870
2018-12-21,3882
2018-12-22,3940
2018-12-23,3911
2018-12-24,3879
2018-12-25,3817
2018-12-26,3862
2018-12-27,3798
2018-12-28,3759
2018-12-29,3670
2018-12-30,3630
2018-12-31,3585
2019-01-01,3520
2019-01-02,3563
2019-01-03,3558
2019-01-04,3561
2019-01-05,3617
2019-01-06,3567
2019-01-08,3451
2019-01-10,3479
2019-01-11,3460
2019-01-12,3476
2019-01-13,3462
2019-01-14,3467
2019-01-15,3405
2019-01-16,3419
2019-01-17,3397
2019-01-18,3382
2019-01-19,3394
2019-01-20,3415
2019-01-21,3511
2019-01-22,3466
2019-01-23,3498
2019-01-24,3538
2019-01-25,3487
2019-01-26,3474
2019-01-27,3472
2019-01-28,3352
2019-01-29,3329
2019-01-30,3295
2019-01-31,3316
2019-02-01,3316
2019-02-02,3283
2019-02-03,3186
2019-02-04,3216
2019-02-05,3182
2019-02-06,3166
2019-02-07,3157
2019-02-08,3225
2019-02-09,3287
2019-02-10,3265
2019-02-11,3211
2019-02-12,3144
2019-02-13,3173
2019-02-14,3205
2019-02-15,3208
2019-02-16,3237
2019-02-17,3274
2019-02-18,3290
2019-02-19,3296
2019-02-20,3300
2019-02-21,3346
2019-02-22,3405
2019-02-23,3407
2019-02-24,3420
2019-02-25,3464
2019-02-26,3412
2019-02-27,3432
2019-02-28,3353
2019-03-01,3315
2019-03-02,3283
2019-03-03,3280
2019-03-04,3323
2019-03-05,3330
2019-03-06,3359
2019-03-07,3367
2019-03-08,3253
2019-03-09,3346
2019-03-10,3416
2019-03-11,3583
2019-03-12,3686
2019-03-13,3764
2019-03-14,3695
2019-03-15,3685
2019-03-16,3692
