date_obj,Diamond%20amulet%20(u) price
2018-03-25,2146
2018-03-26,2156
2018-03-27,2156
2018-03-28,2156
2018-03-29,2156
2018-03-30,2156
2018-03-31,2156
2018-04-01,2156
2018-04-02,2156
2018-04-03,2156
2018-04-04,2156
2018-04-05,2156
2018-04-06,2156
2018-04-07,2156
2018-04-08,2156
2018-04-09,2156
2018-04-10,2156
2018-04-11,2156
2018-04-12,2156
2018-04-13,2156
2018-04-14,2156
2018-04-15,2156
2018-04-16,2156
2018-04-17,2156
2018-04-18,2156
2018-04-19,2156
2018-04-20,2156
2018-04-21,2156
2018-04-22,2156
2018-04-23,2156
2018-04-24,2156
2018-04-25,2101
2018-04-26,2101
2018-04-27,2101
2018-04-28,2101
2018-04-29,2101
2018-04-30,2101
2018-05-01,2101
2018-05-03,2101
2018-05-04,2101
2018-05-05,2101
2018-05-07,2101
2018-05-08,2101
2018-05-09,2101
2018-05-10,2101
2018-05-11,2101
2018-05-12,2101
2018-05-13,2101
2018-05-14,2101
2018-05-15,2101
2018-05-16,2101
2018-05-17,2101
2018-05-18,2101
2018-05-19,2101
2018-05-20,2101
2018-05-21,2070
2018-05-22,2070
2018-05-23,2070
2018-05-24,2070
2018-05-25,2070
2018-05-26,2070
2018-05-27,2070
2018-05-28,2070
2018-05-29,2070
2018-05-30,2070
2018-05-31,2070
2018-06-01,2070
2018-06-02,2070
2018-06-03,2070
2018-06-04,2070
2018-06-05,2070
2018-06-06,2070
2018-06-07,2070
2018-06-08,2070
2018-06-09,2070
2018-06-10,2070
2018-06-11,2070
2018-06-12,2070
2018-06-13,2070
2018-06-14,2070
2018-06-15,2070
2018-06-16,2070
2018-06-17,2070
2018-06-18,2079
2018-06-19,2079
2018-06-20,2079
2018-06-21,2079
2018-06-22,2079
2018-06-23,2079
2018-06-24,2079
2018-06-25,2079
2018-06-26,2079
2018-06-27,2079
2018-06-28,2079
2018-06-29,2079
2018-06-30,2079
2018-07-01,2079
2018-07-02,2079
2018-07-03,2079
2018-07-04,2079
2018-07-05,2079
2018-07-06,2079
2018-07-07,2079
2018-07-08,2079
2018-07-09,2079
2018-07-10,2079
2018-07-11,2079
2018-07-12,2079
2018-07-13,2079
2018-07-14,2079
2018-07-15,2079
2018-07-16,2079
2018-07-17,2079
2018-07-18,2079
2018-07-19,2079
2018-07-20,2079
2018-07-21,2079
2018-07-22,2079
2018-07-23,2079
2018-07-24,2079
2018-07-25,2079
2018-07-26,2079
2018-07-27,2079
2018-07-28,2079
2018-07-29,2079
2018-07-30,2079
2018-07-31,2079
2018-08-01,2079
2018-08-02,2079
2018-08-03,2079
2018-08-04,2107
2018-08-05,2107
2018-08-06,2107
2018-08-07,2107
2018-08-08,2107
2018-08-09,2107
2018-08-10,2107
2018-08-11,2107
2018-08-12,2107
2018-08-14,2107
2018-08-16,2107
2018-08-17,2107
2018-08-18,2107
2018-08-19,2107
2018-08-20,2107
2018-08-21,2107
2018-08-22,2107
2018-08-23,2107
2018-08-24,2107
2018-08-25,2107
2018-08-26,2140
2018-08-27,2140
2018-08-28,2140
2018-08-29,2140
2018-08-30,2140
