date_obj,Mystic%20robe%20top%20(light) price
2018-02-04,72279
2018-02-05,71976
2018-02-06,71497
2018-02-07,71593
2018-02-08,71331
2018-02-09,71686
2018-02-10,71250
2018-02-11,72096
2018-02-12,71934
2018-02-13,71784
2018-02-14,71705
2018-02-15,71848
2018-02-16,72150
2018-02-17,72234
2018-02-18,72422
2018-02-19,71606
2018-02-20,71643
2018-02-21,71590
2018-02-22,71724
2018-02-23,71632
2018-02-24,72952
2018-02-25,71930
2018-02-26,71736
2018-02-27,72383
2018-03-01,72544
2018-03-02,72447
2018-03-03,72082
2018-03-04,72082
2018-03-05,71671
2018-03-06,72078
2018-03-07,71645
2018-03-08,71839
2018-03-09,71611
2018-03-10,71605
2018-03-11,71835
2018-03-12,71777
2018-03-13,72135
2018-03-14,74303
2018-03-15,72583
2018-03-16,71191
2018-03-17,71913
2018-03-18,72131
2018-03-19,72723
2018-03-20,71874
2018-03-21,71595
2018-03-23,72177
2018-03-24,72502
2018-03-26,72343
2018-03-27,73693
2018-03-28,72527
2018-03-29,72100
2018-03-30,72526
2018-03-31,74119
2018-04-01,74494
2018-04-02,72264
2018-04-03,71737
2018-04-04,72612
2018-04-05,72612
2018-04-06,72452
2018-04-07,72276
2018-04-08,71856
2018-04-09,71653
2018-04-10,71866
2018-04-11,71854
2018-04-12,71341
2018-04-13,71404
2018-04-14,71522
2018-04-15,71414
2018-04-16,71570
2018-04-17,71578
2018-04-18,71651
2018-04-19,71517
2018-04-20,72010
2018-04-21,71735
2018-04-22,72184
2018-04-23,71802
2018-04-24,72264
2018-04-25,71566
2018-04-26,71442
2018-04-27,72615
2018-04-28,71804
2018-04-29,72059
2018-04-30,71807
2018-05-01,71851
2018-05-04,71573
2018-05-05,71622
2018-05-06,71622
2018-05-07,71658
2018-05-08,71650
2018-05-09,71497
2018-05-10,71615
2018-05-11,71847
2018-05-12,71856
2018-05-13,71553
2018-05-14,71495
2018-05-15,72041
2018-05-16,72245
2018-05-17,72631
2018-05-18,72207
2018-05-19,72363
2018-05-20,72342
2018-05-21,72339
2018-05-22,72204
2018-05-23,72007
2018-05-24,72852
2018-05-25,71727
2018-05-26,72644
2018-05-27,72683
2018-05-28,72877
2018-05-29,71729
2018-05-30,71666
2018-05-31,72177
2018-06-01,71836
2018-06-02,71903
2018-06-03,71920
2018-06-04,71881
2018-06-05,71409
2018-06-06,71284
2018-06-07,71413
2018-06-08,71622
2018-06-09,71770
2018-06-10,71653
2018-06-11,72089
2018-06-12,72030
2018-06-13,72054
2018-06-14,71332
2018-06-15,71733
2018-06-16,71771
2018-06-17,71696
2018-06-18,71959
2018-06-19,72623
2018-06-20,72623
2018-06-21,72113
2018-06-22,71595
2018-06-23,71617
2018-06-24,72030
2018-06-25,71609
2018-06-26,71695
2018-06-27,72083
2018-06-28,72028
2018-06-29,71972
2018-06-30,72192
2018-07-01,71608
2018-07-02,71795
2018-07-03,71314
2018-07-04,71620
2018-07-05,71483
2018-07-06,71402
2018-07-07,71563
2018-07-08,71555
2018-07-09,71693
2018-07-10,71873
2018-07-11,72794
2018-07-12,73132
2018-07-13,72011
2018-07-14,71790
2018-07-15,72731
2018-07-16,71845
2018-07-17,71420
2018-07-18,71495
2018-07-19,71492
2018-07-20,71487
2018-07-21,72136
2018-07-22,71545
2018-07-23,71496
2018-07-24,71521
2018-07-25,71689
2018-07-26,71884
2018-07-27,71701
2018-07-28,72417
2018-07-29,71491
2018-07-30,72057
2018-07-31,72028
2018-08-01,72242
2018-08-02,72205
2018-08-03,71584
2018-08-04,71748
2018-08-05,71981
2018-08-06,73270
2018-08-07,73372
2018-08-08,72619
2018-08-09,71814
2018-08-10,71909
2018-08-11,71517
2018-08-12,71563
2018-08-14,71501
2018-08-16,71616
2018-08-17,71375
2018-08-18,71702
2018-08-19,72773
2018-08-20,73146
2018-08-21,72761
2018-08-22,73178
2018-08-23,73634
2018-08-24,72297
2018-08-25,72336
2018-08-26,73833
2018-08-27,74150
2018-08-28,73594
2018-08-29,74193
2018-08-30,73628
2018-08-31,73097
2018-09-01,72021
2018-09-02,71992
2018-09-03,71548
2018-09-04,71937
2018-09-05,72072
2018-09-06,72072
2018-09-07,71975
2018-09-08,71717
2018-09-09,71740
2018-09-10,71805
2018-09-11,73220
2018-09-12,72413
2018-09-13,71902
2018-09-14,71705
2018-09-15,71708
2018-09-16,71894
2018-09-17,71817
2018-09-18,71690
2018-09-19,71613
2018-09-20,71359
2018-09-21,71626
2018-09-22,71819
2018-09-23,71701
2018-09-24,71940
2018-09-25,72361
2018-09-26,71903
2018-09-27,73177
2018-09-28,71867
2018-09-29,71689
2018-09-30,71730
2018-10-02,72737
2018-10-03,72982
2018-10-04,73178
2018-10-05,71946
2018-10-06,71910
2018-10-07,73305
2018-10-08,73884
2018-10-09,75593
2018-10-10,74157
2018-10-11,73457
2018-10-12,72658
2018-10-13,72274
2018-10-14,71807
2018-10-15,72411
2018-10-16,72007
2018-10-17,72142
2018-10-18,72206
2018-10-19,72402
2018-10-20,72755
2018-10-21,72322
2018-10-22,72518
2018-10-23,71850
2018-10-24,71880
2018-10-25,72889
2018-10-26,72390
2018-10-27,71821
2018-10-28,71280
2018-10-29,71456
2018-10-30,72252
2018-10-31,72249
2018-11-01,72201
2018-11-03,72125
2018-11-04,72523
2018-11-05,72272
2018-11-06,72013
2018-11-07,71904
2018-11-08,71878
2018-11-09,71897
2018-11-10,72311
2018-11-11,72261
2018-11-12,71995
2018-11-13,72032
2018-11-15,71838
2018-11-16,71820
2018-11-17,71679
2018-11-18,71858
2018-11-19,71831
2018-11-20,71865
2018-11-21,71904
2018-11-22,71882
2018-11-23,71853
2018-11-24,71766
2018-11-25,71726
2018-11-26,71885
2018-11-27,71823
2018-11-28,71889
2018-11-29,71848
2018-12-01,71692
2018-12-02,71716
2018-12-03,71718
2018-12-05,72291
2018-12-07,71877
2018-12-09,73283
2018-12-10,72482
2018-12-11,71948
2018-12-12,72035
2018-12-13,72434
2018-12-14,72210
2018-12-15,72106
2018-12-16,72119
2018-12-17,72022
2018-12-18,71859
2018-12-19,71821
2018-12-20,71774
2018-12-21,71726
2018-12-22,71651
2018-12-23,71954
2018-12-24,72547
2018-12-25,73717
2018-12-26,73933
2018-12-27,72343
2018-12-28,71641
2018-12-29,71717
2018-12-30,71919
2018-12-31,72825
2019-01-01,73239
2019-01-02,72168
2019-01-03,71834
