date_obj,Bob's%20black%20shirt price
2018-03-27,34269
2018-03-28,34601
2018-03-29,34601
2018-03-30,35050
2018-03-31,35050
2018-04-01,35050
2018-04-02,35074
2018-04-03,35074
2018-04-04,34928
2018-04-05,34928
2018-04-06,35142
2018-04-07,35142
2018-04-08,35256
2018-04-09,35256
2018-04-10,35484
2018-04-11,35484
2018-04-12,35254
2018-04-13,35254
2018-04-14,35254
2018-04-15,34661
2018-04-16,34661
2018-04-17,34925
2018-04-18,34925
2018-04-19,34925
2018-04-20,35147
2018-04-21,35147
2018-04-22,35147
2018-04-23,34219
2018-04-24,34219
2018-04-25,34523
2018-04-26,34523
2018-04-27,34523
2018-04-28,34429
2018-04-29,34429
2018-04-30,34790
2018-05-01,34790
2018-05-02,34790
2018-05-03,34190
2018-05-04,34190
2018-05-05,34120
2018-05-06,34120
2018-05-07,34120
2018-05-08,34509
2018-05-09,34509
2018-05-10,34903
2018-05-11,34903
2018-05-12,35256
2018-05-13,35256
2018-05-14,35915
2018-05-15,35915
2018-05-16,35915
2018-05-17,36583
2018-05-18,36583
2018-05-19,36859
2018-05-20,36859
2018-05-21,37605
2018-05-22,37605
2018-05-23,38010
2018-05-24,38010
2018-05-25,38420
2018-05-26,39516
2018-05-27,39516
2018-05-28,39903
2018-05-29,39903
2018-05-30,40790
2018-05-31,40790
2018-06-01,41985
2018-06-02,42663
2018-06-03,42663
2018-06-04,42663
2018-06-05,44685
2018-06-06,44685
2018-06-07,46897
2018-06-08,46897
2018-06-09,49089
2018-06-10,49089
2018-06-11,51483
2018-06-12,51483
2018-06-13,53830
2018-06-14,53830
2018-06-15,53830
2018-06-16,56384
2018-06-17,56384
2018-06-18,59140
2018-06-19,59140
2018-06-20,59140
2018-06-21,61974
2018-06-22,61974
2018-06-23,64797
2018-06-24,64797
2018-06-25,67554
2018-06-26,67554
2018-06-27,70645
2018-06-28,70645
2018-06-29,73609
2018-06-30,73609
2018-07-01,73609
2018-07-02,74287
2018-07-03,74287
2018-07-04,75120
2018-07-05,75120
2018-07-06,75120
2018-07-07,74454
2018-07-08,74454
2018-07-09,74454
2018-07-10,73597
2018-07-11,73597
2018-07-12,73597
2018-07-13,73597
2018-07-14,71481
2018-07-15,71481
2018-07-16,71481
2018-07-17,70586
2018-07-18,70586
2018-07-19,70586
2018-07-20,70127
2018-07-21,70127
2018-07-22,70321
2018-07-23,70321
2018-07-24,70685
2018-07-25,70685
2018-07-26,70557
2018-07-27,72024
2018-07-28,72024
2018-07-29,72601
2018-07-30,72601
2018-07-31,73328
2018-08-01,73328
2018-08-02,75357
2018-08-03,75357
2018-08-04,76916
2018-08-05,76916
2018-08-06,79190
2018-08-07,79190
2018-08-08,79484
2018-08-09,79484
2018-08-10,79484
2018-08-11,78964
2018-08-12,78964
2018-08-14,77845
2018-08-16,74060
2018-08-17,74060
2018-08-18,71523
2018-08-19,71523
2018-08-20,70127
2018-08-21,70127
2018-08-22,70127
2018-08-23,66881
2018-08-24,66881
2018-08-25,63536
2018-08-26,63536
2018-08-27,63536
2018-08-28,60792
2018-08-29,60792
2018-08-30,60792
2018-08-31,59848
2018-09-01,59848
2018-09-02,56970
2018-09-03,56970
2018-09-04,54121
2018-09-05,54121
2018-09-06,51593
2018-09-07,51593
2018-09-08,49910
2018-09-09,49910
2018-09-10,49326
2018-09-11,49326
2018-09-12,49326
2018-09-13,48563
2018-09-14,48563
2018-09-15,47158
2018-09-16,47158
2018-09-17,47158
2018-09-18,45761
2018-09-19,45761
2018-09-20,45518
2018-09-21,45518
2018-09-22,45790
2018-09-23,45790
2018-09-24,43586
2018-09-25,43586
2018-09-26,41406
2018-09-27,41406
2018-09-28,39824
2018-09-29,39824
2018-09-30,38817
2018-10-01,38817
2018-10-02,37932
2018-10-03,37426
2018-10-04,37426
2018-10-05,37426
2018-10-06,37078
2018-10-07,37078
2018-10-08,37078
2018-10-09,38020
2018-10-10,38020
2018-10-11,39208
2018-10-12,39208
2018-10-13,39391
2018-10-14,39391
2018-10-15,38581
2018-10-16,38581
2018-10-17,37360
2018-10-18,37360
2018-10-19,37160
2018-10-20,37160
2018-10-21,37551
2018-10-22,38025
2018-10-23,38025
2018-10-24,38145
2018-10-25,38145
2018-10-26,36237
2018-10-27,36237
2018-10-28,35753
2018-10-29,35753
2018-10-30,35753
2018-10-31,34434
2018-11-01,32860
2018-11-03,32166
2018-11-04,32166
2018-11-05,31697
2018-11-06,31697
2018-11-07,30627
2018-11-08,30627
2018-11-09,30870
2018-11-10,30820
2018-11-11,30820
2018-11-12,29950
2018-11-13,30058
2018-11-15,30016
2018-11-16,29944
2018-11-17,29944
2018-11-18,29392
2018-11-19,29392
2018-11-20,28445
2018-11-21,28445
2018-11-22,28054
2018-11-23,28054
2018-11-24,27558
2018-11-25,27672
2018-11-26,27672
2018-11-27,27984
2018-11-28,28861
2018-11-29,29993
2018-12-01,31210
2018-12-02,31964
2018-12-03,31964
2018-12-04,31947
2018-12-05,32221
2018-12-07,31587
2018-12-09,31183
2018-12-10,30901
2018-12-11,30901
2018-12-12,31930
2018-12-13,33150
2018-12-14,34033
2018-12-15,34888
2018-12-16,36047
2018-12-17,36047
2018-12-18,37622
2018-12-19,39381
2018-12-20,40699
2018-12-21,41990
2018-12-22,41990
2018-12-23,42056
2018-12-24,42748
2018-12-25,42748
2018-12-26,44808
2018-12-27,45128
2018-12-28,45128
2018-12-29,45765
2018-12-30,45765
2018-12-31,46628
2019-01-01,46628
2019-01-02,45493
2019-01-03,45904
2019-01-04,45216
2019-01-05,45768
2019-01-06,45678
2019-01-08,45328
2019-01-10,45363
2019-01-11,45363
2019-01-12,44483
2019-01-13,44877
2019-01-14,44696
2019-01-15,44343
2019-01-16,44326
2019-01-17,43921
2019-01-18,43921
2019-01-19,42975
2019-01-20,42921
2019-01-21,42921
2019-01-22,41592
2019-01-23,41592
2019-01-24,40681
2019-01-25,40681
2019-01-26,40340
2019-01-27,39801
2019-01-28,39801
2019-01-29,38699
2019-01-30,37238
2019-01-31,37238
2019-02-01,36658
2019-02-02,36658
2019-02-03,36103
2019-02-04,36103
2019-02-05,35955
2019-02-06,35955
2019-02-07,35390
2019-02-08,35390
2019-02-09,34995
2019-02-10,35454
2019-02-11,35651
2019-02-12,35651
2019-02-13,33948
2019-02-14,33948
2019-02-15,32574
2019-02-16,32427
2019-02-17,32427
2019-02-18,32030
2019-02-19,32030
2019-02-20,31740
2019-02-21,31827
2019-02-22,31827
2019-02-23,31018
2019-02-24,30899
2019-02-25,30813
2019-02-26,30813
2019-02-27,30925
2019-02-28,30925
2019-03-01,29788
2019-03-02,29788
2019-03-03,29588
2019-03-04,30033
2019-03-05,30131
2019-03-06,29434
2019-03-07,29785
2019-03-08,29785
2019-03-09,29965
2019-03-10,29567
2019-03-11,29208
2019-03-12,29647
2019-03-13,29647
2019-03-14,29323
2019-03-15,29323
2019-03-16,29111
2019-03-17,29238
2019-03-18,29238
2019-03-19,29631
2019-03-20,30065
