date_obj,Pottery%20scarab price
2018-05-18,67
2018-05-19,66
2018-05-20,66
2018-05-21,66
2018-05-22,66
2018-05-23,66
2018-05-24,67
2018-05-25,67
2018-05-26,67
2018-05-27,67
2018-05-28,71
2018-05-29,71
2018-05-30,71
2018-05-31,71
2018-06-01,71
2018-06-02,73
2018-06-03,73
2018-06-04,73
2018-06-05,73
2018-06-06,74
2018-06-07,74
2018-06-08,74
2018-06-09,74
2018-06-10,74
2018-06-11,73
2018-06-12,73
2018-06-13,73
2018-06-14,73
2018-06-15,73
2018-06-16,71
2018-06-17,71
2018-06-18,71
2018-06-19,71
2018-06-20,71
2018-06-21,72
2018-06-22,72
2018-06-23,72
2018-06-24,72
2018-06-25,72
2018-06-26,72
2018-06-27,72
2018-06-28,72
2018-06-29,72
2018-06-30,72
2018-07-01,73
2018-07-02,73
2018-07-03,73
2018-07-04,73
2018-07-05,73
2018-07-06,71
2018-07-07,71
2018-07-08,71
2018-07-09,71
2018-07-10,71
2018-07-11,70
2018-07-12,70
2018-07-13,70
2018-07-14,70
2018-07-15,72
2018-07-16,72
2018-07-17,72
2018-07-18,72
2018-07-19,71
2018-07-20,71
2018-07-21,71
2018-07-22,71
2018-07-23,72
2018-07-24,72
2018-07-25,72
2018-07-26,72
2018-07-27,74
2018-07-28,74
2018-07-29,74
2018-07-30,74
2018-07-31,71
2018-08-01,71
2018-08-02,71
2018-08-03,71
2018-08-04,73
2018-08-05,73
2018-08-06,73
2018-08-07,73
2018-08-08,70
2018-08-09,70
2018-08-10,70
2018-08-11,70
2018-08-12,70
2018-08-14,70
2018-08-16,70
2018-08-17,70
2018-08-18,70
2018-08-19,70
2018-08-20,70
2018-08-21,70
2018-08-22,70
2018-08-23,70
2018-08-24,70
2018-08-25,70
2018-08-26,70
2018-08-27,70
2018-08-28,70
2018-08-29,71
2018-08-30,71
2018-08-31,71
2018-09-01,72
2018-09-02,72
2018-09-03,72
2018-09-04,72
2018-09-05,70
2018-09-06,70
2018-09-07,70
2018-09-08,70
2018-09-09,70
2018-09-10,70
2018-09-11,70
2018-09-12,70
2018-09-13,70
2018-09-14,70
2018-09-15,70
2018-09-16,70
2018-09-17,70
2018-09-18,70
2018-09-19,70
2018-09-20,70
2018-09-21,70
2018-09-22,70
2018-09-23,69
2018-09-24,69
2018-09-25,69
2018-09-26,71
2018-09-27,71
2018-09-28,71
2018-09-29,71
2018-09-30,73
2018-10-02,73
2018-10-03,73
2018-10-04,72
2018-10-05,72
2018-10-06,72
2018-10-07,72
2018-10-08,72
2018-10-09,72
2018-10-10,72
2018-10-11,72
2018-10-12,72
2018-10-13,72
2018-10-14,72
2018-10-15,72
2018-10-16,72
2018-10-17,72
2018-10-18,72
2018-10-19,72
2018-10-20,73
2018-10-21,73
2018-10-22,73
2018-10-23,73
2018-10-24,74
2018-10-25,74
2018-10-26,74
2018-10-27,74
2018-10-28,74
2018-10-29,74
2018-10-30,74
2018-10-31,74
2018-11-01,74
2018-11-03,73
2018-11-04,73
2018-11-05,74
2018-11-06,74
2018-11-07,74
2018-11-08,74
2018-11-09,72
2018-11-10,72
2018-11-11,72
2018-11-12,74
2018-11-13,74
2018-11-14,74
2018-11-15,74
2018-11-16,76
2018-11-17,76
2018-11-18,76
2018-11-19,76
2018-11-20,73
2018-11-21,73
2018-11-22,73
2018-11-23,73
2018-11-24,71
2018-11-25,71
2018-11-26,71
2018-11-27,71
2018-11-28,71
2018-11-29,71
2018-12-01,69
2018-12-02,69
2018-12-03,69
2018-12-04,69
2018-12-05,70
2018-12-07,70
2018-12-09,70
2018-12-10,70
2018-12-11,70
2018-12-12,70
2018-12-13,70
2018-12-14,70
2018-12-15,70
2018-12-16,70
2018-12-17,70
2018-12-18,70
2018-12-19,70
2018-12-20,70
2018-12-21,70
2018-12-22,70
2018-12-23,70
2018-12-24,70
2018-12-25,70
2018-12-26,71
2018-12-27,71
2018-12-28,71
2018-12-29,69
2018-12-30,69
2018-12-31,69
2019-01-01,69
2019-01-02,70
2019-01-03,70
2019-01-04,70
2019-01-05,71
2019-01-06,71
2019-01-08,71
2019-01-10,71
2019-01-11,71
2019-01-12,71
2019-01-13,71
2019-01-14,71
2019-01-15,71
2019-01-16,71
2019-01-17,71
2019-01-18,71
2019-01-19,72
2019-01-20,72
2019-01-21,72
2019-01-22,73
2019-01-23,73
2019-01-24,73
2019-01-25,72
2019-01-26,72
2019-01-28,73
2019-01-29,73
2019-01-30,73
2019-01-31,74
2019-02-01,74
2019-02-02,74
2019-02-03,73
2019-02-04,73
2019-02-05,73
2019-02-06,73
2019-02-07,73
2019-02-08,73
2019-02-09,73
2019-02-10,70
2019-02-11,70
2019-02-12,70
2019-02-13,70
2019-02-14,70
2019-02-15,70
2019-02-16,72
2019-02-17,72
2019-02-18,72
2019-02-19,72
2019-02-20,72
2019-02-21,75
2019-02-22,75
2019-02-23,75
2019-02-24,72
2019-02-25,72
2019-02-26,72
2019-02-27,72
2019-02-28,72
2019-03-01,72
2019-03-02,72
2019-03-03,72
2019-03-04,75
2019-03-05,75
2019-03-06,75
2019-03-07,72
2019-03-08,72
2019-03-09,72
2019-03-10,72
2019-03-11,72
2019-03-12,72
2019-03-13,72
2019-03-14,72
2019-03-15,72
2019-03-16,72
2019-03-17,72
2019-03-18,72
2019-03-19,72
2019-03-20,72
2019-03-21,72
2019-03-22,72
2019-03-23,72
2019-03-24,72
2019-03-25,72
2019-03-26,73
2019-03-27,73
2019-03-28,73
2019-03-29,75
2019-03-30,75
2019-03-31,75
2019-04-01,75
2019-04-02,74
2019-04-03,74
