date_obj,Treasonous%20ring price
2017-02-18,797664
2017-02-19,778465
2017-02-20,778465
2017-02-21,778465
2017-02-22,778465
2017-02-23,748410
2017-02-24,748410
2017-02-25,748410
2017-02-26,755781
2017-02-27,755781
2017-02-28,755781
2017-03-01,777091
2017-03-02,777091
2017-03-03,777091
2017-03-04,766592
2017-03-05,766592
2017-03-06,766592
2017-03-07,779644
2017-03-08,779644
2017-03-09,779644
2017-03-10,750280
2017-03-11,750280
2017-03-12,750280
2017-03-13,743503
2017-03-14,743503
2017-03-15,743503
2017-03-16,722998
2017-03-17,722998
2017-03-18,722998
2017-03-19,698604
2017-03-20,698604
2017-03-21,698604
2017-03-22,684220
2017-03-23,684220
2017-03-24,684220
2017-03-25,684220
2017-03-26,695229
2017-03-27,695229
2017-03-28,695229
2017-03-29,695229
2017-03-30,668877
2017-03-31,668877
2017-04-01,668877
2017-04-02,639414
2017-04-03,639414
2017-04-04,639414
2017-04-12,678200
2017-04-13,644290
2017-04-14,644290
2017-04-15,644290
2017-04-16,621930
2017-04-17,621930
2017-04-18,621930
2017-04-19,650659
2017-04-20,650659
2017-04-21,650659
2017-04-22,679732
2017-04-23,679732
2017-04-24,679732
2017-04-25,711457
2017-04-26,711457
2017-04-27,711457
2017-04-28,712808
2017-04-29,712808
2017-04-30,746457
2017-05-01,746457
2017-05-02,746457
2017-05-03,783498
2017-05-04,783498
2017-05-05,783498
2017-05-06,814497
2017-05-07,814497
2017-05-08,814497
2017-05-09,813123
2017-05-10,813123
2017-05-11,813123
2017-05-12,785351
2017-05-13,785351
2017-05-14,785351
2017-05-15,782628
2017-05-16,782628
2017-05-17,782628
2017-05-18,782628
2017-05-19,760946
2017-05-20,760946
2017-05-21,760946
2017-05-22,777013
2017-05-23,777013
2017-05-24,777013
2017-05-25,779835
2017-05-26,779835
2017-05-27,779835
2017-05-28,747647
2017-05-29,747647
2017-05-30,747647
2017-05-31,724569
2017-06-01,724569
2017-06-02,724569
2017-06-03,723195
2017-06-06,720971
2017-06-07,720971
2017-06-08,720971
2017-06-09,720971
2017-06-10,700004
2017-06-11,700004
