date_obj,Raw%20dark%20crab price
2016-07-24,1717
2016-07-25,1717
2016-07-26,1717
2016-07-27,1709
2016-07-28,1709
2016-07-29,1709
2016-07-30,1709
2016-07-31,1709
2016-08-01,1709
2016-08-02,1709
2016-08-03,1627
2016-08-04,1627
2016-08-05,1627
2016-08-06,1627
2016-08-07,1627
2016-08-08,1627
2016-08-09,1627
2016-08-10,1627
2016-08-11,1603
2016-08-12,1603
2016-08-13,1603
2016-08-14,1603
2016-08-15,1603
2016-08-16,1603
2016-08-17,1603
2016-08-18,1603
2016-08-19,1528
2016-08-20,1528
2016-08-21,1528
2016-08-22,1528
2016-08-23,1528
2016-08-24,1528
2016-08-25,1465
2016-08-26,1465
2016-08-28,1465
2016-08-31,1465
2016-09-01,1426
2016-09-02,1426
2016-09-03,1426
2016-09-04,1426
2016-09-05,1426
2016-09-06,1426
2016-09-07,1426
2016-09-08,1426
2016-09-09,1457
2016-09-10,1457
2016-09-11,1457
2016-09-12,1457
2016-09-13,1457
2016-09-14,1457
2016-09-15,1457
2016-09-16,1457
2016-09-17,1483
2016-09-18,1483
2016-09-19,1483
2016-09-20,1483
2016-09-21,1483
2016-09-22,1483
2016-09-23,1483
2016-09-24,1483
2016-09-25,1483
2016-09-26,1482
2016-09-27,1482
2016-09-28,1482
2016-09-29,1482
2016-09-30,1482
2016-10-01,1482
2016-10-02,1482
2016-10-03,1482
2016-10-04,1482
2016-10-05,1486
2016-10-06,1486
2016-10-07,1486
2016-10-08,1486
2016-10-09,1486
2016-10-10,1486
2016-10-11,1486
2016-10-12,1486
2016-10-13,1486
2016-10-14,1504
2016-10-15,1504
2016-10-16,1504
2016-10-17,1504
2016-10-18,1504
2016-10-19,1504
2016-10-20,1504
2016-10-21,1549
2016-10-22,1549
2016-10-23,1549
2016-10-24,1549
2016-10-25,1549
2016-10-26,1549
2016-10-27,1549
2016-10-28,1539
2016-10-29,1539
2016-10-30,1539
2016-10-31,1539
2016-11-01,1539
2016-11-02,1539
2016-11-03,1539
2016-11-04,1527
2016-11-05,1527
2016-11-06,1527
2016-11-07,1527
2016-11-08,1527
2016-11-09,1527
2016-11-10,1527
2016-11-11,1573
2016-11-12,1573
2016-11-13,1573
2016-11-14,1573
2016-12-08,1606
2016-12-09,1606
2016-12-10,1606
2016-12-11,1606
2016-12-12,1606
2016-12-13,1606
