date_obj,Black%20scimitar price
2018-02-05,1753
2018-02-06,1668
2018-02-07,1584
2018-02-08,1504
2018-02-09,1539
2018-02-10,1614
2018-02-11,1659
2018-02-12,1639
2018-02-13,1596
2018-02-14,1533
2018-02-15,1539
2018-02-16,1510
2018-02-17,1570
2018-02-18,1615
2018-02-19,1625
2018-02-20,1619
2018-02-21,1558
2018-02-22,1556
2018-02-23,1589
2018-02-24,1643
2018-02-25,1699
2018-02-26,1742
2018-02-27,1781
2018-02-28,1854
2018-03-01,1866
2018-03-02,1846
2018-03-03,1772
2018-03-04,1772
2018-03-05,1730
2018-03-06,1664
2018-03-07,1628
2018-03-08,1555
2018-03-09,1480
2018-03-10,1510
2018-03-11,1573
2018-03-12,1570
2018-03-13,1506
2018-03-14,1450
2018-03-15,1377
2018-03-16,1345
2018-03-17,1319
2018-03-18,1279
2018-03-20,1225
2018-03-21,1202
2018-03-22,1168
2018-03-23,1146
2018-03-24,1154
2018-03-25,1121
2018-03-26,1085
2018-03-27,1095
2018-03-28,1145
2018-03-29,1203
2018-03-30,1244
2018-03-31,1290
2018-04-01,1336
2018-04-02,1403
2018-04-03,1474
2018-04-04,1548
2018-04-05,1615
2018-04-06,1663
2018-04-07,1685
2018-04-08,1698
2018-04-09,1735
2018-04-10,1792
2018-04-11,1863
2018-04-12,1936
2018-04-13,1989
2018-04-14,2013
2018-04-15,2020
2018-04-16,2022
2018-04-17,2033
2018-04-18,2034
2018-04-19,2031
2018-04-20,1970
2018-04-21,1963
2018-04-22,1994
2018-04-23,1964
2018-04-24,1950
2018-04-25,1975
2018-04-26,1994
2018-04-27,1996
2018-04-28,2038
2018-04-29,2053
2018-04-30,2051
2018-05-01,2009
2018-05-02,1964
2018-05-03,1973
2018-05-04,1966
2018-05-05,1930
2018-05-06,1933
2018-05-07,1895
2018-05-08,1840
2018-05-09,1826
2018-05-10,1831
2018-05-11,1791
2018-05-12,1785
2018-05-13,1804
2018-05-14,1813
2018-05-15,1879
2018-05-16,1847
2018-05-17,1835
2018-05-18,1804
2018-05-19,1772
2018-05-20,1764
2018-05-21,1754
2018-05-22,1787
2018-05-23,1779
2018-05-24,1783
2018-05-25,1781
2018-05-26,1778
2018-05-27,1737
2018-05-28,1722
2018-05-29,1716
2018-05-30,1672
2018-05-31,1612
2018-06-01,1580
2018-06-02,1575
2018-06-03,1544
2018-06-04,1545
2018-06-05,1572
2018-06-06,1635
2018-06-07,1672
2018-06-08,1678
2018-06-09,1681
2018-06-10,1689
2018-06-11,1702
2018-06-12,1675
2018-06-13,1676
2018-06-14,1745
2018-06-15,1744
2018-06-16,1745
2018-06-17,1746
2018-06-18,1834
2018-06-19,1917
2018-06-20,1987
2018-06-21,2078
2018-06-22,2182
2018-06-23,2221
2018-06-24,2208
2018-06-25,2208
2018-06-26,2153
2018-06-27,2132
2018-06-28,2025
2018-06-29,1923
2018-06-30,1849
2018-07-01,1806
2018-07-02,1723
2018-07-03,1636
2018-07-04,1574
2018-07-05,1514
2018-07-06,1538
2018-07-07,1573
2018-07-08,1564
2018-07-09,1520
2018-07-10,1519
2018-07-11,1548
2018-07-12,1545
2018-07-13,1572
2018-07-14,1602
2018-07-15,1633
2018-07-16,1632
2018-07-17,1638
2018-07-18,1686
2018-07-19,1728
2018-07-20,1680
2018-07-21,1671
2018-07-22,1644
2018-07-23,1641
2018-07-24,1617
2018-07-25,1631
2018-07-26,1615
2018-07-27,1636
2018-07-28,1622
2018-07-29,1668
2018-07-30,1677
2018-07-31,1741
2018-08-01,1829
2018-08-02,1915
2018-08-03,2011
2018-08-04,2112
2018-08-05,2218
2018-08-06,2322
2018-08-07,2415
2018-08-08,2426
2018-08-09,2438
2018-08-10,2412
2018-08-11,2379
2018-08-12,2446
2018-08-14,2439
2018-08-16,2488
2018-08-17,2451
2018-08-18,2385
2018-08-19,2313
2018-08-20,2334
2018-08-21,2343
2018-08-22,2422
2018-08-23,2535
2018-08-24,2599
2018-08-25,2560
2018-08-26,2568
2018-08-27,2445
2018-08-28,2396
2018-08-29,2315
2018-08-30,2243
2018-08-31,2169
2018-09-01,2101
2018-09-02,2052
2018-09-03,2067
2018-09-04,2086
2018-09-05,2141
2018-09-06,2116
2018-09-07,2118
2018-09-08,2071
2018-09-09,2100
2018-09-10,2063
2018-09-11,2051
2018-09-12,2078
2018-09-13,2136
2018-09-14,2137
2018-09-15,2177
2018-09-16,2146
2018-09-17,2143
2018-09-18,2176
2018-09-19,2148
2018-09-20,2122
2018-09-21,2118
2018-09-22,2113
2018-09-23,2129
2018-09-24,2126
2018-09-25,2152
2018-09-26,2149
2018-09-27,2183
2018-09-28,2171
2018-09-29,2170
2018-09-30,2254
2018-10-01,2309
2018-10-02,2256
2018-10-03,2270
2018-10-04,2271
2018-10-05,2275
2018-10-06,2227
2018-10-07,2174
2018-10-08,2125
2018-10-09,2184
2018-10-10,2172
2018-10-11,2207
2018-10-12,2241
2018-10-13,2331
2018-10-14,2357
2018-10-15,2388
2018-10-16,2342
2018-10-17,2350
2018-10-18,2326
2018-10-19,2320
2018-10-20,2315
2018-10-21,2339
2018-10-22,2386
2018-10-23,2414
2018-10-24,2390
2018-10-25,2331
2018-10-26,2339
2018-10-27,2337
2018-10-28,2286
2018-10-29,2319
2018-10-30,2372
2018-10-31,2438
2018-11-01,2530
2018-11-03,2704
2018-11-04,2817
2018-11-05,2958
2018-11-06,3106
2018-11-07,3190
2018-11-08,3207
2018-11-09,3051
2018-11-10,2898
2018-11-11,2783
2018-11-12,2755
2018-11-13,2763
2018-11-15,2784
2018-11-16,2783
2018-11-17,2724
2018-11-18,2667
2018-11-19,2600
2018-11-20,2524
2018-11-21,2423
2018-11-22,2421
2018-11-23,2422
2018-11-24,2413
2018-11-25,2374
2018-11-26,2337
2018-11-27,2317
2018-11-28,2275
2018-11-29,2235
2018-12-01,2294
2018-12-02,2345
2018-12-03,2334
2018-12-04,2278
2018-12-05,2193
2018-12-07,2084
2018-12-09,2027
2018-12-10,1978
2018-12-11,1957
2018-12-12,1921
2018-12-13,1825
2018-12-14,1740
2018-12-15,1667
2018-12-16,1626
2018-12-17,1618
2018-12-18,1644
2018-12-19,1721
2018-12-20,1806
2018-12-21,1897
2018-12-22,1992
2018-12-23,2091
2018-12-24,2184
2018-12-25,2294
2018-12-26,2409
2018-12-27,2529
2018-12-28,2648
2018-12-29,2708
2018-12-30,2750
2018-12-31,2852
2019-01-01,2897
2019-01-02,2850
2019-01-03,2844
2019-01-04,2851
2019-01-05,2766
2019-01-06,2674
2019-01-08,2414
2019-01-10,2181
2019-01-11,2071
2019-01-12,1968
2019-01-13,1886
2019-01-14,1813
2019-01-15,1818
2019-01-16,1750
2019-01-17,1739
2019-01-18,1782
2019-01-19,1792
2019-01-20,1791
2019-01-21,1792
2019-01-22,1790
2019-01-23,1818
2019-01-24,1855
2019-01-25,1877
2019-01-26,1873
2019-01-27,1900
2019-01-28,1921
2019-01-29,1932
2019-01-30,1955
2019-01-31,1921
2019-02-01,1937
2019-02-02,1911
2019-02-03,1881
2019-02-04,1822
2019-02-05,1805
2019-02-06,1787
2019-02-07,1772
2019-02-08,1752
2019-02-09,1732
2019-02-10,1690
2019-02-11,1648
2019-02-12,1614
2019-02-13,1613
2019-02-14,1610
2019-02-15,1603
2019-02-16,1632
2019-02-17,1681
2019-02-18,1704
2019-02-19,1750
2019-02-20,1773
2019-02-21,1780
2019-02-22,1775
2019-02-23,1807
2019-02-24,1788
2019-02-25,1793
2019-02-26,1789
2019-02-27,1776
2019-02-28,1778
2019-03-01,1810
2019-03-02,1811
2019-03-03,1796
2019-03-04,1793
2019-03-05,1757
2019-03-06,1742
2019-03-07,1688
2019-03-08,1685
2019-03-09,1654
2019-03-10,1641
2019-03-11,1611
2019-03-12,1617
2019-03-13,1654
2019-03-14,1702
2019-03-15,1731
2019-03-16,1760
2019-03-17,1818
2019-03-18,1837
2019-03-19,1850
