date_obj,Unfired%20plant%20pot price
2017-09-27,639
2017-09-28,639
2017-09-29,639
2017-09-30,639
2017-10-01,639
2017-10-02,639
2017-10-03,639
2017-10-04,639
2017-10-05,639
2017-10-06,639
2017-10-07,639
2017-10-08,639
2017-10-09,639
2017-10-10,639
2017-10-11,639
2017-10-12,639
2017-10-13,617
2017-10-14,617
2017-10-15,617
2017-10-16,617
2017-10-17,617
2017-10-18,617
2017-10-19,617
2017-10-20,617
2017-10-21,617
2017-10-22,617
2017-10-23,617
2017-10-24,617
2017-10-25,617
2017-10-26,617
2017-10-27,617
2017-10-28,617
2017-10-29,617
2017-10-30,617
2017-10-31,617
2017-11-01,617
2017-11-02,617
2017-11-03,617
2017-11-04,617
2017-11-05,617
2017-11-06,617
2017-11-07,617
2017-11-08,617
2017-11-09,617
2017-11-10,617
2017-11-11,617
2017-11-12,617
2017-11-13,617
2017-11-14,617
2017-11-15,617
2017-11-16,617
2017-11-17,617
2017-11-18,617
2017-11-19,617
2017-11-20,617
2017-11-21,617
2017-11-22,617
2017-11-23,617
2017-11-24,617
2017-11-25,617
2017-11-26,617
2017-11-27,617
2017-11-28,617
2017-11-29,617
2017-11-30,617
2017-12-01,617
2017-12-02,617
2017-12-03,617
2017-12-04,617
2017-12-05,617
2017-12-06,617
2017-12-07,617
2017-12-08,617
2017-12-09,617
2017-12-10,617
2017-12-11,617
2017-12-12,617
2017-12-13,617
2017-12-14,617
2017-12-15,617
2017-12-16,617
2017-12-17,617
2017-12-18,617
2017-12-19,617
2017-12-20,617
2017-12-21,617
2017-12-22,617
2017-12-23,617
2017-12-24,617
2017-12-25,617
2017-12-26,617
2017-12-27,617
2017-12-28,617
2017-12-29,617
2017-12-30,617
2017-12-31,617
2018-01-01,617
2018-01-02,617
2018-01-03,617
2018-01-04,617
2018-01-05,617
2018-01-06,617
2018-01-07,617
2018-01-08,617
2018-01-09,617
2018-01-10,617
2018-01-11,617
2018-01-12,617
2018-01-13,617
2018-01-14,617
2018-01-15,617
2018-01-16,617
2018-01-17,617
2018-01-18,617
2018-01-19,617
2018-01-20,617
2018-01-21,617
2018-01-22,617
2018-01-23,617
2018-01-24,600
2018-01-25,600
2018-01-26,600
2018-01-27,600
2018-01-28,600
2018-01-29,600
2018-01-30,600
2018-02-01,600
2018-02-02,600
2018-02-03,600
2018-02-04,600
2018-02-05,600
2018-02-06,600
2018-02-07,600
2018-02-08,600
2018-02-09,600
2018-02-10,600
2018-02-11,600
2018-02-12,600
2018-02-13,600
2018-02-14,600
2018-02-15,600
2018-02-16,600
2018-02-17,600
2018-02-18,600
2018-02-19,600
2018-02-20,600
2018-02-21,600
2018-02-22,600
2018-02-23,600
2018-02-24,600
2018-02-25,600
2018-02-26,600
2018-02-27,600
2018-02-28,600
2018-03-01,600
2018-03-02,600
2018-03-03,600
2018-03-04,600
2018-03-05,600
2018-03-06,600
2018-03-07,600
2018-03-08,600
2018-03-09,590
2018-03-10,590
2018-03-11,590
2018-03-12,590
2018-03-13,590
2018-03-14,590
2018-03-15,590
2018-03-16,590
2018-03-17,590
2018-03-18,590
2018-03-19,590
2018-03-20,590
2018-03-21,590
2018-03-23,590
2018-03-24,590
2018-03-26,590
2018-03-27,590
2018-03-28,590
2018-03-29,590
2018-03-30,590
2018-03-31,590
2018-04-01,590
2018-04-02,590
2018-04-03,590
2018-04-04,590
2018-04-05,590
2018-04-06,590
2018-04-08,590
2018-04-09,590
2018-04-10,590
2018-04-11,590
2018-04-12,590
2018-04-13,590
2018-04-14,590
2018-04-16,590
2018-04-17,590
2018-04-18,590
2018-04-19,590
2018-04-20,590
2018-04-21,590
2018-04-22,590
2018-04-23,590
2018-04-24,590
2018-04-25,590
2018-04-26,590
2018-04-27,590
2018-04-28,590
2018-04-29,590
2018-04-30,590
2018-05-02,590
2018-05-03,590
2018-05-04,590
2018-05-05,590
2018-05-06,590
2018-05-07,590
2018-05-08,590
2018-05-09,590
2018-05-10,590
2018-05-11,561
2018-05-12,561
2018-05-13,561
2018-05-14,561
2018-05-15,561
2018-05-16,561
2018-05-17,561
2018-05-18,561
2018-05-19,561
2018-05-20,561
2018-05-21,561
2018-05-22,561
2018-05-23,561
2018-05-24,561
2018-05-25,561
2018-05-26,561
2018-05-27,561
2018-05-28,561
2018-05-29,561
2018-05-30,561
2018-05-31,561
2018-06-01,561
2018-06-02,561
2018-06-03,561
2018-06-04,561
2018-06-05,561
2018-06-06,561
2018-06-07,561
2018-06-08,561
2018-06-09,561
2018-06-10,561
2018-06-11,561
2018-06-12,561
2018-06-13,561
2018-06-14,561
2018-06-15,561
2018-06-16,561
2018-06-17,561
2018-06-18,561
2018-06-19,561
2018-06-20,561
2018-06-21,561
2018-06-22,561
2018-06-23,561
2018-06-24,561
2018-06-25,561
2018-06-26,561
2018-06-27,561
2018-06-28,561
2018-06-29,561
2018-06-30,561
2018-07-01,561
2018-07-02,561
2018-07-03,561
2018-07-04,536
2018-07-05,536
2018-07-06,536
2018-07-07,536
2018-07-08,536
2018-07-09,536
2018-07-10,536
2018-07-11,536
2018-07-12,536
2018-07-13,536
2018-07-14,536
2018-07-15,536
2018-07-16,536
2018-07-17,536
2018-07-18,536
2018-07-19,536
2018-07-20,536
2018-07-21,536
2018-07-22,536
2018-07-23,536
2018-07-24,536
2018-07-25,536
2018-07-26,536
2018-07-27,536
2018-07-28,536
2018-07-29,536
2018-07-30,536
2018-07-31,536
2018-08-01,536
2018-08-02,536
2018-08-03,536
2018-08-04,536
2018-08-05,536
2018-08-06,536
2018-08-07,536
2018-08-08,536
2018-08-09,536
2018-08-10,536
2018-08-11,536
2018-08-12,512
2018-08-14,512
2018-08-16,512
2018-08-17,512
2018-08-18,512
2018-08-19,512
2018-08-20,512
2018-08-21,512
2018-08-22,512
2018-08-23,512
2018-08-24,512
2018-08-25,512
2018-08-26,512
2018-08-27,512
2018-08-28,512
2018-08-29,512
2018-08-30,512
2018-08-31,512
2018-09-01,512
2018-09-02,512
2018-09-03,512
2018-09-04,512
2018-09-05,512
2018-09-06,512
2018-09-07,512
2018-09-08,512
2018-09-09,512
2018-09-10,512
2018-09-11,512
2018-09-12,512
2018-09-13,488
2018-09-14,488
2018-09-15,488
2018-09-16,488
2018-09-17,488
2018-09-18,488
2018-09-19,488
2018-09-20,488
2018-09-21,488
2018-09-22,488
2018-09-23,488
2018-09-24,488
2018-09-25,488
2018-09-26,488
2018-09-27,488
2018-09-28,488
2018-09-29,488
2018-09-30,488
2018-10-02,488
2018-10-03,488
2018-10-04,488
2018-10-05,488
2018-10-06,488
2018-10-07,488
2018-10-08,488
2018-10-09,488
2018-10-10,465
2018-10-11,465
2018-10-12,465
2018-10-13,465
2018-10-14,465
2018-10-15,465
2018-10-16,465
2018-10-17,465
2018-10-18,465
2018-10-19,465
2018-10-20,465
2018-10-21,465
2018-10-22,465
2018-10-23,465
2018-10-24,465
2018-10-25,465
2018-10-26,465
2018-10-27,465
2018-10-28,465
2018-10-29,465
2018-10-30,465
2018-10-31,465
2018-11-01,465
2018-11-03,465
2018-11-04,465
2018-11-05,465
2018-11-06,465
2018-11-07,442
2018-11-08,442
2018-11-09,442
2018-11-10,442
2018-11-11,442
2018-11-12,442
2018-11-13,442
2018-11-14,442
2018-11-15,442
2018-11-16,442
2018-11-17,442
2018-11-18,442
2018-11-19,442
2018-11-20,442
2018-11-21,421
2018-11-22,421
2018-11-23,421
2018-11-24,421
2018-11-25,421
2018-11-26,421
2018-11-27,421
2018-11-28,421
2018-11-29,421
2018-12-01,421
2018-12-02,421
2018-12-03,421
2018-12-04,421
2018-12-05,399
2018-12-07,399
2018-12-09,399
2018-12-10,399
2018-12-11,399
2018-12-12,399
2018-12-13,399
2018-12-14,399
2018-12-15,399
2018-12-16,381
2018-12-17,381
2018-12-18,381
2018-12-19,381
2018-12-20,381
2018-12-21,381
2018-12-22,381
2018-12-23,381
2018-12-24,381
2018-12-25,381
2018-12-26,381
2018-12-27,381
2018-12-28,381
2018-12-29,370
2018-12-30,370
2018-12-31,370
2019-01-01,370
2019-01-02,370
2019-01-03,370
2019-01-04,370
2019-01-05,370
2019-01-06,370
2019-01-08,352
2019-01-10,352
2019-01-11,352
