date_obj,Holy%20sandals price
2018-03-24,392699
2018-03-25,385657
2018-03-26,386602
2018-03-27,403497
2018-03-28,416494
2018-03-29,428435
2018-03-30,431393
2018-03-31,430991
2018-04-01,438754
2018-04-02,435482
2018-04-03,416922
2018-04-04,410051
2018-04-05,414316
2018-04-06,419556
2018-04-07,426178
2018-04-08,430542
2018-04-09,426102
2018-04-10,431302
2018-04-11,445923
2018-04-12,450067
2018-04-13,460244
2018-04-14,467583
2018-04-15,469463
2018-04-16,469366
2018-04-17,469341
2018-04-18,470848
2018-04-19,463859
2018-04-20,463872
2018-04-21,466568
2018-04-22,473452
2018-04-23,474030
2018-04-24,460794
2018-04-25,459883
2018-04-26,446731
2018-04-27,430606
2018-04-28,429508
2018-04-29,437651
2018-04-30,448344
2018-05-01,453209
2018-05-03,470728
2018-05-04,450099
2018-05-05,439493
2018-05-06,432526
2018-05-07,431647
2018-05-08,435238
2018-05-09,432820
2018-05-10,428439
2018-05-11,426389
2018-05-12,427942
2018-05-13,436695
2018-05-14,441222
2018-05-15,436214
2018-05-16,436068
2018-05-17,430384
2018-05-18,424528
2018-05-19,421695
2018-05-20,419610
2018-05-21,413815
2018-05-22,410518
2018-05-23,411249
2018-05-24,424688
2018-05-25,430358
2018-05-26,424318
2018-05-27,420470
2018-05-28,423617
2018-05-29,429862
2018-05-30,425242
2018-05-31,422699
2018-06-01,421769
2018-06-02,424627
2018-06-03,417720
2018-06-04,420421
2018-06-05,423067
2018-06-06,417757
2018-06-07,410036
2018-06-08,404498
2018-06-09,405725
2018-06-10,406710
2018-06-11,404656
2018-06-12,406174
2018-06-13,406137
2018-06-14,409339
2018-06-15,413169
2018-06-16,411294
2018-06-17,416130
2018-06-18,408059
2018-06-19,412460
2018-06-20,412745
2018-06-21,414027
2018-06-22,416879
2018-06-23,420146
2018-06-24,420378
2018-06-25,415973
2018-06-26,419820
2018-06-27,410052
2018-06-28,414788
2018-06-29,414785
2018-06-30,411691
2018-07-01,407608
2018-07-02,408070
2018-07-03,410357
2018-07-04,412973
2018-07-05,413090
2018-07-06,414041
2018-07-07,414383
2018-07-08,415393
2018-07-09,408838
2018-07-10,414725
2018-07-11,418553
2018-07-12,424681
2018-07-13,441577
2018-07-14,450443
2018-07-15,454869
2018-07-16,458863
2018-07-17,463603
2018-07-18,467688
2018-07-19,466141
2018-07-20,463548
2018-07-21,466776
2018-07-22,462708
2018-07-23,455148
2018-07-24,448100
2018-07-25,440737
2018-07-26,433535
2018-07-27,422818
2018-07-28,418101
2018-07-29,421896
2018-07-30,426459
2018-07-31,423640
2018-08-01,417751
2018-08-02,422197
2018-08-03,420521
2018-08-04,424823
2018-08-05,429991
2018-08-06,432541
2018-08-07,427549
2018-08-08,433620
2018-08-09,433168
2018-08-10,430647
2018-08-11,428590
2018-08-12,429116
2018-08-14,434255
2018-08-16,432022
2018-08-17,434788
2018-08-18,442189
2018-08-19,446990
2018-08-20,457039
2018-08-21,458735
2018-08-22,463737
2018-08-23,466630
2018-08-24,459276
2018-08-25,450462
2018-08-26,444532
2018-08-27,432828
2018-08-28,428254
2018-08-29,424849
2018-08-30,420841
2018-08-31,430525
2018-09-01,438663
2018-09-02,451289
2018-09-03,458581
2018-09-04,462528
2018-09-05,455533
2018-09-06,457466
2018-09-07,447745
2018-09-08,447141
2018-09-09,448281
2018-09-10,447013
2018-09-11,451487
2018-09-12,452145
2018-09-13,446528
2018-09-14,451241
2018-09-15,450863
2018-09-16,449731
2018-09-17,451584
2018-09-18,453361
2018-09-19,457591
2018-09-20,452813
2018-09-21,453819
2018-09-22,452676
2018-09-23,451369
2018-09-24,454034
2018-09-25,454265
2018-09-26,454352
2018-09-27,455923
2018-09-28,457267
2018-09-29,455628
2018-09-30,455340
2018-10-01,456199
2018-10-02,455918
2018-10-03,457704
2018-10-04,457681
2018-10-05,457090
2018-10-06,470767
2018-10-07,485675
2018-10-08,504114
2018-10-09,517597
2018-10-10,532636
2018-10-11,540815
2018-10-12,567153
2018-10-13,593586
2018-10-14,617674
2018-10-15,646810
