date_obj,Ruby price
2018-11-01,1067
2018-11-03,1080
2018-11-04,1098
2018-11-05,1116
2018-11-06,1138
2018-11-07,1156
2018-11-08,1213
2018-11-09,1263
2018-11-10,1217
2018-11-11,1195
2018-11-12,1175
2018-11-13,1151
2018-11-14,1133
2018-11-15,1129
2018-11-16,1121
2018-11-17,1114
2018-11-19,1101
2018-11-20,1100
2018-11-21,1127
2018-11-22,1118
2018-11-23,1120
2018-11-24,1095
2018-11-25,1086
2018-11-26,1090
2018-11-27,1094
2018-11-28,1107
2018-11-29,1094
2018-12-01,1084
2018-12-02,1087
2018-12-03,1089
2018-12-04,1101
2018-12-05,1096
2018-12-07,1075
2018-12-09,1100
2018-12-11,1113
2018-12-12,1116
2018-12-13,1109
2018-12-14,1088
2018-12-15,1078
2018-12-16,1085
2018-12-17,1093
2018-12-18,1093
2018-12-19,1091
2018-12-20,1085
2018-12-21,1101
2018-12-22,1116
2018-12-23,1096
2018-12-24,1093
2018-12-25,1094
2018-12-26,1098
2018-12-27,1110
2018-12-28,1105
2018-12-29,1121
2018-12-30,1126
2018-12-31,1110
2019-01-01,1092
2019-01-02,1087
2019-01-03,1094
2019-01-04,1114
2019-01-05,1109
2019-01-06,1100
2019-01-08,1100
2019-01-10,1117
2019-01-11,1093
2019-01-12,1091
2019-01-13,1074
2019-01-14,1063
2019-01-15,1072
2019-01-16,1077
2019-01-17,1076
2019-01-18,1078
2019-01-19,1050
2019-01-20,1046
2019-01-21,1052
2019-01-22,1071
2019-01-23,1077
2019-01-24,1074
2019-01-25,1058
2019-01-26,1042
2019-01-27,1029
2019-01-28,1024
2019-01-29,1015
2019-01-30,1010
2019-01-31,1013
2019-02-01,1028
2019-02-02,1037
2019-02-03,1046
2019-02-04,1048
2019-02-05,1040
2019-02-06,1027
2019-02-07,1031
2019-02-08,1044
2019-02-09,1052
2019-02-10,1062
2019-02-11,1053
2019-02-12,1051
2019-02-13,1041
2019-02-14,1038
2019-02-15,1026
2019-02-16,1020
2019-02-17,1016
2019-02-18,1015
2019-02-19,1014
2019-02-20,1017
2019-02-21,1018
