date_obj,Light%20trousers price
2017-07-06,1714682
2017-07-07,1714682
2017-07-08,1714682
2017-07-13,1714682
2017-07-14,1714682
2017-07-15,1714682
2017-07-16,1714682
2017-07-17,1714682
2017-07-18,1714682
2017-07-19,1714682
2017-07-20,1714682
2017-07-21,1714682
2017-07-22,1714682
2017-07-23,1714682
2017-07-24,1714682
2017-07-25,1714682
2017-07-26,1714682
2017-07-27,1714682
2017-07-28,1714682
2017-07-29,1714682
2017-07-30,1714682
2017-07-31,1714682
2017-08-01,1714682
2017-08-02,1714682
2017-08-03,1714682
2017-08-04,1714682
2017-08-05,1714682
2017-08-06,1714682
2017-08-09,1714682
2017-08-10,1714682
2017-08-11,1714682
2017-08-12,1633236
2017-08-13,1633236
2017-08-14,1633236
2017-08-15,1633236
2017-08-17,1633236
2017-08-18,1633236
2017-08-19,1633236
2017-08-20,1633236
2017-08-21,1633236
2017-08-22,1633236
2017-08-23,1633236
2017-08-24,1633236
2017-08-25,1633236
2017-08-26,1633236
2017-08-27,1633236
2017-08-28,1633236
2017-08-29,1633236
2017-08-30,1633236
2017-08-31,1633236
2017-09-01,1633236
2017-09-02,1633236
2017-09-03,1633236
2017-09-04,1633236
2017-09-05,1633236
2017-09-06,1633236
2017-09-07,1633236
2017-09-08,1633236
2017-09-09,1633236
2017-09-10,1633236
2017-09-11,1633236
2017-09-12,1633236
2017-09-13,1633236
2017-09-14,1633236
2017-09-15,1633236
2017-09-16,1633236
2017-09-17,1633236
2017-09-19,1633236
2017-09-20,1633236
2017-09-21,1633236
2017-09-22,1633236
2017-09-23,1633236
2017-09-24,1633236
2017-09-25,1633236
2017-09-26,1633236
2017-09-27,1633236
2017-09-28,1633236
2017-09-29,1633236
2017-09-30,1633236
2017-10-01,1633236
2017-10-02,1633236
2017-10-03,1633236
2017-10-04,1633236
2017-10-05,1633236
2017-10-06,1633236
2017-10-07,1552201
2017-10-08,1552201
2017-10-09,1552201
2017-10-10,1552201
2017-10-11,1552201
2017-10-12,1552201
2017-10-13,1552201
2017-10-14,1552201
2017-10-15,1552201
2017-10-16,1552201
2017-10-17,1552201
2017-10-18,1552201
2017-10-19,1552201
2017-10-20,1552201
2017-10-21,1552201
2017-10-22,1552201
2017-10-23,1552201
2017-10-24,1552201
2017-10-25,1552201
2017-10-26,1552201
2017-10-27,1552201
2017-10-28,1552201
2017-10-29,1552201
2017-10-30,1552201
2017-10-31,1552201
2017-11-01,1552201
2017-11-02,1552201
2017-11-03,1552201
2017-11-04,1552201
2017-11-05,1552201
2017-11-06,1552201
2017-11-07,1552201
2017-11-08,1552201
2017-11-09,1552201
2017-11-10,1552201
2017-11-11,1552201
2017-11-12,1552201
2017-11-13,1552201
2017-11-14,1552201
2017-11-15,1552201
2017-11-16,1552201
2017-11-17,1552201
2017-11-18,1474980
2017-11-19,1474980
2017-11-20,1474980
2017-11-21,1474980
2017-11-22,1474980
2017-11-23,1474980
2017-11-24,1474980
2017-11-25,1474980
2017-11-26,1474980
2017-11-27,1474980
2017-11-28,1474980
2017-11-29,1474980
2017-11-30,1474980
2017-12-01,1474980
2017-12-02,1474980
2017-12-03,1474980
2017-12-04,1474980
2017-12-05,1474980
2017-12-06,1474980
2017-12-07,1474980
2017-12-08,1474980
2017-12-09,1474980
2017-12-10,1474980
2017-12-11,1474980
2017-12-12,1474980
2017-12-14,1474980
2017-12-15,1474980
2017-12-16,1474980
2017-12-17,1474980
2017-12-18,1474980
2017-12-19,1474980
2017-12-20,1474980
2017-12-21,1474980
2017-12-22,1474980
2017-12-23,1474980
2017-12-24,1474980
2017-12-25,1474980
2017-12-26,1474980
