date_obj,Maple%20blackjack(d) price
2019-01-25,3820
2019-01-26,3820
2019-01-27,3935
2019-01-28,3935
2019-01-29,3880
2019-01-30,3880
2019-01-31,3949
2019-02-01,3949
2019-02-02,4119
2019-02-03,4119
2019-02-04,4233
2019-02-05,4233
2019-02-06,4218
2019-02-07,4127
2019-02-08,4127
2019-02-09,4092
2019-02-10,4092
2019-02-11,4038
2019-02-12,4038
2019-02-13,3943
2019-02-14,3943
2019-02-15,3943
2019-02-16,3866
2019-02-17,3866
2019-02-18,3866
2019-02-19,3794
2019-02-20,3794
2019-02-21,3794
2019-02-22,3633
2019-02-23,3633
2019-02-24,3633
2019-02-25,3491
2019-02-26,3491
2019-02-27,3491
2019-02-28,3491
2019-03-01,3491
2019-03-02,3338
2019-03-03,3338
2019-03-04,3380
2019-03-05,3380
2019-03-06,3380
2019-03-07,3314
2019-03-08,3314
2019-03-09,3314
2019-03-10,3373
2019-03-11,3373
2019-03-12,3373
2019-03-13,3471
2019-03-14,3471
2019-03-15,3471
2019-03-16,3395
2019-03-17,3395
2019-03-18,3479
2019-03-19,3479
2019-03-20,3479
2019-03-21,3500
2019-03-22,3500
2019-03-23,3600
2019-03-24,3600
2019-03-25,3600
2019-03-26,3713
2019-03-27,3713
2019-03-28,3713
2019-03-29,3713
2019-03-30,3794
2019-03-31,3794
2019-04-01,3794
2019-04-02,3863
2019-04-03,3863
2019-04-04,3863
2019-04-05,3746
2019-04-06,3746
2019-04-07,3746
2019-04-08,3914
2019-04-09,3914
2019-04-10,3914
2019-04-11,4061
2019-04-12,4061
2019-04-13,4061
2019-04-14,4162
2019-04-15,4162
2019-04-16,4162
2019-04-17,4307
2019-04-18,4307
2019-04-19,4307
2019-04-20,4339
2019-04-21,4339
2019-04-22,4339
2019-04-23,4283
2019-04-24,4283
2019-04-25,4283
2019-04-26,4068
2019-04-27,4068
2019-04-28,4068
2019-04-29,3864
2019-04-30,3864
2019-05-01,3864
2019-05-02,3713
2019-05-03,3713
2019-05-04,3712
2019-05-05,3712
2019-05-06,3712
2019-05-07,3686
2019-05-08,3686
2019-05-09,3686
2019-05-10,3686
2019-05-11,3788
2019-05-12,3788
2019-05-13,3788
2019-05-14,3880
2019-05-15,3880
2019-05-16,3880
2019-05-17,3880
2019-05-18,3981
2019-05-19,3981
2019-05-20,3981
2019-05-21,3790
2019-05-22,3790
2019-05-23,3790
2019-05-24,3699
2019-05-25,3699
2019-05-26,3699
2019-05-27,3743
2019-05-28,3743
2019-05-29,3743
2019-05-30,3642
2019-05-31,3642
2019-06-01,3642
2019-06-02,3472
2019-06-03,3472
2019-06-04,3592
2019-06-05,3592
2019-06-06,3592
2019-06-07,3648
2019-06-08,3648
2019-06-09,3627
2019-06-10,3627
2019-06-11,3627
2019-06-12,3627
2019-06-13,3739
2019-06-14,3739
2019-06-15,3739
2019-06-16,3684
2019-06-17,3684
2019-06-18,3684
2019-06-19,3750
2019-06-20,3750
2019-06-21,3750
2019-06-22,3750
2019-06-23,3804
2019-06-24,3804
2019-06-25,3804
2019-06-26,3748
2019-06-27,3748
2019-06-28,3748
2019-06-29,3702
2019-06-30,3702
2019-07-01,3702
2019-07-02,3845
2019-07-03,3845
2019-07-04,3845
2019-07-05,3884
2019-07-06,3884
2019-07-07,3884
2019-07-08,3894
2019-07-09,3894
2019-07-10,3894
2019-07-11,3923
2019-07-12,3923
2019-07-13,3923
2019-07-14,3973
2019-07-15,3973
2019-07-16,3973
2019-07-17,3973
2019-07-18,4048
2019-07-19,4048
2019-07-20,4048
2019-07-21,3942
2019-07-22,3942
2019-07-23,3942
2019-07-24,3753
2019-07-25,3753
2019-07-26,3753
2019-07-27,3753
2019-07-28,3709
2019-07-29,3709
2019-07-30,3709
2019-07-31,3846
2019-08-01,3846
2019-08-02,3846
2019-08-03,3873
2019-08-04,3873
2019-08-05,3873
2019-08-06,4000
2019-08-07,4000
2019-08-08,4000
2019-08-09,4000
2019-08-10,4192
2019-08-11,4192
2019-08-12,4192
2019-08-13,4397
2019-08-14,4397
2019-08-15,4397
2019-08-16,4496
2019-08-17,4496
2019-08-18,4496
2019-08-19,4283
2019-08-20,4283
2019-08-21,4283
2019-08-22,4068
2019-08-23,4068
2019-08-24,4068
2019-08-24,4068
2019-08-25,3895
2019-08-25,3895
2019-08-26,3895
2019-08-26,3895
2019-08-27,3895
2019-08-27,3895
2019-08-28,3700
2019-08-29,3700
2019-08-30,3700
2019-08-31,3515
2019-09-01,3515
2019-09-02,3515
2019-09-03,3339
2019-09-04,3339
2019-09-05,3339
2019-09-06,3339
2019-09-07,3172
2019-09-08,3172
2019-09-09,3172
2019-09-10,3172
