date_obj,Tribal%20top%20(blue) price
2017-11-26,5672
2017-11-27,5672
2017-11-28,5672
2017-11-29,5672
2017-11-30,5567
2017-12-01,5567
2017-12-02,5567
2017-12-03,5567
2017-12-04,5567
2017-12-05,5567
2017-12-06,5567
2017-12-07,5567
2017-12-08,5567
2017-12-09,5567
2017-12-10,5696
2017-12-11,5696
2017-12-12,5696
2017-12-13,5696
2017-12-14,5696
2017-12-15,5696
2017-12-16,5696
2017-12-17,5696
2017-12-18,5696
2017-12-19,5696
2017-12-20,5696
2017-12-21,5696
2017-12-22,5682
2017-12-23,5682
2017-12-24,5682
2017-12-25,5682
2017-12-26,5682
2017-12-27,5682
2017-12-28,5682
2017-12-29,5682
2017-12-30,5682
2017-12-31,5682
2018-01-01,5682
2018-01-02,5533
2018-01-03,5533
2018-01-04,5533
2018-01-05,5533
2018-01-06,5533
2018-01-07,5533
2018-01-08,5533
2018-01-09,5533
2018-01-10,5533
2018-01-11,5533
2018-01-12,5546
2018-01-13,5546
2018-01-14,5546
2018-01-15,5546
2018-01-16,5546
2018-01-17,5546
2018-01-18,5546
2018-01-19,5546
2018-01-20,5546
2018-01-21,5546
2018-01-22,5574
2018-01-23,5574
2018-01-24,5574
2018-01-25,5574
2018-01-26,5574
2018-01-27,5574
2018-01-28,5438
2018-01-29,5438
2018-01-30,5438
2018-02-01,5438
2018-02-02,5409
2018-02-03,5409
2018-02-04,5409
2018-02-05,5409
2018-02-06,5409
2018-02-07,5521
2018-02-08,5521
2018-02-09,5521
2018-02-10,5521
2018-02-11,5521
2018-02-12,5480
2018-02-13,5480
2018-02-14,5480
2018-02-15,5480
2018-02-16,5480
2018-02-17,5480
2018-02-18,5480
2018-02-19,5571
2018-02-20,5571
2018-02-21,5571
2018-02-22,5571
2018-02-23,5571
2018-02-24,5469
2018-02-25,5469
2018-02-26,5469
2018-02-27,5469
2018-02-28,5365
2018-03-01,5365
2018-03-02,5365
2018-03-03,5365
2018-03-04,5365
2018-03-05,5290
2018-03-06,5290
2018-03-07,5290
2018-03-08,5290
2018-03-09,5290
2018-03-10,5386
2018-03-11,5386
2018-03-12,5386
2018-03-13,5386
2018-03-14,5386
2018-03-15,5386
2018-03-16,5247
2018-03-17,5247
2018-03-18,5247
2018-03-19,5247
2018-03-20,5112
2018-03-21,5112
2018-03-23,5112
2018-03-24,5112
2018-03-26,5112
2018-03-27,5058
2018-03-28,5058
2018-03-29,5058
2018-03-30,5058
2018-03-31,5058
2018-04-01,5058
2018-04-02,5058
2018-04-03,5070
2018-04-04,5070
2018-04-05,5070
2018-04-06,5070
2018-04-08,5070
2018-04-09,5258
2018-04-10,5258
2018-04-11,5258
2018-04-12,5258
2018-04-13,5258
2018-04-14,5258
2018-04-16,5047
2018-04-17,5047
2018-04-18,5047
2018-04-19,5047
2018-04-20,5047
2018-04-21,4954
2018-04-22,4954
2018-04-23,4954
2018-04-24,4954
2018-04-25,4954
2018-04-26,4954
2018-04-27,4954
2018-04-28,4767
2018-04-29,4767
2018-04-30,4767
2018-05-01,4767
2018-05-02,4767
2018-05-03,4767
2018-05-04,4763
