date_obj,Earth%20talisman price
2018-03-14,184
2018-03-15,181
2018-03-16,180
2018-03-17,184
2018-03-18,192
2018-03-20,198
2018-03-21,200
2018-03-23,201
2018-03-24,207
2018-03-25,211
2018-03-26,222
2018-03-27,231
2018-03-28,232
2018-03-29,223
2018-03-30,227
2018-03-31,231
2018-04-01,229
2018-04-02,232
2018-04-03,243
2018-04-04,254
2018-04-05,267
2018-04-06,281
2018-04-07,296
2018-04-08,295
2018-04-09,300
2018-04-10,291
2018-04-11,276
2018-04-12,262
2018-04-13,248
2018-04-14,238
2018-04-15,233
2018-04-16,224
2018-04-17,215
2018-04-18,208
2018-04-19,203
2018-04-20,193
2018-04-21,184
2018-04-22,177
2018-04-23,174
2018-04-24,172
2018-04-25,176
2018-04-26,177
2018-04-27,176
2018-04-28,181
2018-04-29,187
2018-04-30,181
2018-05-01,173
2018-05-03,178
2018-05-04,183
2018-05-05,182
2018-05-07,179
2018-05-08,181
2018-05-09,188
2018-05-10,191
2018-05-11,186
2018-05-12,182
2018-05-13,179
2018-05-14,179
2018-05-15,176
2018-05-16,177
2018-05-17,176
2018-05-18,177
2018-05-19,177
2018-05-20,177
2018-05-21,174
2018-05-22,177
2018-05-23,175
2018-05-24,176
2018-05-25,175
2018-05-26,175
2018-05-27,178
2018-05-28,176
2018-05-29,176
2018-05-30,175
2018-05-31,177
2018-06-01,179
2018-06-02,181
2018-06-03,176
2018-06-04,173
2018-06-05,174
2018-06-06,178
2018-06-07,181
2018-06-08,180
2018-06-09,177
2018-06-10,182
2018-06-11,187
2018-06-12,188
2018-06-13,188
2018-06-14,196
2018-06-15,203
2018-06-16,209
2018-06-17,217
2018-06-18,228
2018-06-19,240
2018-06-20,248
2018-06-22,240
2018-06-23,236
2018-06-24,232
2018-06-25,230
2018-06-26,230
2018-06-27,237
2018-06-28,243
2018-06-29,253
2018-06-30,264
2018-07-01,276
2018-07-02,281
2018-07-03,287
2018-07-04,278
2018-07-05,265
2018-07-06,253
2018-07-07,242
2018-07-08,237
2018-07-09,235
2018-07-10,233
2018-07-11,236
2018-07-12,231
2018-07-13,225
2018-07-14,224
2018-07-15,217
2018-07-16,215
2018-07-17,210
2018-07-18,204
2018-07-19,197
2018-07-20,193
2018-07-21,190
2018-07-22,192
2018-07-23,199
2018-07-24,209
2018-07-25,220
2018-07-26,231
2018-07-27,237
2018-07-28,242
2018-07-29,230
2018-07-30,222
2018-07-31,220
2018-08-01,219
2018-08-02,222
2018-08-03,223
2018-08-04,228
2018-08-05,224
2018-08-06,231
2018-08-07,228
2018-08-08,223
2018-08-09,222
2018-08-10,214
2018-08-11,209
2018-08-12,209
2018-08-14,211
2018-08-16,228
2018-08-17,227
2018-08-18,221
2018-08-19,223
2018-08-20,222
2018-08-21,211
2018-08-22,208
2018-08-23,203
2018-08-24,194
2018-08-25,186
2018-08-26,189
2018-08-27,195
2018-08-28,201
2018-08-29,201
2018-08-30,208
2018-08-31,206
2018-09-01,202
2018-09-02,206
2018-09-03,207
2018-09-04,208
2018-09-05,206
2018-09-06,208
2018-09-07,209
2018-09-08,204
2018-09-09,197
2018-09-10,199
2018-09-11,208
2018-09-12,211
2018-09-13,208
2018-09-14,205
2018-09-15,204
2018-09-16,203
2018-09-17,202
2018-09-18,203
2018-09-19,204
2018-09-20,202
2018-09-21,196
2018-09-22,197
2018-09-23,196
2018-09-24,205
2018-09-25,203
2018-09-26,207
2018-09-27,208
2018-09-28,207
2018-09-29,203
2018-09-30,205
2018-10-01,204
2018-10-02,208
2018-10-03,215
2018-10-04,224
2018-10-05,235
2018-10-06,245
2018-10-07,258
2018-10-08,255
2018-10-09,242
2018-10-10,234
2018-10-11,229
2018-10-12,228
2018-10-13,226
2018-10-14,228
2018-10-15,235
2018-10-16,231
2018-10-17,241
2018-10-18,247
2018-10-19,251
2018-10-20,252
2018-10-21,261
2018-10-22,275
2018-10-23,280
2018-10-24,280
2018-10-25,288
2018-10-26,287
2018-10-27,273
2018-10-28,263
2018-10-29,253
2018-10-30,249
2018-10-31,248
2018-11-01,236
2018-11-03,226
2018-11-04,225
2018-11-05,226
2018-11-06,223
2018-11-07,221
2018-11-08,218
2018-11-09,211
2018-11-10,212
2018-11-11,212
2018-11-12,211
2018-11-13,212
2018-11-14,212
2018-11-15,211
2018-11-16,210
2018-11-17,215
2018-11-18,211
2018-11-19,206
2018-11-20,208
2018-11-21,213
2018-11-22,214
2018-11-23,220
2018-11-24,220
2018-11-25,221
2018-11-26,226
2018-11-27,234
2018-11-28,237
2018-11-29,239
2018-12-01,246
2018-12-02,249
2018-12-03,259
2018-12-04,267
2018-12-05,259
2018-12-07,235
2018-12-09,235
2018-12-10,243
2018-12-11,246
2018-12-12,247
2018-12-13,247
2018-12-14,249
2018-12-15,247
