date_obj,Death%20rune price
2019-03-22,223
2019-03-23,223
2019-03-24,225
2019-03-25,228
2019-03-26,228
2019-03-27,229
2019-03-28,229
2019-03-29,227
2019-03-30,227
2019-03-31,227
2019-04-01,229
2019-04-02,230
2019-04-03,231
2019-04-04,233
2019-04-05,236
2019-04-06,238
2019-04-07,239
2019-04-08,239
2019-04-09,239
2019-04-10,240
2019-04-11,239
2019-04-12,234
2019-04-13,230
2019-04-14,229
2019-04-15,228
2019-04-16,227
2019-04-17,226
2019-04-18,225
2019-04-19,225
2019-04-20,224
2019-04-21,226
2019-04-22,226
2019-04-23,226
2019-04-24,224
2019-04-25,220
2019-04-26,217
2019-04-27,218
2019-04-28,221
2019-04-29,222
2019-04-30,224
2019-05-01,224
2019-05-02,224
2019-05-03,226
2019-05-04,229
2019-05-05,233
2019-05-06,237
2019-05-07,237
2019-05-08,237
2019-05-09,236
2019-05-10,233
2019-05-11,228
2019-05-12,227
2019-05-13,226
2019-05-14,227
2019-05-15,227
2019-05-16,227
2019-05-17,228
2019-05-18,228
2019-05-19,227
2019-05-20,227
2019-05-21,226
2019-05-22,225
2019-05-23,224
2019-05-24,220
2019-05-25,213
2019-05-26,209
2019-05-27,208
2019-05-28,209
2019-05-29,211
2019-05-30,215
2019-05-31,214
2019-06-01,211
2019-06-02,208
2019-06-03,206
2019-06-04,207
2019-06-05,207
2019-06-06,208
2019-06-07,215
2019-06-08,213
2019-06-09,213
2019-06-10,213
2019-06-11,211
2019-06-12,207
2019-06-13,205
2019-06-14,202
2019-06-15,204
2019-06-16,208
2019-06-17,210
2019-06-18,211
2019-06-19,211
2019-06-20,211
2019-06-21,211
2019-06-22,209
2019-06-23,208
2019-06-24,207
2019-06-25,204
2019-06-26,202
2019-06-27,205
2019-06-28,208
2019-06-29,211
2019-06-30,215
2019-07-01,214
2019-07-02,212
2019-07-03,211
2019-07-04,208
2019-07-05,209
2019-07-06,208
2019-07-07,208
2019-07-08,208
2019-07-09,208
2019-07-10,208
2019-07-11,208
2019-07-12,210
2019-07-13,216
2019-07-14,219
2019-07-15,223
2019-07-16,223
2019-07-17,221
2019-07-18,219
2019-07-19,216
2019-07-20,213
2019-07-21,212
2019-07-22,212
2019-07-23,212
2019-07-24,211
2019-07-25,210
2019-07-26,208
2019-07-27,208
2019-07-28,209
2019-07-29,209
2019-07-30,210
2019-07-31,211
2019-08-01,213
2019-08-02,214
2019-08-03,216
2019-08-04,216
2019-08-05,216
2019-08-06,215
2019-08-07,212
2019-08-08,210
2019-08-09,209
2019-08-10,210
2019-08-11,210
2019-08-12,210
2019-08-13,209
2019-08-14,208
2019-08-15,208
2019-08-16,208
2019-08-17,208
2019-08-18,211
2019-08-19,211
2019-08-20,213
2019-08-21,215
2019-08-22,216
2019-08-23,213
2019-08-24,213
2019-08-24,213
2019-08-25,212
2019-08-25,212
