date_obj,Rune%20dagger price
2017-11-21,4573
2017-11-22,4556
2017-11-23,4573
2017-11-24,4565
2017-11-25,4556
2017-11-26,4582
2017-11-27,4568
2017-11-28,4581
2017-11-29,4587
2017-11-30,4601
2017-12-01,4594
2017-12-02,4576
2017-12-03,4578
2017-12-04,4580
2017-12-05,4590
2017-12-06,4588
2017-12-07,4560
2017-12-08,4574
2017-12-09,4576
2017-12-10,4581
2017-12-11,4594
2017-12-12,4584
2017-12-13,4589
2017-12-14,4591
2017-12-15,4589
2017-12-16,4561
2017-12-17,4576
2017-12-18,4592
2017-12-19,4577
2017-12-20,4576
2017-12-21,4580
2017-12-22,4567
2017-12-23,4573
2017-12-24,4585
2017-12-25,4578
2017-12-26,4543
2017-12-27,4536
2017-12-28,4558
2017-12-29,4552
2017-12-30,4547
2017-12-31,4569
2018-01-01,4556
2018-01-02,4568
2018-01-03,4554
2018-01-04,4548
2018-01-05,4556
2018-01-06,4542
2018-01-07,4577
2018-01-08,4573
2018-01-09,4567
2018-01-10,4571
2018-01-11,4566
2018-01-12,4573
2018-01-13,4562
2018-01-14,4562
2018-01-15,4553
2018-01-16,4558
2018-01-17,4582
2018-01-18,4587
2018-01-19,4568
2018-01-20,4558
2018-01-21,4559
2018-01-22,4556
2018-01-23,4574
2018-01-24,4571
2018-01-25,4574
2018-01-26,4575
2018-01-27,4543
2018-01-28,4562
2018-01-29,4575
2018-01-30,4590
2018-01-31,4597
2018-02-01,4584
2018-02-02,4574
2018-02-03,4555
2018-02-04,4534
2018-02-05,4566
2018-02-06,4578
2018-02-07,4588
2018-02-08,4567
2018-02-09,4595
2018-02-10,4557
2018-02-11,4550
2018-02-12,4551
2018-02-13,4582
2018-02-14,4579
2018-02-15,4538
2018-02-16,4552
2018-02-17,4562
2018-02-18,4560
2018-02-19,4563
2018-02-20,4573
2018-02-21,4568
2018-02-22,4584
2018-02-23,4589
2018-02-24,4550
2018-02-25,4564
2018-02-26,4581
2018-02-27,4585
2018-02-28,4567
2018-03-01,4565
2018-03-02,4574
2018-03-03,4529
2018-03-04,4558
