date_obj,Spice price
2019-06-27,108
2019-06-28,110
2019-06-29,111
2019-06-30,116
2019-07-01,122
2019-07-02,126
2019-07-03,123
2019-07-04,118
2019-07-05,117
2019-07-06,112
2019-07-07,111
2019-07-08,115
2019-07-09,120
2019-07-10,126
2019-07-11,132
2019-07-12,126
2019-07-13,127
2019-07-14,120
2019-07-15,117
2019-07-16,111
2019-07-17,105
2019-07-18,100
2019-07-19,95
2019-07-20,96
2019-07-21,98
2019-07-22,97
2019-07-23,98
2019-07-24,98
2019-07-25,101
2019-07-26,98
2019-07-27,96
2019-07-28,91
2019-07-29,86
2019-07-30,81
2019-07-31,76
2019-08-01,72
2019-08-02,69
2019-08-03,66
2019-08-04,68
2019-08-05,72
2019-08-06,73
2019-08-07,74
2019-08-08,74
2019-08-09,70
2019-08-10,69
2019-08-11,72
2019-08-12,69
2019-08-13,72
2019-08-14,76
2019-08-15,76
2019-08-16,76
2019-08-17,80
2019-08-18,84
2019-08-19,87
2019-08-20,86
2019-08-21,89
2019-08-22,88
2019-08-23,83
2019-08-24,78
2019-08-24,78
2019-08-25,74
2019-08-25,74
2019-08-26,74
2019-08-26,74
2019-08-27,75
2019-08-27,75
2019-08-28,77
