date_obj,Crushed%20nest price
2017-07-15,4287
2017-07-16,4238
2017-07-17,4288
2017-07-18,4257
2017-07-19,4297
2017-07-20,4464
2017-07-21,4614
2017-07-22,4574
2017-07-23,4679
2017-07-24,4586
2017-07-25,4477
2017-07-26,4352
2017-07-27,4252
2017-07-28,4274
2017-07-29,4243
2017-07-30,4222
2017-07-31,4161
2017-08-01,4175
2017-08-02,4259
2017-08-03,4326
2017-08-04,4305
2017-08-05,4243
2017-08-06,4203
2017-08-09,4127
2017-08-10,4148
2017-08-11,4119
2017-08-12,4115
2017-08-13,4091
2017-08-14,4094
2017-08-15,4112
2017-08-16,4140
2017-08-17,4152
2017-08-18,4193
2017-08-19,4149
2017-08-20,4104
2017-08-21,4078
2017-08-22,4078
2017-08-23,4120
2017-08-24,4115
2017-08-25,4085
2017-08-26,4149
2017-08-27,4279
2017-08-28,4356
2017-08-29,4333
2017-08-30,4190
2017-08-31,4094
2017-09-01,4083
2017-09-03,4195
2017-09-04,4174
2017-09-05,4169
2017-09-06,4195
2017-09-07,4124
2017-09-08,4131
2017-09-09,4119
2017-09-10,4091
2017-09-11,4071
2017-09-12,4060
2017-09-13,4018
2017-09-14,3990
2017-09-15,3968
2017-09-16,3967
2017-09-17,3975
2017-09-18,3962
2017-09-19,4000
2017-09-20,3962
2017-09-21,3971
2017-09-22,3980
2017-09-23,4012
2017-09-24,4003
2017-09-25,4002
2017-09-26,4036
2017-09-27,4027
2017-09-28,4104
2017-09-29,4199
2017-09-30,4135
2017-10-01,4158
2017-10-02,4109
2017-10-03,4083
2017-10-04,4060
2017-10-05,4131
2017-10-06,4175
2017-10-07,4066
2017-10-08,4021
2017-10-09,4043
2017-10-10,4106
2017-10-11,4221
2017-10-12,4264
2017-10-13,4201
2017-10-14,4192
2017-10-15,4315
2017-10-16,4502
2017-10-17,4697
2017-10-18,4571
2017-10-19,4373
2017-10-20,4277
2017-10-21,4256
2017-10-22,4291
2017-10-23,4304
2017-10-24,4392
2017-10-25,4371
2017-10-26,4318
2017-10-27,4263
2017-10-28,4200
2017-10-29,4212
2017-10-30,4195
2017-10-31,4228
2017-11-01,4186
2017-11-02,4168
2017-11-03,4256
2017-11-04,4303
2017-11-05,4301
2017-11-06,4432
2017-11-07,4589
2017-11-08,4561
2017-11-09,4442
2017-11-10,4488
2017-11-11,4552
2017-11-12,4655
2017-11-13,4716
2017-11-14,4841
2017-11-15,5062
2017-11-16,5045
2017-11-17,4987
2017-11-18,4878
2017-11-19,4766
2017-11-20,4594
2017-11-21,4396
2017-11-22,4379
2017-11-23,4339
2017-11-24,4333
2017-11-25,4440
2017-11-26,4617
2017-11-27,4704
2017-11-28,4561
2017-11-29,4438
2017-11-30,4337
2017-12-01,4429
2017-12-02,4500
2017-12-03,4708
2017-12-04,4739
2017-12-05,4616
2017-12-06,4600
2017-12-07,4667
2017-12-08,4592
2017-12-09,4523
2017-12-10,4444
2017-12-11,4396
2017-12-12,4461
2017-12-13,4507
2017-12-14,4432
2017-12-15,4437
2017-12-16,4478
2017-12-17,4561
2017-12-18,4642
2017-12-19,4778
2017-12-20,4872
2017-12-21,4718
2017-12-22,4725
2017-12-23,4747
2017-12-24,4749
2017-12-25,4740
2017-12-26,4632
2017-12-27,4627
2017-12-28,4624
2017-12-29,4614
2017-12-30,4701
2017-12-31,4785
2018-01-01,4818
2018-01-02,4856
2018-01-03,4829
2018-01-04,4759
2018-01-05,4712
2018-01-06,4721
2018-01-07,4893
2018-01-08,4669
2018-01-09,4440
2018-01-10,4238
2018-01-11,4112
2018-01-12,3911
2018-01-13,3791
2018-01-14,3822
2018-01-15,3830
2018-01-16,3726
2018-01-17,3549
2018-01-18,3372
2018-01-19,3236
2018-01-20,3156
2018-01-21,3105
2018-01-22,3110
2018-01-23,3143
2018-01-24,3208
2018-01-25,3216
2018-01-26,3317
2018-01-27,3312
2018-01-28,3263
2018-01-29,3301
2018-01-30,3218
2018-01-31,3169
2018-02-01,3178
2018-02-02,3124
2018-02-03,3106
2018-02-04,3057
2018-02-05,3001
2018-02-06,2898
2018-02-07,2946
2018-02-08,2968
2018-02-09,3082
2018-02-10,3080
2018-02-11,3046
2018-02-12,3033
2018-02-13,3047
2018-02-14,3033
2018-02-15,3041
2018-02-16,3065
2018-02-17,3100
2018-02-18,3151
2018-02-19,3275
2018-02-20,3233
2018-02-21,3182
2018-02-22,3078
2018-02-23,3100
2018-02-24,3151
2018-02-25,3143
2018-02-26,3266
2018-02-27,3411
2018-02-28,3569
2018-03-01,3672
2018-03-02,3696
2018-03-03,3542
2018-03-04,3368
2018-03-05,3325
2018-03-06,3461
2018-03-07,3620
2018-03-08,3672
2018-03-09,3554
2018-03-10,3550
2018-03-11,3560
2018-03-12,3475
2018-03-13,3422
2018-03-14,3397
2018-03-15,3364
2018-03-16,3370
2018-03-17,3406
2018-03-18,3434
2018-03-19,3420
2018-03-20,3398
2018-03-21,3428
2018-03-23,3564
2018-03-24,3624
2018-03-25,3707
2018-03-26,3770
2018-03-27,3660
2018-03-28,3566
2018-03-29,3508
2018-03-30,3423
2018-03-31,3423
2018-04-01,3403
2018-04-02,3446
2018-04-03,3558
2018-04-04,3711
2018-04-05,3683
2018-04-06,3739
2018-04-07,3709
2018-04-08,3647
2018-04-09,3615
2018-04-10,3600
2018-04-11,3677
2018-04-12,3756
2018-04-13,3698
2018-04-14,3644
2018-04-15,3735
2018-04-16,3846
2018-04-17,3813
2018-04-18,3864
2018-04-19,3820
2018-04-20,3697
2018-04-21,3719
2018-04-22,3731
2018-04-23,3697
2018-04-24,3721
2018-04-25,3725
2018-04-26,3708
2018-04-27,3665
2018-04-28,3611
2018-04-29,3647
2018-04-30,3622
2018-05-01,3536
2018-05-03,3466
2018-05-04,3463
2018-05-05,3587
2018-05-07,3842
2018-05-08,3811
2018-05-09,3879
2018-05-10,3768
2018-05-11,3695
2018-05-12,3647
2018-05-13,3579
2018-05-14,3539
2018-05-15,3525
2018-05-16,3547
2018-05-17,3662
2018-05-18,3656
2018-05-19,3628
2018-05-20,3610
2018-05-21,3613
2018-05-22,3571
2018-05-23,3537
2018-05-24,3431
2018-05-25,3363
2018-05-26,3438
2018-05-27,3494
2018-05-28,3491
2018-05-29,3532
2018-05-30,3523
2018-05-31,3487
2018-06-01,3472
2018-06-02,3440
2018-06-03,3493
2018-06-04,3508
2018-06-05,3535
2018-06-06,3431
2018-06-07,3322
2018-06-08,3222
2018-06-09,3159
2018-06-10,3028
2018-06-11,2915
2018-06-12,2774
2018-06-13,2692
2018-06-14,2785
2018-06-15,2853
