date_obj,Bronze%20kiteshield%20(g) price
2018-03-13,39761
2018-03-14,39654
2018-03-15,39654
2018-03-16,39409
2018-03-17,39030
2018-03-18,39030
2018-03-19,39030
2018-03-20,38376
2018-03-21,38376
2018-03-23,37414
2018-03-24,37414
2018-03-25,37641
2018-03-26,37641
2018-03-27,36811
2018-03-28,36811
2018-03-29,37332
2018-03-30,37332
2018-03-31,37332
2018-04-01,37753
2018-04-02,37753
2018-04-03,38124
2018-04-04,38124
2018-04-05,38124
2018-04-06,39366
2018-04-07,39366
2018-04-08,39366
2018-04-09,39858
2018-04-10,39858
2018-04-11,40492
2018-04-12,40492
2018-04-13,40492
2018-04-14,40908
2018-04-15,40908
2018-04-16,41214
2018-04-17,41214
2018-04-18,42031
2018-04-19,42031
2018-04-20,42184
2018-04-21,42184
2018-04-22,43342
2018-04-23,43342
2018-04-24,42643
2018-04-25,42643
2018-04-26,42643
2018-04-27,42168
2018-04-28,42168
2018-04-29,43890
2018-04-30,43890
2018-05-01,43213
2018-05-02,43213
2018-05-03,43213
2018-05-04,43616
2018-05-05,43683
2018-05-06,43683
2018-05-07,43683
2018-05-08,43590
2018-05-09,43590
2018-05-10,43613
2018-05-11,43613
2018-05-12,42787
2018-05-13,42787
2018-05-14,42787
2018-05-15,42873
2018-05-16,42873
2018-05-17,42753
2018-05-18,42753
2018-05-19,41567
2018-05-20,41567
2018-05-21,42017
2018-05-22,42017
2018-05-23,41666
2018-05-24,41666
2018-05-25,41666
2018-05-26,40567
2018-05-27,40567
2018-05-28,40058
2018-05-29,40058
2018-05-30,40225
2018-05-31,40225
2018-06-01,39922
2018-06-02,38491
2018-06-03,38491
2018-06-04,38026
2018-06-05,38026
2018-06-06,38396
2018-06-07,38396
2018-06-08,38757
2018-06-09,38757
2018-06-10,37375
2018-06-11,37375
2018-06-12,36514
2018-06-13,36514
2018-06-14,36918
2018-06-15,36918
2018-06-16,36962
2018-06-17,36962
2018-06-18,37023
2018-06-19,37023
2018-06-20,36745
2018-06-21,36745
2018-06-22,36232
2018-06-23,36232
2018-06-24,36232
2018-06-25,37093
2018-06-26,37093
2018-06-27,37093
2018-06-28,38629
2018-06-29,38629
2018-06-30,39461
2018-07-01,39461
2018-07-02,39461
2018-07-03,40580
2018-07-04,40580
2018-07-05,40580
2018-07-06,41547
2018-07-07,41547
2018-07-08,42271
2018-07-09,42271
