date_obj,Pink%20elegant%20legs price
2018-05-09,1449
2018-05-10,1485
2018-05-11,1485
2018-05-12,1485
2018-05-13,1438
2018-05-14,1438
2018-05-15,1438
2018-05-16,1421
2018-05-17,1421
2018-05-18,1421
2018-05-19,1383
2018-05-20,1383
2018-05-21,1383
2018-05-22,1322
2018-05-23,1322
2018-05-24,1322
2018-05-25,1290
2018-05-26,1290
2018-05-27,1315
2018-05-28,1315
2018-05-29,1347
2018-05-30,1347
2018-05-31,1347
2018-06-01,1373
2018-06-02,1373
2018-06-03,1419
2018-06-04,1419
2018-06-05,1419
2018-06-06,1419
2018-06-07,1419
2018-06-08,1389
2018-06-09,1389
2018-06-10,1389
2018-06-11,1336
2018-06-12,1336
2018-06-13,1336
2018-06-14,1314
2018-06-15,1314
2018-06-16,1314
2018-06-17,1292
2018-06-18,1292
2018-06-19,1345
2018-06-20,1345
2018-06-21,1345
2018-06-22,1376
2018-06-23,1376
2018-06-24,1376
2018-06-25,1425
2018-06-26,1425
2018-06-27,1425
2018-06-28,1449
2018-06-29,1449
2018-06-30,1449
2018-07-01,1396
2018-07-02,1396
2018-07-03,1396
2018-07-04,1366
2018-07-05,1366
2018-07-06,1325
2018-07-07,1325
2018-07-08,1325
2018-07-09,1278
2018-07-10,1278
2018-07-11,1246
2018-07-12,1246
2018-07-13,1207
2018-07-14,1207
2018-07-15,1207
2018-07-16,1205
2018-07-17,1205
2018-07-18,1205
2018-07-19,1172
2018-07-20,1172
2018-07-21,1144
2018-07-22,1144
2018-07-23,1111
2018-07-24,1111
2018-07-25,1104
2018-07-26,1104
2018-07-27,1063
2018-07-28,1063
2018-07-29,1063
2018-07-30,1043
2018-07-31,1043
2018-08-01,1020
2018-08-02,1020
2018-08-03,995
2018-08-04,979
2018-08-05,979
2018-08-06,986
2018-08-07,986
2018-08-08,992
2018-08-09,992
2018-08-10,994
2018-08-11,994
2018-08-12,1003
2018-08-14,987
2018-08-16,987
2018-08-17,958
2018-08-18,958
2018-08-19,958
2018-08-20,995
2018-08-21,995
2018-08-22,994
2018-08-23,994
2018-08-24,999
2018-08-25,999
2018-08-26,1017
2018-08-27,1017
2018-08-28,1036
2018-08-29,1036
2018-08-30,1036
2018-08-31,1055
2018-09-01,1055
2018-09-02,1041
2018-09-03,1041
2018-09-04,1060
2018-09-05,1060
2018-09-06,1060
2018-09-07,1095
2018-09-08,1095
2018-09-09,1095
2018-09-10,1097
2018-09-11,1097
2018-09-12,1097
2018-09-13,1130
2018-09-14,1130
2018-09-15,1171
2018-09-16,1171
2018-09-17,1171
2018-09-18,1174
2018-09-19,1174
2018-09-20,1174
2018-09-21,1205
2018-09-22,1205
2018-09-23,1240
2018-09-24,1240
2018-09-25,1240
2018-09-26,1241
2018-09-27,1241
2018-09-28,1241
2018-09-29,1241
2018-09-30,1241
2018-10-02,1210
2018-10-03,1170
2018-10-04,1170
2018-10-05,1170
2018-10-06,1183
2018-10-07,1183
2018-10-08,1212
2018-10-09,1212
2018-10-10,1249
2018-10-11,1249
2018-10-12,1249
2018-10-13,1242
2018-10-14,1242
2018-10-15,1242
2018-10-16,1211
2018-10-17,1211
2018-10-18,1187
2018-10-19,1187
2018-10-20,1187
2018-10-21,1178
2018-10-22,1178
2018-10-23,1178
2018-10-24,1206
2018-10-25,1206
2018-10-26,1228
2018-10-27,1228
2018-10-28,1231
2018-10-29,1231
2018-10-30,1231
2018-10-31,1282
2018-11-01,1282
2018-11-03,1324
2018-11-04,1356
2018-11-05,1395
2018-11-06,1395
2018-11-07,1427
2018-11-08,1427
2018-11-09,1459
2018-11-10,1459
2018-11-11,1492
2018-11-12,1507
2018-11-13,1507
2018-11-15,1508
2018-11-16,1521
2018-11-17,1521
2018-11-18,1500
2018-11-19,1500
2018-11-20,1511
2018-11-21,1511
2018-11-22,1547
2018-11-23,1547
2018-11-24,1577
2018-11-25,1577
2018-11-26,1593
2018-11-27,1593
2018-11-28,1626
2018-11-29,1626
2018-12-01,1731
2018-12-02,1731
2018-12-03,1748
2018-12-04,1748
2018-12-05,1769
2018-12-07,1801
2018-12-09,1847
2018-12-10,1888
2018-12-11,1888
2018-12-12,1880
2018-12-13,1871
2018-12-14,1871
2018-12-15,1897
2018-12-16,1897
2018-12-17,1929
2018-12-18,1929
2018-12-19,1899
2018-12-20,1899
2018-12-21,1899
2018-12-22,1899
2018-12-23,1809
2018-12-24,1772
2018-12-25,1772
2018-12-26,1772
2018-12-27,1768
2018-12-28,1768
2018-12-29,1751
2018-12-30,1751
2018-12-31,1685
2019-01-01,1685
2019-01-02,1626
2019-01-03,1626
2019-01-04,1549
2019-01-05,1549
2019-01-06,1482
2019-01-08,1427
2019-01-10,1388
2019-01-11,1388
2019-01-12,1374
2019-01-13,1374
2019-01-14,1350
2019-01-15,1350
2019-01-16,1339
2019-01-17,1339
2019-01-18,1308
2019-01-19,1246
2019-01-20,1246
2019-01-21,1223
2019-01-22,1223
2019-01-23,1229
2019-01-24,1229
2019-01-25,1256
2019-01-26,1256
2019-01-27,1254
2019-01-28,1254
2019-01-29,1252
2019-01-30,1252
2019-01-31,1263
2019-02-01,1235
2019-02-02,1235
2019-02-03,1191
2019-02-04,1191
2019-02-05,1189
2019-02-06,1189
2019-02-07,1200
2019-02-08,1200
2019-02-09,1154
2019-02-10,1154
2019-02-11,1122
2019-02-12,1122
2019-02-13,1106
2019-02-14,1106
2019-02-15,1102
2019-02-16,1102
2019-02-17,1081
2019-02-18,1081
2019-02-19,1087
2019-02-20,1087
2019-02-21,1053
2019-02-22,1053
2019-02-23,1009
2019-02-24,1007
2019-02-25,1009
2019-02-26,1009
2019-02-27,986
2019-02-28,986
2019-03-01,951
2019-03-02,951
2019-03-03,938
2019-03-04,938
2019-03-05,945
2019-03-06,956
2019-03-07,956
2019-03-08,956
2019-03-09,956
2019-03-10,956
2019-03-11,982
2019-03-12,1031
2019-03-13,1031
2019-03-14,1078
2019-03-15,1078
2019-03-16,1128
2019-03-17,1180
2019-03-18,1180
2019-03-19,1180
2019-03-20,1237
2019-03-21,1237
2019-03-22,1295
2019-03-23,1343
2019-03-24,1343
2019-03-25,1370
2019-03-26,1370
2019-03-27,1370
2019-03-28,1388
2019-03-29,1388
