date_obj,Steel%20plateskirt%20(t) price
2019-02-25,1522
2019-02-26,1590
2019-02-27,1590
2019-02-28,1590
2019-03-01,1590
2019-03-02,1590
2019-03-03,1590
2019-03-04,1590
2019-03-05,1654
2019-03-06,1654
2019-03-07,1654
2019-03-08,1654
2019-03-09,1654
2019-03-10,1654
2019-03-11,1730
2019-03-12,1730
2019-03-13,1730
2019-03-14,1730
2019-03-15,1730
2019-03-16,1730
2019-03-17,1785
2019-03-18,1785
2019-03-19,1785
2019-03-20,1785
2019-03-21,1785
2019-03-22,1785
2019-03-23,1793
2019-03-24,1793
2019-03-25,1793
2019-03-26,1793
2019-03-27,1793
2019-03-28,1793
2019-03-29,1867
2019-03-30,1867
2019-03-31,1867
2019-04-01,1867
2019-04-02,1867
2019-04-03,1867
2019-04-04,1838
2019-04-05,1838
2019-04-06,1838
2019-04-07,1838
2019-04-08,1838
2019-04-09,1802
2019-04-10,1802
2019-04-11,1802
2019-04-12,1802
2019-04-13,1769
2019-04-14,1769
2019-04-15,1769
2019-04-16,1744
2019-04-17,1744
2019-04-18,1744
2019-04-19,1788
2019-04-20,1788
2019-04-21,1788
2019-04-22,1722
2019-04-23,1722
2019-04-24,1722
2019-04-25,1722
2019-04-26,1737
2019-04-27,1737
2019-04-28,1737
2019-04-29,1737
2019-04-30,1737
2019-05-01,1740
2019-05-02,1740
2019-05-03,1740
2019-05-04,1740
2019-05-05,1732
2019-05-06,1732
2019-05-07,1732
2019-05-08,1732
2019-05-09,1732
2019-05-10,1732
2019-05-11,1757
2019-05-12,1757
2019-05-13,1757
2019-05-14,1757
2019-05-15,1757
2019-05-16,1762
2019-05-17,1762
2019-05-18,1762
2019-05-19,1762
2019-05-20,1762
2019-05-21,1762
2019-05-22,1820
2019-05-23,1820
2019-05-24,1820
2019-05-25,1820
2019-05-26,1820
2019-05-27,1820
2019-05-28,1832
2019-05-29,1832
2019-05-30,1832
2019-05-31,1832
2019-06-01,1832
2019-06-02,1832
2019-06-03,1832
2019-06-04,1859
2019-06-05,1859
2019-06-06,1859
2019-06-07,1859
2019-06-08,1859
2019-06-09,1859
2019-06-10,1903
2019-06-11,1903
2019-06-12,1903
2019-06-13,1903
2019-06-14,1903
2019-06-15,1903
2019-06-16,1948
2019-06-17,1948
2019-06-18,1948
2019-06-19,1948
2019-06-20,1948
2019-06-21,1948
2019-06-22,1948
2019-06-23,1948
2019-06-24,1917
2019-06-25,1917
2019-06-26,1917
2019-06-27,1917
2019-06-28,1917
2019-06-29,1917
2019-06-30,1984
2019-07-01,1984
2019-07-02,1984
2019-07-03,1984
2019-07-04,1984
2019-07-05,1961
2019-07-06,1961
2019-07-07,1961
2019-07-08,1961
2019-07-09,1961
2019-07-10,1961
2019-07-11,1961
2019-07-12,1972
2019-07-13,1972
2019-07-14,1972
2019-07-15,1972
2019-07-16,1972
2019-07-17,1972
2019-07-18,1972
2019-07-19,2068
2019-07-20,2068
2019-07-21,2068
2019-07-22,2068
2019-07-23,2068
2019-07-24,2068
2019-07-25,2068
2019-07-26,2068
2019-07-27,2153
2019-07-28,2153
2019-07-29,2153
2019-07-30,2153
2019-07-31,2153
2019-08-01,2153
2019-08-02,2153
2019-08-03,2117
2019-08-04,2117
2019-08-05,2117
2019-08-06,2117
2019-08-07,2117
2019-08-08,2117
2019-08-09,2117
2019-08-10,2117
2019-08-11,2117
2019-08-12,2147
2019-08-13,2147
2019-08-14,2147
2019-08-15,2147
2019-08-16,2147
2019-08-17,2147
2019-08-18,2147
2019-08-19,2176
2019-08-20,2176
2019-08-21,2176
2019-08-22,2176
2019-08-23,2176
2019-08-24,2176
2019-08-24,2176
2019-08-25,2176
2019-08-25,2176
2019-08-26,2176
2019-08-26,2176
2019-08-27,2143
2019-08-27,2143
2019-08-28,2143
2019-08-29,2143
2019-08-30,2143
2019-08-31,2143
2019-09-01,2143
2019-09-02,2143
2019-09-03,2143
2019-09-04,2096
2019-09-05,2096
2019-09-06,2096
2019-09-07,2096
2019-09-08,2096
2019-09-09,2096
2019-09-10,2096
2019-09-11,2096
2019-09-12,2096
2019-09-13,2096
2019-09-14,2104
2019-09-15,2104
2019-09-16,2104
2019-09-17,2104
2019-09-18,2104
2019-09-19,2104
2019-09-20,2104
2019-09-21,2104
2019-09-22,2106
2019-09-23,2106
2019-09-24,2106
2019-09-25,2106
2019-09-26,2106
2019-09-27,2106
2019-09-28,2106
2019-09-29,2106
2019-09-30,2106
2019-10-01,2146
2019-10-02,2146
2019-10-03,2146
2019-10-04,2146
2019-10-05,2146
2019-10-06,2146
2019-10-07,2146
2019-10-08,2146
2019-10-09,2146
2019-10-10,2146
2019-10-11,2146
2019-10-12,2104
2019-10-13,2104
2019-10-14,2104
2019-10-15,2104
2019-10-16,2104
2019-10-17,2104
2019-10-18,2104
2019-10-19,2104
2019-10-20,2104
2019-10-21,2106
2019-10-22,2106
2019-10-23,2106
2019-10-24,2106
2019-10-25,2106
2019-10-26,2106
2019-10-27,2106
2019-10-28,2106
2019-10-29,2106
2019-10-30,2106
2019-10-31,2106
2019-11-01,2106
2019-11-02,2106
2019-11-03,2106
