date_obj,Combat%20bracelet price
2018-01-19,16639
2018-01-20,16297
2018-01-21,16517
2018-01-22,16804
2018-01-23,16405
2018-01-24,16133
2018-01-25,15912
2018-01-26,15603
2018-01-27,15689
2018-01-28,16017
2018-01-29,15559
2018-01-30,15613
2018-01-31,15621
2018-02-01,15329
2018-02-02,15283
2018-02-03,15295
2018-02-04,15258
2018-02-05,15307
2018-02-06,15458
2018-02-07,15235
2018-02-08,15229
2018-02-09,15050
2018-02-10,14847
2018-02-11,14550
2018-02-12,14194
2018-02-13,14276
2018-02-14,14274
2018-02-15,14251
2018-02-16,14337
2018-02-17,14456
2018-02-18,14444
2018-02-19,13942
2018-02-20,13518
2018-02-21,14052
2018-02-22,14440
2018-02-23,14660
2018-02-24,14578
2018-02-25,14346
2018-02-26,14222
2018-02-27,13766
2018-02-28,13609
2018-03-01,13553
2018-03-02,13464
2018-03-03,13343
2018-03-04,13269
2018-03-05,13253
2018-03-06,13195
2018-03-07,13340
2018-03-08,13486
2018-03-09,13556
2018-03-10,13739
2018-03-11,13683
2018-03-12,13550
2018-03-13,13312
2018-03-14,13260
2018-03-15,13218
2018-03-16,13362
2018-03-17,13343
2018-03-18,13080
2018-03-19,12976
2018-03-20,13147
2018-03-21,12981
2018-03-23,13330
2018-03-24,13191
2018-03-25,13081
2018-03-26,12885
2018-03-27,12748
2018-03-28,12689
2018-03-29,12359
2018-03-30,12322
2018-03-31,12328
2018-04-02,12268
2018-04-03,12357
2018-04-04,12428
2018-04-05,12364
2018-04-06,12420
2018-04-07,12352
2018-04-08,12436
2018-04-09,12428
2018-04-10,12411
2018-04-11,12445
2018-04-12,12388
2018-04-13,12339
2018-04-14,12276
2018-04-15,12325
2018-04-16,12360
2018-04-17,12374
2018-04-18,12303
2018-04-19,12298
2018-04-20,12391
2018-04-21,12310
2018-04-22,12302
2018-04-23,12289
2018-04-24,12342
2018-04-25,12351
2018-04-26,12347
2018-04-27,12339
2018-04-28,12379
2018-04-29,12398
2018-04-30,12355
2018-05-01,12424
2018-05-03,12404
2018-05-04,12385
2018-05-05,12438
2018-05-07,12317
2018-05-08,12297
2018-05-09,12329
2018-05-10,12264
2018-05-11,12294
2018-05-12,12333
2018-05-13,12360
2018-05-14,12394
2018-05-15,12404
2018-05-16,12368
2018-05-17,12403
2018-05-18,12414
2018-05-19,12428
2018-05-20,12424
2018-05-21,12420
2018-05-22,12407
2018-05-23,12413
2018-05-24,12522
2018-05-25,12486
2018-05-26,12451
2018-05-27,12473
2018-05-28,12506
2018-05-29,12473
2018-05-30,12378
2018-05-31,12409
2018-06-01,12400
2018-06-02,12427
2018-06-03,12339
2018-06-04,12358
2018-06-05,12349
2018-06-06,12359
2018-06-07,12282
2018-06-08,12259
2018-06-09,12305
2018-06-10,12340
2018-06-11,12266
2018-06-12,12271
2018-06-13,12285
2018-06-14,12365
2018-06-15,12444
2018-06-16,12365
2018-06-17,12268
2018-06-18,12356
2018-06-19,12351
2018-06-20,12332
2018-06-21,12316
2018-06-22,12321
2018-06-23,12396
2018-06-24,12381
2018-06-25,12347
2018-06-26,12319
2018-06-27,12330
2018-06-28,12342
2018-06-29,12348
2018-06-30,12361
2018-07-01,12367
2018-07-02,12369
2018-07-03,12359
2018-07-04,12322
2018-07-05,12337
2018-07-06,12358
2018-07-07,12341
2018-07-08,12353
2018-07-09,12395
2018-07-10,12419
2018-07-11,12401
2018-07-12,12411
2018-07-13,12404
2018-07-14,12363
2018-07-15,12368
2018-07-16,12366
2018-07-17,12391
2018-07-18,12396
2018-07-19,12447
2018-07-20,12456
2018-07-21,12385
2018-07-22,12416
2018-07-23,12426
2018-07-24,12435
2018-07-25,12472
2018-07-26,12461
2018-07-27,12465
2018-07-28,12433
2018-07-29,12403
2018-07-30,12371
2018-07-31,12380
2018-08-01,12327
2018-08-02,12344
2018-08-03,12345
2018-08-04,12358
2018-08-05,12331
2018-08-06,12270
2018-08-07,12290
2018-08-08,12291
2018-08-09,12411
2018-08-10,12343
2018-08-11,12332
2018-08-12,12299
2018-08-14,12327
2018-08-16,12367
2018-08-17,12355
2018-08-18,12366
2018-08-19,12347
2018-08-20,12385
2018-08-21,12394
2018-08-22,12359
2018-08-23,12371
2018-08-24,12375
2018-08-25,12372
2018-08-26,12358
2018-08-27,12306
2018-08-28,12310
2018-08-29,12351
2018-08-30,12304
2018-08-31,12306
2018-09-01,12362
2018-09-02,12364
2018-09-03,12365
2018-09-04,12342
2018-09-05,12275
2018-09-06,12347
2018-09-07,12355
2018-09-08,12392
2018-09-09,12354
2018-09-10,12505
2018-09-11,12998
2018-09-12,12568
2018-09-13,12284
2018-09-14,12316
2018-09-15,12338
2018-09-16,12337
2018-09-17,12363
2018-09-18,12377
2018-09-19,12341
2018-09-20,12244
2018-09-21,12248
2018-09-22,12285
2018-09-23,12408
2018-09-24,12519
2018-09-25,12287
2018-09-26,12360
2018-09-27,12334
2018-09-28,12368
2018-09-29,12295
2018-09-30,12278
2018-10-01,12371
2018-10-02,12345
2018-10-03,12300
2018-10-04,12280
2018-10-05,12303
2018-10-06,12387
2018-10-07,12332
2018-10-08,12347
2018-10-09,12352
2018-10-10,12377
2018-10-11,12386
2018-10-12,12349
2018-10-13,12347
2018-10-14,12299
2018-10-15,12316
2018-10-16,12327
2018-10-17,12354
2018-10-18,12353
2018-10-19,12354
2018-10-20,12339
2018-10-21,12311
2018-10-22,12362
2018-10-23,12346
2018-10-24,12357
2018-10-25,12377
2018-10-26,12324
2018-10-27,12326
2018-10-28,12324
2018-10-29,12274
2018-10-30,12309
2018-10-31,12288
2018-11-01,12313
2018-11-03,12317
2018-11-04,12298
2018-11-05,12323
2018-11-06,12465
2018-11-07,12424
2018-11-08,12300
2018-11-09,12285
2018-11-10,12284
2018-11-11,12324
2018-11-12,12307
2018-11-13,12305
2018-11-14,12334
2018-11-15,12323
2018-11-16,12317
2018-11-17,12272
2018-11-18,12317
2018-11-19,12327
2018-11-20,12347
2018-11-21,12270
2018-11-22,12366
2018-11-23,12442
2018-11-24,12409
2018-11-25,12449
2018-11-26,12396
2018-11-27,12440
2018-11-28,12400
2018-11-29,12383
2018-12-01,12475
2018-12-02,12374
2018-12-03,12347
2018-12-04,12315
2018-12-05,12393
2018-12-07,12385
2018-12-09,12445
2018-12-10,12482
2018-12-11,12393
2018-12-12,12363
2018-12-13,12346
2018-12-14,12367
2018-12-15,12318
2018-12-16,12356
2018-12-17,12339
2018-12-18,12321
2018-12-19,12368
2018-12-20,12343
2018-12-21,12377
2018-12-22,12357
2018-12-23,12467
2018-12-24,12376
2018-12-25,12355
2018-12-26,12337
2018-12-27,12368
2018-12-28,12244
2018-12-29,12296
2018-12-30,12304
2018-12-31,12306
2019-01-01,12263
2019-01-02,12299
2019-01-03,12309
2019-01-04,12302
2019-01-05,12360
2019-01-06,12427
2019-01-08,12396
2019-01-10,12332
2019-01-11,12587
2019-01-12,12295
2019-01-13,12329
2019-01-14,12374
2019-01-15,12405
2019-01-16,12320
2019-01-17,12294
2019-01-18,12325
2019-01-19,12361
2019-01-20,12329
2019-01-21,12316
2019-01-22,12334
2019-01-23,12319
2019-01-24,12316
2019-01-25,12322
2019-01-26,12351
2019-01-27,12365
2019-01-28,12354
2019-01-29,12367
2019-01-30,12343
2019-01-31,12449
2019-02-01,12563
2019-02-02,12340
2019-02-03,12371
2019-02-04,12347
2019-02-05,12353
2019-02-06,12369
2019-02-07,12428
2019-02-08,12371
2019-02-09,12348
2019-02-10,12343
2019-02-11,12360
2019-02-12,12356
2019-02-13,12355
2019-02-14,12331
2019-02-15,12340
2019-02-16,12334
2019-02-17,12343
2019-02-18,12331
2019-02-19,12328
2019-02-20,12351
2019-02-21,12351
2019-02-22,12330
2019-02-23,12334
2019-02-24,12334
2019-02-25,12332
2019-02-26,12352
