date_obj,Chocchip%20crunchies price
2017-12-13,907
2017-12-14,911
2017-12-15,911
2017-12-16,911
2017-12-17,911
2017-12-18,911
2017-12-19,911
2017-12-20,911
2017-12-21,911
2017-12-22,911
2017-12-23,911
2017-12-24,911
2017-12-25,911
2017-12-26,911
2017-12-27,911
2017-12-28,911
2017-12-29,911
2017-12-30,911
2017-12-31,911
2018-01-01,911
2018-01-02,911
2018-01-03,956
2018-01-04,956
2018-01-05,956
2018-01-06,956
2018-01-07,956
2018-01-08,956
2018-01-09,956
2018-01-10,956
2018-01-11,956
2018-01-12,956
2018-01-13,956
2018-01-14,956
2018-01-15,956
2018-01-16,956
2018-01-17,956
2018-01-18,956
2018-01-19,956
2018-01-20,956
2018-01-21,1001
2018-01-22,1001
2018-01-23,1001
2018-01-24,1001
2018-01-25,1001
2018-01-26,1001
2018-01-27,1001
2018-01-28,1001
2018-01-29,1001
2018-01-30,1001
2018-01-31,1001
2018-02-01,1001
2018-02-02,1001
2018-02-03,1001
2018-02-04,1001
2018-02-05,1001
2018-02-06,1001
2018-02-07,1001
2018-02-08,1001
2018-02-09,1001
2018-02-10,1001
2018-02-11,1001
2018-02-12,1001
2018-02-13,1042
2018-02-14,1042
2018-02-15,1042
2018-02-16,1042
2018-02-17,1042
2018-02-18,1042
2018-02-19,1042
2018-02-20,1042
2018-02-21,1042
2018-02-22,1042
2018-02-23,1042
2018-02-24,1042
2018-02-25,1042
2018-02-26,1042
2018-02-27,1042
2018-02-28,1042
2018-03-01,1042
2018-03-02,1071
2018-03-03,1071
2018-03-04,1071
2018-03-05,1071
2018-03-06,1071
2018-03-07,1071
2018-03-08,1071
2018-03-09,1071
2018-03-10,1071
2018-03-11,1071
2018-03-12,1071
2018-03-13,1071
2018-03-14,1071
2018-03-15,1071
2018-03-16,1071
2018-03-17,1071
2018-03-18,1071
2018-03-20,1071
2018-03-21,1071
2018-03-23,1107
2018-03-24,1107
2018-03-25,1107
2018-03-26,1107
2018-03-27,1107
2018-03-28,1107
2018-03-29,1107
2018-03-30,1107
2018-03-31,1107
2018-04-02,1107
2018-04-03,1107
2018-04-04,1107
2018-04-05,1107
2018-04-06,1107
2018-04-07,1107
2018-04-08,1107
2018-04-09,1107
2018-04-10,1107
2018-04-11,1107
2018-04-12,1107
2018-04-13,1162
2018-04-14,1162
2018-04-15,1162
2018-04-16,1162
2018-04-17,1162
2018-04-18,1162
2018-04-19,1162
2018-04-20,1162
2018-04-21,1162
2018-04-22,1162
2018-04-23,1162
2018-04-24,1162
2018-04-25,1162
2018-04-26,1162
2018-04-27,1162
2018-04-28,1162
2018-04-29,1162
2018-04-30,1162
2018-05-01,1109
2018-05-03,1109
2018-05-04,1109
2018-05-05,1109
2018-05-07,1109
2018-05-08,1109
2018-05-09,1109
2018-05-10,1109
2018-05-11,1109
2018-05-12,1109
2018-05-13,1109
2018-05-14,1109
2018-05-15,1109
2018-05-16,1097
2018-05-17,1097
2018-05-18,1097
2018-05-19,1097
2018-05-20,1097
2018-05-21,1097
2018-05-22,1097
2018-05-23,1097
2018-05-24,1097
2018-05-25,1097
2018-05-26,1097
2018-05-27,1097
2018-05-28,1097
2018-05-29,1097
2018-05-30,1097
2018-05-31,1097
2018-06-01,1097
2018-06-02,1097
2018-06-03,1097
2018-06-04,1097
2018-06-05,1097
2018-06-06,1064
2018-06-07,1064
2018-06-08,1064
2018-06-09,1064
2018-06-10,1064
2018-06-11,1064
2018-06-12,1064
2018-06-13,1064
2018-06-14,1064
2018-06-15,1064
2018-06-16,1064
2018-06-17,1064
2018-06-18,1064
2018-06-19,1064
2018-06-20,1064
2018-06-21,1064
2018-06-22,1064
2018-06-23,1064
2018-06-24,1064
2018-06-25,1064
2018-06-26,1064
2018-06-27,1064
2018-06-28,1064
2018-06-29,1064
2018-06-30,1016
2018-07-01,1016
2018-07-02,1016
2018-07-03,1016
2018-07-04,1016
2018-07-05,1016
2018-07-06,1016
2018-07-07,1016
2018-07-08,1016
2018-07-09,1016
2018-07-10,1016
2018-07-11,1016
2018-07-12,1016
2018-07-13,1016
2018-07-14,1016
2018-07-15,1016
2018-07-16,1016
2018-07-17,1016
2018-07-18,1016
2018-07-19,1016
2018-07-20,1016
2018-07-21,1016
2018-07-22,1016
2018-07-23,1016
2018-07-24,1016
2018-07-25,1016
2018-07-26,1043
2018-07-27,1043
2018-07-28,1043
2018-07-29,1043
2018-07-30,1043
2018-07-31,1043
2018-08-01,1043
2018-08-02,1043
2018-08-03,1043
2018-08-04,1043
2018-08-05,1043
2018-08-06,1043
2018-08-07,1043
2018-08-08,1048
2018-08-09,1048
2018-08-10,1048
2018-08-11,1048
2018-08-12,1048
2018-08-14,1048
2018-08-16,1048
2018-08-17,1048
2018-08-18,1048
2018-08-19,1048
2018-08-20,1048
2018-08-21,1048
2018-08-22,1063
2018-08-23,1063
2018-08-24,1063
2018-08-25,1063
2018-08-26,1063
2018-08-27,1063
2018-08-28,1063
2018-08-29,1063
2018-08-30,1063
2018-08-31,1063
2018-09-01,1063
2018-09-02,1063
2018-09-03,1063
2018-09-04,1103
2018-09-05,1103
2018-09-06,1103
2018-09-07,1103
2018-09-08,1103
2018-09-09,1103
2018-09-10,1103
2018-09-11,1103
2018-09-12,1103
2018-09-13,1103
2018-09-14,1103
2018-09-15,1103
2018-09-16,1103
2018-09-17,1103
2018-09-18,1082
2018-09-19,1082
2018-09-20,1082
2018-09-21,1082
2018-09-22,1082
2018-09-23,1082
2018-09-24,1082
2018-09-25,1082
2018-09-26,1082
2018-09-27,1082
2018-09-28,1082
2018-09-29,1082
2018-09-30,1082
2018-10-01,1082
2018-10-02,1082
2018-10-03,1082
2018-10-04,1082
2018-10-05,1082
2018-10-06,1072
2018-10-07,1072
