date_obj,Pink%20elegant%20blouse price
2018-05-22,2998
2018-05-23,2895
2018-05-24,2895
2018-05-25,2895
2018-05-26,2944
2018-05-27,2944
2018-05-28,2910
2018-05-29,2910
2018-05-30,2939
2018-05-31,2939
2018-06-01,2939
2018-06-02,2990
2018-06-03,2990
2018-06-04,3059
2018-06-05,3059
2018-06-06,3047
2018-06-07,3047
2018-06-08,3047
2018-06-09,3037
2018-06-10,3037
2018-06-11,3109
2018-06-12,3109
2018-06-13,3122
2018-06-14,3122
2018-06-15,3122
2018-06-16,3119
2018-06-17,3119
2018-06-18,3037
2018-06-19,3037
2018-06-20,3037
2018-06-21,3057
2018-06-22,3057
2018-06-23,3057
2018-06-24,3089
2018-06-25,3089
2018-06-26,3089
2018-06-27,3030
2018-06-28,3030
2018-06-29,2985
2018-06-30,2985
2018-07-01,2988
2018-07-02,2988
2018-07-03,3089
2018-07-04,3089
2018-07-05,3089
2018-07-06,3216
2018-07-07,3216
2018-07-08,3216
2018-07-09,3305
2018-07-10,3305
2018-07-11,3286
2018-07-12,3286
2018-07-13,3351
2018-07-14,3351
2018-07-15,3322
2018-07-16,3322
2018-07-17,3312
2018-07-18,3312
2018-07-19,3312
2018-07-20,3347
2018-07-21,3347
2018-07-22,3406
2018-07-23,3443
2018-07-24,3443
2018-07-25,3443
2018-07-26,3382
2018-07-27,3382
2018-07-28,3287
2018-07-29,3287
2018-07-30,3179
2018-07-31,3079
2018-08-01,3079
2018-08-02,3076
2018-08-03,3076
2018-08-04,3107
2018-08-05,3107
2018-08-06,3182
2018-08-07,3182
2018-08-08,3119
2018-08-09,3119
2018-08-10,3142
2018-08-11,3142
2018-08-12,3118
2018-08-14,3015
2018-08-16,3071
2018-08-17,3094
2018-08-18,3094
2018-08-19,3094
2018-08-20,3151
2018-08-21,3151
2018-08-22,3151
2018-08-23,3159
2018-08-24,3159
2018-08-25,3097
2018-08-26,3097
2018-08-27,3128
2018-08-28,3128
2018-08-29,3237
2018-08-30,3237
2018-08-31,3353
2018-09-01,3411
2018-09-02,3411
2018-09-03,3458
2018-09-04,3458
2018-09-05,3472
2018-09-06,3472
2018-09-07,3509
2018-09-08,3509
2018-09-09,3509
2018-09-10,3564
2018-09-11,3564
2018-09-12,3645
2018-09-13,3645
2018-09-14,3739
2018-09-15,3739
2018-09-16,3704
2018-09-17,3704
2018-09-18,3607
2018-09-19,3607
2018-09-20,3489
2018-09-21,3489
2018-09-22,3365
2018-09-23,3365
2018-09-24,3329
2018-09-25,3329
2018-09-26,3265
2018-09-27,3265
2018-09-28,3181
2018-09-29,3181
2018-09-30,3147
2018-10-02,3045
2018-10-03,3045
2018-10-04,2959
2018-10-05,2959
2018-10-06,2863
2018-10-07,2863
2018-10-08,2801
2018-10-09,2801
2018-10-10,2732
2018-10-11,2732
2018-10-12,2631
2018-10-13,2631
2018-10-14,2532
2018-10-15,2532
2018-10-16,2472
2018-10-17,2472
2018-10-18,2422
2018-10-19,2422
2018-10-20,2323
2018-10-21,2323
2018-10-22,2286
2018-10-23,2286
2018-10-24,2286
2018-10-25,2303
2018-10-26,2303
2018-10-27,2317
2018-10-28,2317
2018-10-29,2353
2018-10-30,2353
2018-10-31,2414
2018-11-01,2414
2018-11-03,2509
2018-11-04,2509
2018-11-05,2540
2018-11-06,2589
2018-11-07,2589
2018-11-08,2700
2018-11-09,2700
2018-11-10,2828
2018-11-11,2828
2018-11-12,2949
2018-11-13,3035
2018-11-15,3154
2018-11-16,3224
2018-11-17,3224
2018-11-18,3374
2018-11-19,3374
2018-11-20,3530
2018-11-21,3530
2018-11-22,3615
2018-11-23,3615
2018-11-24,3657
2018-11-25,3654
2018-11-26,3654
2018-11-27,3636
2018-11-28,3486
2018-11-29,3416
2018-12-01,3437
2018-12-02,3386
2018-12-03,3386
2018-12-04,3366
2018-12-05,3369
2018-12-07,3326
2018-12-09,3298
2018-12-10,3242
2018-12-11,3242
2018-12-12,3115
2018-12-13,3023
2018-12-14,3023
2018-12-15,2941
2018-12-16,2844
2018-12-17,2844
2018-12-18,2893
2018-12-19,2893
2018-12-20,2912
2018-12-21,2912
2018-12-22,2855
2018-12-23,2769
2018-12-24,2711
2018-12-25,2711
2018-12-26,2696
2018-12-27,2749
2018-12-28,2749
2018-12-29,2730
2018-12-30,2730
2018-12-31,2673
2019-01-01,2673
2019-01-02,2641
2019-01-03,2582
2019-01-04,2514
2019-01-05,2435
2019-01-06,2417
2019-01-08,2326
2019-01-10,2209
2019-01-11,2209
2019-01-12,2131
2019-01-13,2123
2019-01-14,2204
2019-01-15,2204
2019-01-16,2278
2019-01-17,2278
2019-01-18,2203
2019-01-19,2203
2019-01-20,2223
2019-01-21,2223
2019-01-22,2281
2019-01-23,2366
2019-01-24,2366
2019-01-25,2365
2019-01-26,2315
2019-01-27,2408
2019-01-28,2408
2019-01-29,2509
2019-01-30,2599
2019-01-31,2599
2019-02-01,2718
2019-02-02,2718
2019-02-03,2846
2019-02-04,2846
2019-02-05,2989
2019-02-06,2989
2019-02-07,3138
2019-02-08,3138
2019-02-09,3250
2019-02-10,3314
2019-02-11,3314
2019-02-12,3364
2019-02-13,3325
2019-02-14,3325
2019-02-15,3294
2019-02-16,3294
2019-02-17,3363
2019-02-18,3363
2019-02-19,3482
2019-02-20,3482
2019-02-21,3498
2019-02-22,3498
2019-02-23,3348
2019-02-24,3310
2019-02-25,3248
2019-02-26,3248
2019-02-27,3085
2019-02-28,3085
2019-03-01,2941
2019-03-02,2880
2019-03-03,2806
2019-03-04,2727
2019-03-05,2727
2019-03-06,2611
2019-03-07,2611
2019-03-08,2484
2019-03-09,2484
2019-03-10,2362
2019-03-11,2362
2019-03-12,2332
2019-03-13,2332
2019-03-14,2326
2019-03-15,2326
2019-03-16,2284
2019-03-17,2214
2019-03-18,2214
2019-03-19,2119
2019-03-20,2026
2019-03-21,1954
2019-03-22,1954
2019-03-23,1873
2019-03-24,1800
2019-03-25,1800
2019-03-26,1740
2019-03-27,1740
2019-03-28,1670
2019-03-29,1614
2019-03-30,1614
2019-03-31,1614
