date_obj,Adamant%20plateskirt%20(t) price
2018-04-17,3454
2018-04-18,3452
2018-04-19,3452
2018-04-20,3452
2018-04-21,3355
2018-04-22,3355
2018-04-23,3355
2018-04-24,3419
2018-04-25,3419
2018-04-26,3419
2018-04-27,3385
2018-04-28,3385
2018-04-29,3434
2018-04-30,3434
2018-05-01,3434
2018-05-02,3415
2018-05-03,3415
2018-05-04,3415
2018-05-05,3486
2018-05-06,3486
2018-05-07,3486
2018-05-08,3486
2018-05-09,3472
2018-05-10,3472
2018-05-11,3472
2018-05-12,3466
2018-05-13,3466
2018-05-14,3466
2018-05-15,3466
2018-05-16,3467
2018-05-17,3467
2018-05-18,3467
2018-05-19,3531
2018-05-20,3531
2018-05-21,3531
2018-05-22,3543
2018-05-23,3543
2018-05-24,3566
2018-05-25,3566
2018-05-26,3574
2018-05-27,3574
2018-05-28,3574
2018-05-29,3535
2018-05-30,3535
2018-05-31,3535
2018-06-01,3435
2018-06-02,3490
2018-06-03,3490
2018-06-04,3490
2018-06-05,3505
2018-06-06,3505
2018-06-07,3505
2018-06-08,3526
2018-06-09,3526
2018-06-10,3526
2018-06-11,3565
2018-06-12,3565
2018-06-13,3502
2018-06-14,3502
2018-06-15,3502
2018-06-16,3444
2018-06-17,3444
2018-06-18,3491
2018-06-19,3491
2018-06-20,3491
2018-06-21,3491
2018-06-22,3491
2018-06-23,3491
2018-06-24,3520
2018-06-25,3520
2018-06-26,3520
2018-06-27,3534
2018-06-28,3534
2018-06-29,3534
2018-06-30,3534
2018-07-01,3534
2018-07-02,3517
2018-07-03,3517
2018-07-04,3517
2018-07-05,3517
2018-07-06,3546
2018-07-07,3546
2018-07-08,3546
2018-07-09,3548
2018-07-10,3548
2018-07-11,3548
2018-07-12,3548
2018-07-13,3550
2018-07-14,3550
2018-07-15,3558
2018-07-16,3558
2018-07-17,3532
2018-07-18,3532
2018-07-19,3532
2018-07-20,3647
2018-07-21,3647
2018-07-22,3628
2018-07-23,3628
2018-07-24,3551
2018-07-25,3551
2018-07-26,3611
2018-07-27,3611
2018-07-28,3683
2018-07-29,3683
2018-07-30,3609
2018-07-31,3609
2018-08-01,3523
2018-08-02,3523
2018-08-03,3505
2018-08-04,3505
2018-08-05,3504
2018-08-06,3504
2018-08-07,3509
2018-08-08,3509
2018-08-09,3466
2018-08-10,3466
2018-08-11,3458
2018-08-12,3458
2018-08-14,3449
2018-08-16,3466
2018-08-17,3493
2018-08-18,3493
2018-08-19,3493
2018-08-20,3508
2018-08-21,3508
2018-08-22,3571
2018-08-23,3571
2018-08-24,3626
2018-08-25,3626
2018-08-26,3637
2018-08-27,3637
2018-08-28,3570
2018-08-29,3570
2018-08-30,3570
2018-08-31,3525
2018-09-01,3525
2018-09-02,3525
2018-09-03,3501
2018-09-04,3501
2018-09-05,3475
2018-09-06,3475
2018-09-07,3492
2018-09-08,3492
2018-09-09,3494
2018-09-10,3494
2018-09-11,3522
2018-09-12,3522
2018-09-13,3492
2018-09-14,3492
2018-09-15,3554
2018-09-16,3554
2018-09-17,3554
2018-09-18,3576
2018-09-19,3576
2018-09-20,3576
2018-09-21,3559
2018-09-22,3559
2018-09-23,3495
2018-09-24,3495
2018-09-25,3495
2018-09-26,3502
2018-09-27,3502
2018-09-28,3511
2018-09-29,3511
2018-09-30,3536
2018-10-01,3536
2018-10-02,3517
2018-10-03,3517
2018-10-04,3505
2018-10-05,3505
2018-10-06,3604
2018-10-07,3604
2018-10-08,3604
2018-10-09,3778
2018-10-10,3778
2018-10-11,3938
2018-10-12,3938
2018-10-13,3938
2018-10-14,3956
2018-10-15,3956
2018-10-16,3956
2018-10-17,3978
2018-10-18,3978
2018-10-19,4037
2018-10-20,4037
2018-10-21,4037
2018-10-22,4038
2018-10-23,4038
2018-10-24,4038
2018-10-25,4022
2018-10-26,4022
2018-10-27,4019
2018-10-28,4019
2018-10-29,3906
2018-10-30,3906
2018-10-31,3766
2018-11-01,3766
2018-11-03,3648
2018-11-04,3582
2018-11-05,3628
2018-11-06,3721
2018-11-07,3721
2018-11-08,3737
2018-11-09,3737
2018-11-10,3627
2018-11-11,3627
2018-11-12,3576
2018-11-13,3576
2018-11-14,3578
2018-11-15,3556
2018-11-16,3576
2018-11-17,3576
2018-11-18,3537
2018-11-19,3537
2018-11-20,3541
2018-11-21,3541
2018-11-22,3540
2018-11-23,3540
2018-11-24,3533
2018-11-25,3583
2018-11-26,3583
2018-11-27,3646
2018-11-28,3620
2018-11-29,3594
2018-12-01,3561
2018-12-02,3560
2018-12-03,3560
2018-12-04,3595
2018-12-05,3549
2018-12-07,3558
2018-12-09,3553
2018-12-10,3551
2018-12-11,3551
2018-12-12,3618
2018-12-13,3618
2018-12-14,3624
2018-12-15,3624
2018-12-16,3569
2018-12-17,3569
2018-12-18,3623
2018-12-19,3623
2018-12-20,3579
2018-12-21,3579
2018-12-22,3553
2018-12-23,3581
2018-12-24,3581
2018-12-25,3593
2018-12-26,3593
2018-12-27,3595
2018-12-28,3595
2018-12-29,3603
2018-12-30,3603
2018-12-31,3499
2019-01-01,3519
2019-01-02,3525
2019-01-03,3525
2019-01-04,3525
2019-01-05,3553
2019-01-06,3556
2019-01-08,3562
2019-01-10,3538
2019-01-11,3538
2019-01-12,3594
2019-01-13,3594
2019-01-14,3535
2019-01-15,3526
2019-01-16,3526
2019-01-17,3568
2019-01-18,3568
2019-01-19,3510
2019-01-20,3527
2019-01-21,3527
2019-01-22,3493
2019-01-23,3493
2019-01-24,3574
2019-01-25,3574
2019-01-26,3570
2019-01-27,3570
2019-01-28,3552
2019-01-29,3582
2019-01-30,3582
2019-01-31,3520
2019-02-01,3457
2019-02-02,3457
2019-02-03,3453
2019-02-04,3453
2019-02-05,3493
2019-02-06,3493
2019-02-07,3480
2019-02-08,3480
2019-02-09,3514
2019-02-10,3514
2019-02-11,3511
2019-02-12,3511
2019-02-13,3521
2019-02-14,3521
2019-02-15,3477
2019-02-16,3477
2019-02-17,3509
2019-02-18,3509
2019-02-19,3499
2019-02-20,3499
2019-02-21,3475
2019-02-22,3475
2019-02-23,3501
2019-02-24,3566
2019-02-25,3566
2019-02-26,3590
2019-02-27,3590
