date_obj,Rune%20arrowtips price
2019-05-29,212
2019-05-30,214
2019-05-31,225
2019-06-01,235
2019-06-02,236
2019-06-03,234
2019-06-04,230
2019-06-05,221
2019-06-06,223
2019-06-07,229
2019-06-08,233
2019-06-09,237
2019-06-10,232
2019-06-11,230
2019-06-12,221
2019-06-13,210
2019-06-14,205
2019-06-15,198
2019-06-16,200
2019-06-17,209
2019-06-18,218
2019-06-19,221
2019-06-20,231
2019-06-21,234
2019-06-22,227
2019-06-23,217
2019-06-24,211
2019-06-25,206
2019-06-26,214
2019-06-27,223
2019-06-28,226
2019-06-29,234
2019-06-30,231
2019-07-01,228
2019-07-02,235
2019-07-03,246
2019-07-04,258
2019-07-05,265
2019-07-06,261
2019-07-07,256
2019-07-08,258
2019-07-09,257
2019-07-10,248
2019-07-11,240
2019-07-12,229
2019-07-13,220
2019-07-14,221
2019-07-15,233
2019-07-16,233
2019-07-17,238
2019-07-18,237
2019-07-19,247
2019-07-20,254
2019-07-21,261
2019-07-22,269
2019-07-23,264
2019-07-24,266
2019-07-25,255
2019-07-26,246
2019-07-27,248
2019-07-28,248
2019-07-29,251
2019-07-30,242
2019-07-31,241
2019-08-01,244
2019-08-02,250
2019-08-03,249
2019-08-04,246
2019-08-05,236
2019-08-06,226
2019-08-07,222
2019-08-08,220
2019-08-09,227
2019-08-10,218
2019-08-11,214
2019-08-12,212
2019-08-13,214
2019-08-14,214
2019-08-15,216
2019-08-16,219
2019-08-17,217
2019-08-18,223
2019-08-19,218
2019-08-20,226
2019-08-21,226
2019-08-22,231
2019-08-23,225
2019-08-24,225
2019-08-24,225
2019-08-25,225
2019-08-25,225
2019-08-26,222
2019-08-26,222
2019-08-27,227
2019-08-27,227
