date_obj,Armadyl%20platelegs price
2017-02-07,40372
2017-02-08,39968
2017-02-09,39968
2017-02-10,39880
2017-02-11,39297
2017-02-12,39297
2017-02-13,39500
2017-02-14,39586
2017-02-15,40344
2017-02-16,40514
2017-02-18,40219
2017-02-19,39870
2017-02-20,40838
2017-02-21,40415
2017-02-22,40415
2017-02-23,40188
2017-02-24,40188
2017-02-25,39814
2017-02-26,39316
2017-02-27,39699
2017-02-28,40196
2017-03-01,40303
2017-03-02,39786
2017-03-03,39516
2017-03-04,39157
2017-03-05,38649
2017-03-06,38747
2017-03-07,39002
2017-03-08,39279
2017-03-09,39819
2017-03-10,39393
2017-03-11,39566
2017-03-12,39564
2017-03-13,40081
2017-03-14,40262
2017-03-15,40351
2017-03-16,41008
2017-03-17,40909
2017-03-18,40857
2017-03-19,40635
2017-03-20,40702
2017-03-21,40991
2017-03-22,40383
2017-03-23,39646
2017-03-24,40377
2017-03-25,40377
2017-03-26,40636
2017-03-27,40507
2017-03-28,41050
2017-03-29,41450
2017-03-30,41520
2017-03-31,40824
2017-04-01,41163
2017-04-02,41211
2017-04-03,41465
2017-04-04,41006
2017-04-05,41006
2017-04-12,41103
2017-04-13,42610
2017-04-14,42196
2017-04-15,42456
2017-04-16,41892
2017-04-17,42495
2017-04-18,42576
2017-04-19,42221
2017-04-20,42488
2017-04-21,42983
2017-04-22,42983
2017-04-23,42587
2017-04-24,41574
2017-04-25,40298
2017-04-26,40298
2017-04-27,39089
2017-04-28,38817
2017-04-29,39090
2017-04-30,38917
2017-05-01,39953
2017-05-02,40062
2017-05-03,39553
2017-05-04,39805
2017-05-05,40075
2017-05-06,40695
2017-05-07,40253
2017-05-08,40290
2017-05-09,40386
2017-05-10,40386
2017-05-11,40837
2017-05-12,40105
2017-05-13,38483
2017-05-14,39080
2017-05-15,39409
2017-05-16,39708
2017-05-17,39868
2017-05-18,39942
2017-05-19,39942
2017-05-20,40051
2017-05-21,40051
2017-05-22,39988
2017-05-23,40546
2017-05-24,40713
2017-05-25,40277
2017-05-26,39614
2017-05-27,37910
2017-05-28,37387
2017-05-29,37250
2017-05-30,37687
2017-05-31,37672
2017-06-01,37238
2017-06-02,37956
2017-06-03,37956
2017-06-04,38459
2017-06-05,38305
2017-06-06,38607
2017-06-07,38487
2017-06-08,38487
2017-06-09,38878
2017-06-10,38647
2017-06-11,38550
2017-06-12,39078
2017-06-13,39480
2017-06-14,40195
2017-06-15,40629
2017-06-16,40783
2017-06-17,40783
2017-06-18,41296
2017-06-19,41296
2017-06-20,41914
2017-06-21,41440
2017-06-22,41440
2017-06-23,41342
2017-06-24,40967
2017-06-25,40623
2017-06-26,41215
2017-06-27,40574
2017-06-28,40203
2017-06-29,39630
2017-06-30,38979
2017-07-01,38979
2017-07-02,38902
2017-07-03,38982
2017-07-04,38621
2017-07-05,38621
2017-07-06,38072
2017-07-07,38072
2017-07-08,38140
2017-07-09,38014
2017-07-13,37975
2017-07-14,37893
2017-07-15,37893
2017-07-16,37338
2017-07-17,37371
2017-07-18,37784
2017-07-19,38504
2017-07-20,37906
2017-07-21,37804
2017-07-22,37798
2017-07-23,38709
2017-07-24,38709
2017-07-25,39246
2017-07-26,39647
2017-07-27,40338
2017-07-28,39721
2017-07-29,39721
2017-07-30,39870
2017-07-31,39870
2017-08-01,40896
2017-08-02,41710
2017-08-03,42746
2017-08-04,43626
2017-08-05,44167
2017-08-06,44167
2017-08-07,43910
2017-08-08,44606
2017-08-09,44117
2017-08-10,43320
2017-08-11,42697
2017-08-12,41795
2017-08-13,40245
2017-08-14,39974
2017-08-15,38958
2017-08-16,39777
2017-08-17,39432
2017-08-18,39432
2017-08-19,38589
2017-08-20,38656
2017-08-21,38713
2017-08-22,38898
2017-08-23,39139
2017-08-24,39139
2017-08-25,39388
2017-08-26,39284
2017-08-27,40178
2017-08-28,40208
2017-08-29,40249
2017-08-30,38910
2017-08-31,39374
2017-09-01,39320
2017-09-02,39877
2017-09-03,39877
2017-09-04,38998
2017-09-05,38956
2017-09-06,38876
2017-09-07,38734
2017-09-08,38734
2017-09-09,38662
2017-09-10,38946
2017-09-11,38489
2017-09-12,38461
2017-09-13,38263
2017-09-14,38758
2017-09-15,38758
2017-09-16,38225
2017-09-17,38595
2017-09-18,39074
2017-09-19,39074
2017-09-20,38442
2017-09-22,39210
2017-09-23,39210
2017-09-24,38993
2017-09-25,39677
2017-09-26,38129
2017-09-27,38129
2017-09-28,37958
2017-09-29,38938
2017-09-30,38938
2017-10-01,38525
2017-10-02,38758
2017-10-03,38758
2017-10-04,38553
2017-10-05,38800
2017-10-06,38756
2017-10-07,38908
2017-10-08,38861
2017-10-09,38310
2017-10-10,38071
2017-10-11,38071
2017-10-12,38206
2017-10-13,38784
2017-10-14,38298
2017-10-15,38298
2017-10-16,38497
2017-10-17,37669
2017-10-18,38110
2017-10-19,38359
2017-10-20,38984
2017-10-21,39180
2017-10-22,39293
2017-10-23,38938
2017-10-24,38799
2017-10-25,39345
2017-10-26,38649
2017-10-27,38702
2017-10-28,38702
2017-10-29,38548
2017-10-30,37892
2017-10-31,37723
2017-11-01,37723
2017-11-02,37946
2017-11-03,38211
2017-11-04,37829
2017-11-05,38197
2017-11-06,38252
2017-11-07,38252
2017-11-08,38225
2017-11-09,38252
2017-11-10,38409
2017-11-11,38646
2017-11-12,38475
2017-11-13,37910
2017-11-14,37914
2017-11-15,38098
2017-11-16,38433
2017-11-17,38395
2017-11-18,38177
2017-11-19,38056
2017-11-20,37851
2017-11-21,38233
2017-11-22,38531
2017-11-23,38041
2017-11-24,38135
2017-11-25,37921
2017-11-26,38576
2017-11-27,38576
2017-11-28,38249
2017-11-29,38141
2017-11-30,38141
2017-12-01,38294
2017-12-02,38294
2017-12-03,38634
2017-12-04,38634
2017-12-05,39572
2017-12-06,39553
2017-12-07,39531
2017-12-08,39531
2017-12-09,39632
2017-12-10,40273
2017-12-11,40632
2017-12-12,40460
2017-12-13,40145
2017-12-14,39389
2017-12-15,39735
2017-12-16,40496
2017-12-17,40052
2017-12-18,40468
2017-12-19,40233
2017-12-20,40233
2017-12-21,40992
2017-12-22,41201
2017-12-23,41675
2017-12-24,41251
2017-12-25,41242
2017-12-26,41888
2017-12-27,41277
2017-12-28,40847
2017-12-29,39588
2017-12-30,38949
2017-12-31,39529
2018-01-01,40613
2018-01-02,39817
2018-01-03,40021
2018-01-04,39445
2018-01-05,38968
2018-01-06,39852
2018-01-07,40207
2018-01-08,40899
2018-01-09,40749
2018-01-10,40749
2018-01-11,40951
2018-01-12,40819
2018-01-13,40804
2018-01-14,40878
2018-01-15,40434
2018-01-16,40651
2018-01-17,41443
2018-01-18,40762
2018-01-19,40762
2018-01-20,39870
2018-01-21,39035
2018-01-22,39257
2018-01-23,39559
2018-01-24,39524
2018-01-25,39748
2018-01-26,39740
2018-01-27,39251
2018-01-29,39684
2018-01-30,39612
2018-01-31,38419
2018-02-01,37843
2018-02-02,38116
2018-02-03,38572
2018-02-04,38303
2018-02-05,38557
2018-02-06,38179
2018-02-07,38316
2018-02-08,38316
2018-02-09,37950
2018-02-10,37950
2018-02-11,38215
2018-02-12,38413
2018-02-13,38205
2018-02-14,37932
2018-02-15,38542
2018-02-16,38868
2018-02-17,38746
2018-02-18,38396
2018-02-19,38508
2018-02-20,38675
2018-02-21,38669
2018-02-22,38669
2018-02-23,39075
2018-02-24,39226
2018-02-25,38836
2018-02-26,38341
2018-02-27,38531
2018-02-28,38531
2018-03-01,38942
2018-03-02,39232
2018-03-03,38945
2018-03-04,38945
2018-03-05,39674
2018-03-06,40439
2018-03-07,41237
2018-03-08,41836
2018-03-09,41021
2018-03-10,40641
2018-03-11,39875
2018-03-12,39578
2018-03-13,39553
2018-03-14,40473
2018-03-15,41195
2018-03-16,40850
2018-03-17,40589
2018-03-18,39821
2018-03-20,39359
2018-03-22,38932
2018-03-23,38922
2018-03-24,38393
2018-03-25,38542
2018-03-26,37965
2018-03-27,38089
2018-03-28,38234
2018-03-29,38464
2018-03-30,38811
2018-03-31,38476
2018-04-01,38461
2018-04-02,38206
2018-04-03,38234
2018-04-04,38182
2018-04-05,38182
2018-04-06,38621
2018-04-07,38621
2018-04-08,38507
2018-04-09,39000
2018-04-10,39075
2018-04-11,39381
2018-04-12,38493
2018-04-13,38569
2018-04-14,38169
2018-04-15,38446
2018-04-16,38446
2018-04-17,38431
2018-04-18,38714
2018-04-19,38725
2018-04-20,38700
2018-04-21,38864
2018-04-22,38864
2018-04-23,39175
2018-04-24,39175
2018-04-25,39639
2018-04-26,39639
2018-04-27,39284
2018-04-28,38829
2018-04-29,38541
2018-04-30,38861
2018-05-01,38829
2018-05-02,38829
2018-05-03,39246
2018-05-04,39246
2018-05-05,39455
2018-05-06,39455
2018-05-07,38939
2018-05-08,38939
2018-05-09,39304
2018-05-10,39181
2018-05-11,39272
2018-05-12,38725
2018-05-13,38725
2018-05-14,38499
2018-05-15,38471
2018-05-16,38731
2018-05-17,38314
2018-05-18,38957
2018-05-19,38701
2018-05-20,38843
2018-05-21,38759
2018-05-22,38759
2018-05-23,39200
2018-05-24,38736
2018-05-25,38408
2018-05-26,39025
2018-05-27,39025
2018-05-28,38948
2018-05-29,38909
2018-05-30,38753
2018-05-31,38933
2018-06-01,39307
2018-06-02,38709
2018-06-03,38199
2018-06-04,38171
2018-06-05,38586
2018-06-06,39512
2018-06-07,39512
2018-06-08,39564
2018-06-09,39461
2018-06-10,38929
2018-06-11,38736
2018-06-12,38732
2018-06-13,38747
2018-06-14,39389
2018-06-15,39318
2018-06-16,39583
2018-06-17,39770
2018-06-18,39625
2018-06-19,39004
2018-06-20,39004
2018-06-21,38371
2018-06-22,38457
2018-06-23,38457
2018-06-24,38447
2018-06-25,38469
2018-06-26,38469
2018-06-27,38341
2018-06-28,38271
2018-06-29,38201
2018-06-30,38389
2018-07-01,38735
2018-07-02,38735
2018-07-03,38613
2018-07-04,38430
2018-07-05,38430
2018-07-06,38147
2018-07-07,38147
2018-07-08,38236
2018-07-09,38967
2018-07-10,38598
2018-07-11,39185
2018-07-12,39185
2018-07-13,39089
2018-07-14,39268
2018-07-15,39268
2018-07-16,38837
2018-07-17,38719
2018-07-18,39058
2018-07-19,39141
2018-07-20,38878
2018-07-21,39397
2018-07-22,39224
2018-07-23,39435
2018-07-24,39065
2018-07-25,40000
2018-07-26,41262
2018-07-27,41671
2018-07-28,41671
2018-07-29,41205
2018-07-30,40262
2018-07-31,40100
2018-08-01,40100
2018-08-02,39824
2018-08-03,40601
2018-08-04,40413
2018-08-05,40533
2018-08-06,41309
2018-08-07,41594
2018-08-08,42265
2018-08-09,42265
2018-08-10,43108
2018-08-11,43392
2018-08-12,42448
2018-08-14,42369
2018-08-16,43576
2018-08-17,44320
2018-08-18,44320
2018-08-19,44982
2018-08-20,45205
2018-08-21,44494
2018-08-22,43424
2018-08-23,42522
2018-08-24,41858
2018-08-25,42310
2018-08-26,42492
2018-08-27,42618
2018-08-28,41340
2018-08-29,40684
2018-08-30,40523
2018-08-31,39811
2018-09-01,38963
2018-09-02,39302
2018-09-03,39823
2018-09-04,39955
2018-09-05,39235
2018-09-06,39235
2018-09-07,38323
2018-09-08,39158
2018-09-09,39158
2018-09-10,39283
2018-09-11,39283
2018-09-12,39625
2018-09-13,39808
2018-09-14,39423
2018-09-15,39881
2018-09-16,39881
2018-09-17,40972
2018-09-18,41651
2018-09-19,42781
2018-09-20,44149
2018-09-21,46029
2018-09-22,45170
2018-09-23,45103
2018-09-24,45698
2018-09-25,45698
2018-09-26,46950
2018-09-27,45799
2018-09-28,44940
2018-09-29,44492
2018-09-30,44468
2018-10-01,43812
2018-10-02,43350
2018-10-03,42489
2018-10-04,42489
2018-10-05,43183
2018-10-06,43093
2018-10-07,43093
2018-10-08,43576
2018-10-09,43444
2018-10-10,43163
2018-10-11,41377
2018-10-12,41377
2018-10-13,40936
2018-10-14,40489
2018-10-15,40064
2018-10-16,40520
2018-10-17,40705
