date_obj,Guthix%20dragonhide%20set price
2017-03-23,147117
2017-03-24,147117
2017-03-25,147838
2017-03-26,147838
2017-03-27,147838
2017-03-28,153745
2017-03-29,153745
2017-03-30,153745
2017-03-31,159135
2017-04-01,159135
2017-04-02,159135
2017-04-03,164740
2017-04-04,164740
2017-04-12,177347
2017-04-13,179163
2017-04-14,179163
2017-04-15,179163
2017-04-16,176128
2017-04-17,176128
2017-04-18,176128
2017-04-19,174900
2017-04-20,174900
2017-04-21,174900
2017-04-22,174900
2017-04-23,174317
2017-04-24,174317
2017-04-25,179184
2017-04-26,179184
2017-04-27,179184
2017-04-28,184966
2017-04-29,184966
2017-04-30,185751
2017-05-01,185751
2017-05-02,185751
2017-05-03,185751
2017-05-04,186079
2017-05-05,186079
2017-05-06,186079
2017-05-07,192641
2017-05-08,192641
2017-05-09,192641
2017-05-10,196804
2017-05-11,196804
2017-05-12,196804
2017-05-13,191091
2017-05-14,191091
2017-05-15,191091
2017-05-16,191852
2017-05-17,191852
2017-05-18,191852
2017-05-19,191852
2017-05-20,190211
2017-05-21,190211
2017-05-22,190211
2017-05-23,190211
2017-05-24,186768
2017-05-25,186768
2017-05-26,186768
2017-05-27,184120
2017-05-28,184120
2017-05-29,184486
2017-05-30,184486
2017-05-31,192477
2017-06-01,192477
2017-06-02,201619
2017-06-03,201619
2017-06-04,211045
2017-06-05,211045
2017-06-06,221259
2017-06-07,221259
2017-06-08,221259
2017-06-09,231370
2017-06-10,231370
2017-06-11,241650
2017-06-12,241650
2017-06-13,241650
2017-06-14,246351
2017-06-15,246351
2017-06-16,246351
2017-06-17,245411
2017-06-18,245411
2017-06-19,245411
2017-06-20,240991
2017-06-21,240991
2017-06-22,240991
2017-06-23,240991
2017-06-24,242850
2017-06-25,242850
2017-06-26,242850
2017-06-27,241178
2017-06-28,241178
2017-06-29,241178
2017-06-30,236657
2017-07-01,236657
2017-07-02,236657
2017-07-03,231127
2017-07-04,231127
2017-07-05,231127
2017-07-06,229183
2017-07-07,229183
2017-07-08,229183
2017-07-13,226970
2017-07-14,226970
2017-07-15,229006
2017-07-16,229006
2017-07-17,229006
2017-07-18,226150
2017-07-19,226150
2017-07-20,226150
2017-07-21,226581
2017-07-22,226581
2017-07-23,226581
2017-07-24,226884
2017-07-25,226884
2017-07-26,226884
2017-07-27,224698
2017-07-28,224698
2017-07-29,224698
2017-07-30,225545
2017-07-31,225545
2017-08-01,225545
2017-08-02,227357
2017-08-03,227357
2017-08-04,227357
2017-08-05,226041
2017-08-06,226041
2017-08-09,227960
2017-08-10,227960
2017-08-11,228530
2017-08-12,228530
2017-08-13,228530
2017-08-14,226553
2017-08-15,226553
2017-08-16,226553
2017-08-17,221980
2017-08-18,221980
2017-08-19,221980
2017-08-20,218302
2017-08-21,218302
2017-08-22,218302
2017-08-23,220731
2017-08-24,220731
2017-08-25,220731
2017-08-26,214250
2017-08-27,214250
2017-08-28,214250
2017-08-29,213565
2017-08-30,213565
2017-08-31,213565
2017-09-01,213565
2017-09-02,217451
2017-09-03,217451
2017-09-04,217451
2017-09-05,224478
2017-09-06,224478
2017-09-07,224478
2017-09-08,229874
2017-09-09,229874
2017-09-10,236317
2017-09-11,236317
2017-09-12,236317
2017-09-13,237242
2017-09-14,237242
2017-09-15,237242
2017-09-16,239029
2017-09-17,239029
2017-09-18,241568
2017-09-19,241568
2017-09-20,241568
2017-09-21,241340
2017-09-22,241340
2017-09-23,241340
2017-09-24,236829
2017-09-25,236829
2017-09-26,236829
2017-09-27,238206
2017-09-28,238206
2017-09-29,238206
2017-09-30,228721
2017-10-01,228721
2017-10-02,228721
2017-10-03,233470
2017-10-04,233470
2017-10-05,233470
2017-10-06,233936
2017-10-07,233936
2017-10-08,233936
2017-10-09,234440
2017-10-10,234440
2017-10-11,234440
2017-10-12,232969
2017-10-13,232969
2017-10-14,232969
2017-10-15,234534
2017-10-16,234534
2017-10-17,234534
2017-10-18,238481
2017-10-19,238481
2017-10-20,238481
2017-10-21,238481
2017-10-22,239314
2017-10-23,239314
2017-10-24,239314
2017-10-25,236939
2017-10-26,236939
2017-10-27,236939
2017-10-28,241645
2017-10-29,241645
2017-10-30,243078
2017-10-31,243078
2017-11-01,243078
2017-11-02,246001
2017-11-03,246001
2017-11-04,243946
2017-11-05,243946
2017-11-06,243946
2017-11-07,250776
2017-11-08,250776
2017-11-09,250776
2017-11-10,255088
2017-11-11,255088
2017-11-12,255088
2017-11-13,256121
2017-11-14,256121
2017-11-15,256121
2017-11-16,252766
2017-11-17,252766
2017-11-18,252766
2017-11-19,250439
2017-11-20,250439
2017-11-21,250439
2017-11-22,240475
2017-11-23,240475
2017-11-24,240475
2017-11-25,234330
2017-11-26,234330
2017-11-27,234330
2017-11-28,234330
2017-11-29,234383
2017-11-30,234383
2017-12-01,234383
2017-12-02,235601
2017-12-03,235601
2017-12-04,235601
2017-12-05,230744
2017-12-06,230744
2017-12-07,230744
2017-12-08,230744
2017-12-09,228204
2017-12-10,228204
2017-12-11,228204
2017-12-12,224711
2017-12-13,224711
2017-12-14,224711
2017-12-15,223338
2017-12-16,223338
2017-12-17,223338
2017-12-18,221147
2017-12-19,221147
2017-12-20,221147
2017-12-21,224121
2017-12-22,224121
2017-12-23,224121
2017-12-24,224121
2017-12-25,226124
2017-12-26,226124
2017-12-27,232774
2017-12-28,232774
2017-12-29,232774
2017-12-30,242569
2017-12-31,242569
2018-01-01,252885
2018-01-02,252885
2018-01-03,262952
2018-01-04,262952
2018-01-05,268267
2018-01-06,268267
2018-01-07,276945
2018-01-08,276945
2018-01-09,276945
2018-01-10,286111
2018-01-11,286111
2018-01-12,286111
2018-01-13,287041
2018-01-14,287041
2018-01-15,287041
2018-01-16,279429
2018-01-17,279429
2018-01-18,272447
2018-01-19,272447
2018-01-20,272447
2018-01-21,268748
2018-01-22,268748
2018-01-23,267383
2018-01-25,262310
2018-01-26,262310
2018-01-27,263513
2018-01-28,260807
2018-01-29,260807
2018-01-30,257885
2018-01-31,257885
2018-02-01,255742
