date_obj,Torstol price
2018-03-15,12287
2018-03-16,12092
2018-03-17,11993
2018-03-18,11911
2018-03-19,11911
2018-03-20,11769
2018-03-21,11709
2018-03-23,11384
2018-03-24,11177
2018-03-26,10979
2018-03-27,11101
2018-03-28,11101
2018-03-29,11101
2018-03-30,11053
2018-03-31,11148
2018-04-01,11169
2018-04-02,11258
2018-04-03,11379
2018-04-04,11638
2018-04-05,11638
2018-04-06,11831
2018-04-08,11815
2018-04-09,11639
2018-04-10,11503
2018-04-11,11598
2018-04-12,11645
2018-04-13,11666
2018-04-14,11836
2018-04-16,11772
2018-04-17,11517
2018-04-18,11441
2018-04-19,11454
2018-04-20,11392
2018-04-21,11297
2018-04-22,11294
2018-04-23,11325
2018-04-24,11305
2018-04-25,11274
2018-04-26,11274
2018-04-27,11537
2018-04-28,11576
2018-04-29,11737
2018-04-30,11908
2018-05-01,11853
2018-05-02,11721
2018-05-03,11674
2018-05-04,11673
2018-05-05,11809
2018-05-06,11809
2018-05-08,12029
2018-05-09,11889
2018-05-10,11775
2018-05-11,11531
2018-05-12,11323
2018-05-13,11323
2018-05-14,11372
2018-05-15,11763
2018-05-16,11700
2018-05-17,11779
2018-05-18,11855
2018-05-19,11835
2018-05-20,11707
2018-05-21,11750
2018-05-22,11750
2018-05-23,11729
2018-05-24,11816
2018-05-25,11795
2018-05-26,11976
2018-05-27,11976
2018-05-28,11773
2018-05-29,11624
2018-05-30,11650
2018-05-31,11722
2018-06-01,11664
2018-06-02,11388
2018-06-03,11478
2018-06-04,11456
2018-06-05,11474
2018-06-06,11317
2018-06-07,11317
2018-06-08,10887
2018-06-09,10567
2018-06-10,10096
2018-06-11,10008
2018-06-12,9837
2018-06-13,9737
2018-06-14,9887
2018-06-15,9944
2018-06-16,10000
2018-06-17,10103
2018-06-18,10275
2018-06-19,10244
2018-06-20,10244
2018-06-21,10127
2018-06-22,10036
2018-06-23,10036
2018-06-24,9895
2018-06-25,9868
2018-06-26,9887
2018-06-27,9871
2018-06-28,9938
2018-06-29,9892
2018-06-30,9804
2018-07-01,9763
2018-07-02,9763
2018-07-03,9874
2018-07-04,9857
2018-07-05,9860
2018-07-06,9865
2018-07-07,9981
2018-07-08,9975
2018-07-09,10009
2018-07-10,10043
2018-07-11,10075
2018-07-12,10065
2018-07-13,10121
2018-07-14,10176
2018-07-15,10190
2018-07-16,10258
2018-07-17,10237
2018-07-18,10304
2018-07-19,10527
2018-07-20,10328
2018-07-21,10336
2018-07-22,10416
2018-07-23,10402
2018-07-24,10412
2018-07-25,10460
2018-07-26,10438
2018-07-27,10365
